Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"150,969,000","144,624,000","114,797,000","62,984,000","65,938,000","129,511,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Revenue,"7,566,000","9,088,000","246,506,000","285,101,000","44,383,000","-3,315,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue,"158,535,000","153,712,000","361,303,000","348,085,000","110,321,000","126,196,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-28.977%,-57.456%,3.797%,215.520%,-12.580%,11.643%,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"163,612,000","160,769,000","429,363,000","361,203,000","138,756,000","90,803,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"-5,077,000","-7,057,000","-68,060,000","-13,118,000","-28,435,000","35,393,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","95,838,000","96,551,000","57,582,000","71,249,000","45,803,000","42,692,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"-13,011,000","-15,141,000","-12,237,000","-20,418,000","-18,327,000","-8,479,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"82,827,000","81,410,000","45,345,000","50,831,000","27,476,000","34,213,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-87,904,000","-88,467,000","-113,405,000","-63,949,000","-55,911,000","1,180,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-28,561,000","-23,325,000","-19,054,000","-16,964,000","-10,738,000","-2,633,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"1,802,000","1,210,000","260,000","249,000","516,000","199,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Equity Investments,-,-,"9,000","-5,000","-133,000","1,574,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"10,060,000","5,574,000","-12,587,000","8,130,000","173,000","1,250,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,000",-,-,"2,000","1,000","-448,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"-104,605,000","-105,008,000","-144,777,000","-72,537,000","-66,092,000","1,122,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"300,000","300,000",-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"92,212,000","1,379,000","-38,000","-42,000","-10,000","-92,000",Upgrade,Financials in EUR,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,"-1,900,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Unusual Items,"4,700,000","4,700,000",-,"2,600,000","800,000",-,Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-7,393,000","-98,629,000","-144,815,000","-69,979,000","-65,302,000","-870,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"25,000","2,800,000","-1,536,000","3,446,000","-909,000","874,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Continuing Operations,"-7,418,000","-101,429,000","-143,279,000","-73,425,000","-64,393,000","-1,744,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"-7,418,000","-101,429,000","-143,279,000","-73,425,000","-64,393,000","-1,744,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"-7,418,000","-101,429,000","-143,279,000","-73,425,000","-64,393,000","-1,744,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"137,801,214","138,624,381","115,473,914","97,619,320","90,757,173","91,744,268",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"137,801,214","138,624,381","115,473,914","97,619,320","90,757,173","91,744,268",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),-0.585%,20.048%,18.290%,7.561%,-1.076%,12.431%,Upgrade,Financials in EUR,Fiscal year is January - December
