Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"164,928,000","158,437,000","162,613,000","201,918,000","151,669,000","78,382,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"164,928,000","158,437,000","162,613,000","201,918,000","151,669,000","78,382,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),6.180%,-2.568%,-19.466%,33.131%,93.500%,2201.968%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"93,034,000","95,268,000","88,181,000","92,390,000","69,829,000","52,303,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"71,894,000","63,169,000","74,432,000","109,528,000","81,840,000","26,079,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","72,398,000","77,216,000","114,387,000","96,967,000","91,580,000","95,391,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,"-87,000","861,000","113,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"96,968,000","102,662,000","143,548,000","125,807,000","118,630,000","109,722,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-25,074,000","-39,493,000","-69,116,000","-16,279,000","-36,790,000","-83,643,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-21,270,000","-19,695,000","-22,248,000","-32,672,000","-37,647,000","-23,973,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,119,000","946,000","1,846,000","517,000","403,000","74,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,"182,000","245,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"463,000","826,000","128,000","181,000","5,988,000","36,241,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-41,762,000","-57,416,000","-89,390,000","-48,253,000","-67,864,000","-71,056,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-300,000",-,"-6,800,000","-6,800,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-199,364,000","-234,284,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,"-137,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"2,192,000","-107,000","-29,993,000","-7,501,000","-6,800,000","-1,239,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-876,000","-2,398,000","-319,017,000",-,"-13,764,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-40,446,000","-59,921,000","-438,700,000","-55,754,000","-294,729,000","-313,379,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"13,678,000","16,700,000","10,691,000","21,736,000","18,633,000","-7,992,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-54,124,000","-76,621,000","-449,391,000","-77,490,000","-313,362,000","-305,387,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-54,124,000","-76,621,000","-449,391,000","-77,490,000","-313,362,000","-305,387,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"6,518,712,500","6,437,450,000","3,371,545,000","171,718,000","171,649,000","158,214,225",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"6,518,712,500","6,437,450,000","3,371,545,000","171,718,000","171,649,000","158,214,225",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.410%,90.935%,1863.420%,0.040%,8.492%,147.756%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.008,-0.012,-0.133,-0.451,-1.826,-1.930,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.008,-0.012,-0.133,-0.451,-1.826,-1.930,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"5,042,000","-555,000","-26,435,000","-3,292,000","-23,263,000","-106,228,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.001,-0.000,-0.008,-0.019,-0.136,-0.671,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,43.591%,39.870%,45.772%,54.244%,53.960%,33.272%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-15.203%,-24.927%,-42.503%,-8.062%,-24.257%,-106.712%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-32.817%,-48.361%,-276.356%,-38.377%,-206.609%,-389.614%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,3.057%,-0.350%,-16.256%,-1.630%,-15.338%,-135.526%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-1,610,000","-14,350,000","-40,021,000","12,648,000","-10,601,000","-62,429,000",Upgrade,Financials in USD,Fiscal year is January - December
