Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"92,263,000","95,573,000","86,604,000","74,197,000","81,500,000","89,905,000","82,597,000","81,655,000","72,281,000","75,820,000","63,807,000","58,273,000","73,340,000","65,796,000","46,069,000","55,191,000","45,239,000","53,250,000","45,839,000","37,271,000",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),13.206%,6.304%,4.851%,-9.134%,12.754%,18.577%,29.448%,40.125%,-1.444%,15.235%,38.503%,5.584%,62.117%,23.561%,0.502%,48.080%,1022.556%,1561.985%,1450.710%,858.616%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"47,246,000","48,236,000","44,905,000","39,982,000","41,318,000","52,412,000","41,835,000","44,767,000","41,880,000","37,525,000","31,330,000","30,078,000","35,574,000","36,925,000","25,489,000","35,131,000","25,706,000","31,013,000","25,979,000","18,872,000",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"45,017,000","47,337,000","41,699,000","34,215,000","40,182,000","37,493,000","40,762,000","36,888,000","30,401,000","38,295,000","32,477,000","28,195,000","37,766,000","28,871,000","20,580,000","20,060,000","19,533,000","22,237,000","19,860,000","18,399,000",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","25,482,000","25,363,000","23,187,000","18,925,000","23,004,000","21,993,000","19,771,000","24,738,000","23,872,000","21,492,000","18,522,000","22,293,000","18,753,000","18,635,000","14,695,000","16,385,000","18,598,000","16,918,000","18,532,000","11,026,000",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"5,153,000","5,806,000","4,980,000","4,258,000","4,768,000","4,336,000","4,187,000","4,140,000","4,220,000","3,412,000","2,983,000","3,496,000","3,793,000","2,585,000","2,818,000","3,690,000","2,967,000","2,319,000","2,749,000","1,411,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"41,814,000","42,843,000","39,039,000","34,298,000","39,252,000","37,603,000","35,129,000","46,034,000","40,335,000","35,959,000","32,793,000","42,829,000","33,745,000","28,855,000","22,815,000","28,064,000","27,268,000","25,041,000","27,320,000","14,577,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"3,203,000","4,494,000","2,660,000","-83,000","930,000","-110,000","5,633,000","-9,146,000","-9,934,000","2,336,000","-316,000","-14,634,000","4,021,000","16,000","-2,235,000","-8,004,000","-7,735,000","-2,804,000","-7,460,000","3,822,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-1,915,000","-2,284,000","-2,577,000","-4,090,000","-2,603,000","-3,004,000","-2,791,000","-2,293,000","-1,479,000","-1,717,000","-1,111,000","-1,331,000","-959,000","-668,000","-660,000","-328,000","-822,000","-1,101,000","-1,147,000","-370,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"2,523,000","2,584,000","2,641,000","3,081,000","3,055,000","3,087,000","3,352,000","4,263,000","2,462,000","2,427,000","1,480,000","2,196,000","1,402,000","1,786,000","1,998,000","2,807,000","3,188,000","3,678,000","4,649,000","5,434,000",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"458,000",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-2,326,000","-5,542,000","1,934,000","-9,007,000","-1,317,000","-4,918,000","73,000","-1,663,000","10,787,000","4,507,000","-6,189,000","-3,485,000","7,143,000","-3,194,000","-4,201,000","-4,490,000","-703,000","-4,056,000","-4,907,000","1,926,000",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,025,000","-623,000","169,000","-7,096,000","7,469,000","4,249,000","-94,000","830,000","414,000","-7,473,000","-16,453,000","2,621,000","-21,587,000","28,453,000","9,585,000","25,454,000","23,618,000","18,421,000","-7,192,000","-4,446,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-540,000","-1,371,000","4,827,000","-17,195,000","7,534,000","-696,000","6,173,000","-8,009,000","2,250,000","80,000","-22,589,000","-14,633,000","-9,980,000","26,393,000","4,487,000","15,439,000","17,546,000","14,138,000","-16,057,000","6,824,000",Upgrade,Financials in CAD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,693,000",-,"-304,000",-,"-5,543,000",Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"-16,267,000",-,-,-,"-11,847,000",-,-,-,-,-,-,-,-,-,-,"1,299,000","2,869,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,948,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,-,-,"-9,260,000",-,-,-,"-21,904,000","-2,080,000",-,-,-,-,-,-,"-656,000",-,-,-,"-4,226,000",Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,"1,148,000","2,084,000","4,296,000","303,000","1,364,000","908,000","728,000","6,778,000","681,000","556,000","277,000","209,000","92,000","182,000","-60,000","-239,000","-401,000","-527,000","-277,000","-176,000",Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"608,000","713,000","-7,144,000","-26,152,000","8,898,000","212,000","-4,946,000","-23,135,000","851,000","636,000","-22,312,000","-14,424,000","-9,888,000","26,575,000","4,427,000","10,851,000","17,145,000","14,606,000","-10,517,000","-3,121,000",Upgrade,Financials in CAD,Fiscal year is January - December
Income Tax Expense,"523,000","2,655,000","-2,598,000","-1,826,000","-690,000","-1,628,000","-1,009,000","-7,947,000","-740,000","-1,880,000","-3,501,000","-6,123,000","-1,302,000","-2,429,000","869,000","2,618,000","-347,000","-906,000","-1,040,000","32,000",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Continuing Operations,"85,000","-1,942,000","-4,546,000","-24,326,000","9,588,000","1,840,000","-3,937,000","-15,188,000","1,591,000","2,516,000","-18,811,000","-8,301,000","-8,586,000","29,004,000","3,558,000","8,233,000","17,492,000","15,512,000","-9,477,000","-3,153,000",Upgrade,Financials in CAD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"602,000","1,937,000","7,768,000","-3,516,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"85,000","-1,942,000","-4,546,000","-24,326,000","9,588,000","1,840,000","-3,937,000","-15,188,000","1,591,000","2,516,000","-18,811,000","-8,301,000","-8,586,000","29,004,000","3,558,000","8,233,000","18,094,000","17,449,000","-1,709,000","-6,669,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"85,000","-1,942,000","-4,546,000","-24,326,000","9,588,000","1,840,000","-3,937,000","-15,188,000","1,591,000","2,516,000","-18,811,000","-8,301,000","-8,586,000","29,004,000","3,558,000","8,233,000","18,094,000","17,449,000","-1,709,000","-6,669,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income Growth,-99.113%,-,-,-,502.640%,-26.868%,-,-,-,-91.325%,-,-,-,66.222%,-,-,-,-7.950%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"101,132,799","101,330,154","101,173,461","103,718,322","106,250,793","108,475,559","111,518,305","116,830,769","114,466,484","115,082,184","117,173,258","120,112,158","123,059,239","125,971,873","128,841,383","130,092,254","130,867,769","131,045,101","135,144,152","135,592,371",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"101,132,799","101,330,154","101,173,461","103,718,322","106,511,761","108,678,732","111,518,305","116,830,769","114,597,655","115,177,789","117,173,258","120,163,668","123,059,239","126,009,078","128,843,728","130,095,673","131,051,220","131,369,206","135,436,500","135,592,371",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),-5.050%,-6.762%,-9.276%,-11.223%,-7.056%,-5.643%,-4.826%,-2.774%,-6.876%,-8.596%,-9.058%,-7.634%,-6.098%,-4.080%,-4.868%,-4.054%,-5.142%,-8.272%,-5.451%,-5.384%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),0.001,-0.019,-0.045,-0.235,0.090,0.017,-0.035,-0.130,0.014,0.022,-0.161,-0.069,-0.070,0.230,0.028,0.063,0.138,0.133,-0.013,-0.049,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),0.001,-0.020,-0.045,-0.239,0.090,0.017,-0.040,-0.130,0.010,0.020,-0.161,-0.069,-0.070,0.230,0.028,0.060,0.138,0.133,-0.013,-0.053,Upgrade,Financials in CAD,Fiscal year is January - December
EPS Growth,-99.067%,-,-,-,799.990%,-15.190%,-,-,-,-91.304%,-,-,-,72.934%,-,-,-,0.758%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"4,642,000","-1,774,000","29,973,000","17,502,000","14,939,000","-1,644,000","4,192,000","4,392,000","11,229,000","13,226,000","12,826,000","1,967,000","9,633,000","12,173,000","17,013,000","2,038,000","-9,273,000","6,947,000","-21,543,000","7,399,000",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,0.046,-0.018,0.296,0.169,0.140,-0.015,0.038,0.038,0.098,0.115,0.109,0.016,0.078,0.097,0.132,0.016,-0.071,0.053,-0.159,0.055,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,48.792%,49.530%,48.149%,46.114%,49.303%,41.703%,49.350%,45.175%,42.059%,50.508%,50.899%,48.384%,51.494%,43.880%,44.672%,36.346%,43.177%,41.760%,43.325%,49.365%,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,3.472%,4.702%,3.071%,-0.112%,1.141%,-0.122%,6.820%,-11.201%,-13.744%,3.081%,-0.495%,-25.113%,5.483%,0.024%,-4.851%,-14.502%,-17.098%,-5.266%,-16.274%,10.255%,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,0.092%,-2.032%,-5.249%,-32.786%,11.764%,2.047%,-4.767%,-18.600%,2.201%,3.318%,-29.481%,-14.245%,-11.707%,44.082%,7.723%,14.917%,39.996%,32.768%,-3.728%,-17.893%,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,5.031%,-1.856%,34.609%,23.589%,18.330%,-1.829%,5.075%,5.379%,15.535%,17.444%,20.101%,3.375%,13.135%,18.501%,36.929%,3.693%,-20.498%,13.046%,-46.997%,19.852%,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"16,592,000","17,663,000","15,241,000","7,868,000","14,628,000","12,048,000","18,716,000","6,463,000","5,334,000","16,114,000","13,065,000","1,742,000","17,016,000","9,046,000","4,473,000","-1,185,000","-650,000","4,810,000","303,000","5,978,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA Margin,17.983%,18.481%,17.598%,10.604%,17.948%,13.401%,22.659%,7.915%,7.380%,21.253%,20.476%,2.989%,23.201%,13.748%,9.709%,-2.147%,-1.437%,9.033%,0.661%,16.039%,Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"13,389,000","13,169,000","12,581,000","7,951,000","13,698,000","12,158,000","13,083,000","15,609,000","15,268,000","13,778,000","13,381,000","16,376,000","12,995,000","9,030,000","6,708,000","6,819,000","7,085,000","7,614,000","7,763,000","2,156,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"3,203,000","4,494,000","2,660,000","-83,000","930,000","-110,000","5,633,000","-9,146,000","-9,934,000","2,336,000","-316,000","-14,634,000","4,021,000","16,000","-2,235,000","-8,004,000","-7,735,000","-2,804,000","-7,460,000","3,822,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT Margin,3.471%,4.702%,3.071%,-0.112%,1.141%,-0.122%,6.820%,-11.201%,-13.744%,3.081%,-0.495%,-25.113%,5.483%,0.024%,-4.851%,-14.502%,-17.098%,-5.266%,-16.274%,10.255%,Upgrade,Financials in CAD,Fiscal year is January - December
Effective Tax Rate,86.020%,372.370%,-,-,-,-,-,-,-,-,-,-,-,-,19.630%,24.127%,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
