Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"33,118,000,000","18,254,000,000","17,359,000,000","18,514,000,000","18,021,000,000","18,150,000,000","17,411,000,000","18,754,000,000","18,622,000,000","18,197,000,000","18,326,000,000","20,120,000,000","19,135,000,000","18,453,000,000","17,897,000,000","20,293,000,000","18,719,000,000","18,070,000,000","19,054,000,000","25,008,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Revenue Growth (YoY),83.774%,0.573%,-0.299%,-1.280%,-3.227%,-0.258%,-4.993%,-6.789%,-2.681%,-1.387%,2.397%,-0.853%,2.222%,2.120%,-6.072%,-18.854%,-18.025%,-19.096%,-11.709%,-0.219%,Upgrade,Financials in JPY,Fiscal year is April - March
Cost of Revenue,"9,067,000,000","8,202,000,000","8,680,000,000","8,375,000,000","8,356,000,000","8,094,000,000","8,418,000,000","8,578,000,000","8,275,000,000","8,157,000,000","8,769,000,000","9,101,000,000","8,411,000,000","8,177,000,000","8,793,000,000","9,381,000,000","8,217,000,000","7,682,000,000","8,899,000,000","10,573,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Gross Profit,"24,051,000,000","10,052,000,000","8,679,000,000","10,139,000,000","9,665,000,000","10,056,000,000","8,993,000,000","10,176,000,000","10,347,000,000","10,040,000,000","9,557,000,000","11,019,000,000","10,724,000,000","10,276,000,000","9,104,000,000","10,912,000,000","10,502,000,000","10,388,000,000","10,155,000,000","14,435,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
"Selling, General & Admin","4,247,000,000","4,303,000,000","3,681,000,000","4,015,000,000","4,307,000,000","4,162,000,000","3,618,000,000","4,010,000,000","3,895,000,000","3,953,000,000","3,739,000,000","4,139,000,000","3,966,000,000","3,989,000,000","4,164,000,000","4,151,000,000","4,057,000,000","3,783,000,000","4,168,000,000","4,339,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Research & Development,"2,975,000,000","2,998,000,000","4,041,000,000","2,764,000,000","3,138,000,000","2,600,000,000","9,479,000,000","1,980,000,000","2,300,000,000","2,030,000,000","2,385,000,000","2,027,000,000","2,143,000,000","1,865,000,000","1,874,000,000","1,595,000,000","1,694,000,000","1,573,000,000","1,677,000,000","1,407,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Operating Expenses,"7,222,000,000","7,301,000,000","8,039,000,000","6,779,000,000","7,445,000,000","6,762,000,000","13,388,000,000","5,990,000,000","6,195,000,000","5,983,000,000","6,382,000,000","6,166,000,000","6,109,000,000","5,854,000,000","6,265,000,000","5,746,000,000","5,751,000,000","5,356,000,000","6,076,000,000","5,746,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Operating Income,"16,829,000,000","2,751,000,000","640,000,000","3,360,000,000","2,220,000,000","3,294,000,000","-4,395,000,000","4,186,000,000","4,152,000,000","4,057,000,000","3,175,000,000","4,853,000,000","4,615,000,000","4,422,000,000","2,839,000,000","5,166,000,000","4,751,000,000","5,032,000,000","4,079,000,000","8,689,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Interest Expense,"-7,000,000","-5,000,000","-4,000,000","-5,000,000","-4,000,000","-4,000,000","-5,000,000","-4,000,000","-4,000,000","-4,000,000","-5,000,000","-4,000,000","-4,000,000","-4,000,000","-5,000,000","-4,000,000","-4,000,000","-4,000,000","-4,000,000","-5,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Interest & Investment Income,"15,000,000","288,000,000","7,000,000","217,000,000","6,000,000","249,000,000","5,000,000","197,000,000","6,000,000","230,000,000","4,000,000","175,000,000","5,000,000","212,000,000","5,000,000","166,000,000","5,000,000","217,000,000","4,000,000","174,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
