Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"2,012,809","148,980","156,733","1,607,775","1,341,574","1,693,524",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),-,-4.947%,-90.252%,19.842%,-20.782%,234.508%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"1,019,207","39,510","44,704","1,039,334","814,715","1,083,612",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"993,602","109,470","112,029","568,441","526,859","609,912",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","3,625,051","2,412,956","2,533,613","4,074,748","3,425,105","2,658,727",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"1,522,275","1,046,976","1,036,021","1,311,078","1,286,510","1,328,016",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"5,147,326","3,459,932","3,569,634","5,385,826","4,711,615","3,986,743",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-4,153,724","-3,350,462","-3,457,605","-4,817,385","-4,184,756","-3,376,831",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-757,969","-1,215,015","-816,664","-416,057","-121,556","-141,675",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"7,129","5,665","15,463","121,929","38,300",454,Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),648,621,"-17,730","3,975","1,600","-5,984",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,903,916","-4,559,191","-4,276,536","-5,107,538","-4,266,412","-3,524,036",Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,"-6,924","-6,924",-,"-66,172","-39,617","-213,365",Upgrade,Financials in CAD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,"2,668,600",Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,-,"3,770","254,898","323,798","460,053","108,623",Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-4,910,840","-4,562,345","-4,021,638","-4,849,912","-3,845,976","-960,178",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Continuing Operations,"-4,910,840","-4,562,345","-4,021,638","-4,849,912","-3,845,976","-960,178",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Discontinued Operations,"10,509,654","-471,758","131,746",-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Company,"5,598,814","-5,034,103","-3,889,892","-4,849,912","-3,845,976","-960,178",Upgrade,Financials in CAD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,"245,346","129,290",-,Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"5,598,814","-5,034,103","-3,889,892","-4,604,566","-3,716,686","-960,178",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"5,598,814","-5,034,103","-3,889,892","-4,604,566","-3,716,686","-960,178",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"132,474,939","127,119,957","120,702,074","112,600,420","108,613,535","82,303,996",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"132,474,939","127,119,957","120,702,074","112,600,420","108,613,535","82,303,996",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),4.718%,5.317%,7.195%,3.671%,31.966%,2.734%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),0.042,-0.040,-0.032,-0.041,-0.034,-0.012,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),0.042,-0.040,-0.032,-0.041,-0.034,-0.012,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-5,647,492","-3,230,841","-3,052,685","-2,475,863","-3,966,199","-909,280",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.043,-0.025,-0.025,-0.022,-0.037,-0.011,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,49.364%,73.480%,71.478%,35.356%,39.272%,36.014%,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-206.365%,-2248.934%,-2206.048%,-299.631%,-311.929%,-199.397%,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,278.159%,-3379.046%,-2481.859%,-286.394%,-277.039%,-56.697%,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-280.578%,-2168.641%,-1947.698%,-153.993%,-295.638%,-53.692%,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-4,154,849","-3,234,415","-3,299,694","-4,732,696","-4,119,505","-3,322,840",Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA Margin,-206.420%,-,-,-294.363%,-,-196.209%,Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"-1,125","116,047","157,911","84,689","65,251","53,991",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-4,153,724","-3,350,462","-3,457,605","-4,817,385","-4,184,756","-3,376,831",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT Margin,-206.364%,-,-,-299.630%,-,-199.397%,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue as Reported,"2,012,809","148,980","156,733","1,607,775","1,341,574","1,693,524",Upgrade,Financials in CAD,Fiscal year is January - December
