Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"1,282,698","620,437","51,886",-,"27,003","28,918","35,271",-,"571,686","839,579","565,433","411,693","541,302","278,741","376,039","257,338","360,603","267,493","456,139","564,139",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue,"1,282,698","620,437","51,886",-,"27,003","28,918","35,271",-,"571,686","839,579","565,433","411,693","541,302","278,741","376,039","257,338","360,603","267,493","456,139","564,139",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),4650.206%,2045.505%,47.107%,-,-95.277%,-96.556%,-93.762%,-,5.613%,201.204%,50.366%,59.981%,50.110%,4.205%,-17.560%,-54.384%,25.717%,20.879%,-26.578%,223.768%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"723,944","259,941","11,835",-,"3,512","5,392","7,118",-,"301,946","200,364","381,812","224,378","409,637","195,157","210,163","154,622","231,447","151,923","276,723","363,905",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"558,754","360,496","40,051",-,"23,491","23,526","28,153",-,"269,740","639,215","183,621","187,315","131,665","83,584","165,876","102,716","129,156","115,570","179,416","200,234",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","986,824","978,477","786,851",-,"716,839","218,579","604,639",-,"1,020,825","951,877","1,068,248","950,726","1,405,664","889,092","829,266","906,236","869,309","630,815","1,018,745","715,026",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"183,240","484,920","441,302",-,"277,962","55,917","300,285",-,"100,929","409,429","351,849","539,959","249,469","201,304","320,345","255,108","377,831","80,633","572,938","578,377",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"1,170,064","1,463,397","1,228,153",-,"994,801","274,496","904,924",-,"1,121,754","1,361,306","1,420,097","1,490,685","1,655,133","1,090,396","1,149,611","1,161,344","1,247,140","711,448","1,591,683","1,293,403",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-611,310","-1,102,901","-1,188,102",-,"-971,310","-250,970","-876,771",-,"-852,014","-722,091","-1,236,476","-1,303,370","-1,523,468","-1,006,812","-983,735","-1,058,628","-1,117,984","-595,878","-1,412,267","-1,093,169",Upgrade,Financials in CAD,Fiscal year is January - December
