Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
"Selling, General & Admin","10,011,800","11,021,800","18,399,900","14,878,300","4,758,000","2,544,400",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"13,374,500","8,917,500","12,714,400","10,427,400","5,052,900","1,161,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"23,386,300","19,939,300","31,114,300","25,305,700","9,810,900","3,705,400",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-23,386,300","-19,939,300","-31,114,300","-25,305,700","-9,810,900","-3,705,400",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,590,200","-1,852,200","-166,500","-12,200","-3,300","-22,500",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,878,200","2,572,200","12,800","53,400",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-25,098,300","-19,219,300","-31,268,000","-25,264,500","-9,814,200","-3,727,900",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-430,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,"-1,730,000","-3,463,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"105,800","-9,386,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-25,098,300","-20,949,300","-34,731,000","-25,588,700","-19,200,200","-3,727,900",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-25,098,300","-20,949,300","-34,731,000","-25,588,700","-19,200,200","-3,727,900",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"5,483,200","2,550,200","344,800","222,000","712,400","250,600",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-30,581,500","-23,499,500","-35,075,800","-25,810,700","-19,912,600","-3,978,500",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,392,078","1,097,630","544,475","380,569","150,195","95,427",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,392,078","1,097,630","544,475","380,569","150,195","95,427",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),49.370%,101.594%,43.069%,153.383%,57.393%,0.026%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-21.968,-21.409,-64.421,-67.821,-132.578,-41.692,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-21.968,-21.409,-64.421,-67.821,-132.578,-41.692,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-21,665,900","-21,431,900","-28,626,400","-22,216,300","-7,584,200","-3,216,600",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-15.564,-19.526,-52.576,-58.377,-50.496,-33.707,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-21,165,200","-17,718,200","-29,440,900","-24,835,900","-9,610,900","-3,617,900",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,221,100","2,221,100","1,673,400","469,800","200,000","87,500",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-23,386,300","-19,939,300","-31,114,300","-25,305,700","-9,810,900","-3,705,400",Upgrade,Financials in USD,Fiscal year is January - December
