Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2021,FY 2020,2019 - 2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Jul '21 Jul 31, 2021","Jul '20 Jul 31, 2020",2019 - 2018,,
Revenue,"28,469,417","30,520,783","27,003,157","33,457,025","9,798,741","7,971,497",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-2.392%,13.027%,-19.290%,241.442%,22.922%,7257.445%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"19,404,476","20,591,417","17,449,072","25,042,714","7,106,719","5,862,697",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"9,064,941","9,929,366","9,554,085","8,414,311","2,692,022","2,108,800",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","13,096,593","13,271,576","19,226,918","9,253,502","2,997,593","5,060,469",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"18,976","202,424","1,837,835","279,891",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"1,209,319","1,235,862","936,241","132,801",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"16,115,596","16,543,267","23,897,308","11,168,021","7,089,333","9,997,682",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,050,655","-6,613,901","-14,343,223","-2,753,710","-4,397,311","-7,888,882",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,836,871","-4,389,918","-4,466,057","-3,977,187","-177,237","-6,731",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,274,"1,694",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,"-2,208","-8,009",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"226,967","1,883,818","-1,226,155","681,549","-93,359","-51,210",Upgrade,Financials in USD,Fiscal year is January - December
