Fiscal Quarter,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014",+20 Quarters,,
Cost of Revenue,-,-,-,800,-,-,-,800,-,-,-,"1,775",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-800,-,-,-,-800,-,-,-,"-1,775",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,647","21,653","26,038","21,360","16,732","18,777","16,074","15,007","20,977","19,305","24,727","30,001","19,046","36,584","16,558","12,661","13,315","17,577","17,799","11,315",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"20,799","21,949","26,085","21,360","16,732","18,777","16,074","59,250","20,977","19,305","24,727","30,001","19,046","36,584","16,558","12,661","13,315","17,577","17,799","11,315",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-20,799","-21,949","-26,085","-22,160","-16,732","-18,777","-16,074","-60,050","-20,977","-19,305","-24,727","-31,776","-19,046","-36,584","-16,558","-12,661","-13,315","-17,577","-17,799","-11,315",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,"-4,645","-7,507","-9,821","-13,541","-25,370","-34,025","-30,436","-27,937","-26,141","-37,285","-33,926","-36,939","-26,335","-8,349","-8,441","-2,127","-18,273","-9,994","-9,260",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"11,199","16,262","3,130","-32,054","9,799","-17,892",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,600","-10,332","-30,462","-64,035","-20,474","-62,039","-50,099","-90,486","-48,914","-45,446","-62,012","-65,702","-55,985","-62,919","-24,907","-21,102","-15,442","-35,850","-27,793","-20,575",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-38,810","-95,823","110,757","-451,382","58,133","-422,466",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-675,404",-,"675,404",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"675,404",-,-,-,-,-,-,-,-,-,-,-,-,-,"18,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-48,410","-106,155","80,295","-515,417","37,659","190,899","-50,099","-90,486","-48,914","-45,446","-62,012","-65,702","-55,985","-62,919","-24,907","-21,102","-15,442","-17,850","-27,793","-20,575",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-48,410","-106,155","80,295","-515,417","37,659","190,899","-50,099","-90,486","-48,914","-45,446","-62,012","-65,702","-55,985","-62,919","-24,907","-21,102","-15,442","-17,850","-27,793","-20,575",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-48,410","-106,155","80,295","-515,417","37,659","190,899","-50,099","-90,486","-48,914","-45,446","-62,012","-65,702","-55,985","-62,919","-24,907","-21,102","-15,442","-17,850","-27,793","-20,575",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,761,728","2,671,886","2,626,086","2,626,339","2,626,073","2,626,086","2,626,086","2,500,374","2,485,217","2,467,814","2,347,814","2,267,825","2,267,814","2,266,330","2,262,814","2,266,871","2,262,814","1,905,094","1,140,314","1,140,449",Upgrade,Financials in USD,Fiscal year is January - December
