Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Jul '24 Jul 31, 2024","Jul '23 Jul 31, 2023","Jul '22 Jul 31, 2022","Jul '21 Jul 31, 2021","Jul '20 Jul 31, 2020",2019,,
"Selling, General & Admin","820,801","846,893","1,351,302","1,128,438","635,718","368,239",Upgrade,Financials in CAD,Fiscal year is August - July
Research & Development,"101,782","302,023","761,285","1,377,160","613,099","265,200",Upgrade,Financials in CAD,Fiscal year is August - July
Operating Expenses,"1,010,092","1,224,636","2,192,702","2,505,750","1,249,002","1,018,294",Upgrade,Financials in CAD,Fiscal year is August - July
Operating Income,"-1,010,092","-1,224,636","-2,192,702","-2,505,750","-1,249,002","-1,018,294",Upgrade,Financials in CAD,Fiscal year is August - July
Interest Expense,"-129,101","-113,977","-38,422",-,-,-,Upgrade,Financials in CAD,Fiscal year is August - July
Interest & Investment Income,-,-,-,-,239,403,Upgrade,Financials in CAD,Fiscal year is August - July
Currency Exchange Gain (Loss),"-6,844","-54,218","-4,782","-4,311","6,876",-570,Upgrade,Financials in CAD,Fiscal year is August - July
Other Non Operating Income (Expenses),"-263,989","-257,248","-55,483","-44,078","-2,918",-719,Upgrade,Financials in CAD,Fiscal year is August - July
EBT Excluding Unusual Items,"-1,410,026","-1,650,079","-2,291,389","-2,554,139","-1,244,805","-1,019,180",Upgrade,Financials in CAD,Fiscal year is August - July
Merger & Restructuring Charges,-,-,-,-,"-1,911,351",-,Upgrade,Financials in CAD,Fiscal year is August - July
Other Unusual Items,-,-,-,-,"-35,000",-,Upgrade,Financials in CAD,Fiscal year is August - July
Pretax Income,"-1,410,026","-1,650,079","-2,291,389","-2,554,139","-3,191,156","-1,019,180",Upgrade,Financials in CAD,Fiscal year is August - July
Income Tax Expense,-,-,-,-,"-151,810","-63,523",Upgrade,Financials in CAD,Fiscal year is August - July
Net Income,"-1,410,026","-1,650,079","-2,291,389","-2,554,139","-3,039,346","-955,657",Upgrade,Financials in CAD,Fiscal year is August - July
Net Income to Common,"-1,410,026","-1,650,079","-2,291,389","-2,554,139","-3,039,346","-955,657",Upgrade,Financials in CAD,Fiscal year is August - July
Shares Outstanding (Basic),"41,213,827","39,963,827","39,660,478","32,758,834","17,697,166","7,370,345",Upgrade,Financials in CAD,Fiscal year is August - July
Shares Outstanding (Diluted),"41,213,827","39,963,827","39,660,478","32,758,834","17,697,166","7,370,345",Upgrade,Financials in CAD,Fiscal year is August - July
Shares Change (YoY),3.591%,0.765%,21.068%,85.108%,140.113%,-,Upgrade,Financials in CAD,Fiscal year is August - July
EPS (Basic),-0.034,-0.041,-0.058,-0.078,-0.172,-0.130,Upgrade,Financials in CAD,Fiscal year is August - July
EPS (Diluted),-0.034,-0.041,-0.058,-0.078,-0.172,-0.130,Upgrade,Financials in CAD,Fiscal year is August - July
Free Cash Flow,"-1,202,339","-1,179,496","-1,332,235","-2,193,937","-1,370,575","-538,535",Upgrade,Financials in CAD,Fiscal year is August - July
Free Cash Flow Per Share,-0.029,-0.030,-0.034,-0.067,-0.077,-0.073,Upgrade,Financials in CAD,Fiscal year is August - July
EBITDA,-,-,"-2,192,550","-2,505,598","-1,248,817","-1,017,881",Upgrade,Financials in CAD,Fiscal year is August - July
D&A For EBITDA,-,-,152,152,185,413,Upgrade,Financials in CAD,Fiscal year is August - July
EBIT,"-1,010,092","-1,224,636","-2,192,702","-2,505,750","-1,249,002","-1,018,294",Upgrade,Financials in CAD,Fiscal year is August - July
