Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Sep '24 Sep 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020",2019 - 2015,,
Revenue,"25,394,148","25,394,148","16,514,776","19,076,241","18,592,960","10,524,904",Upgrade,Financials in CAD,Fiscal year is October - September
Revenue Growth (YoY),53.766%,53.766%,-13.428%,2.599%,76.657%,-21.528%,Upgrade,Financials in CAD,Fiscal year is October - September
Cost of Revenue,"10,002,447","10,002,447","9,033,442","7,951,399","7,549,020","5,864,007",Upgrade,Financials in CAD,Fiscal year is October - September
Gross Profit,"15,391,701","15,391,701","7,481,334","11,124,842","11,043,940","4,660,897",Upgrade,Financials in CAD,Fiscal year is October - September
"Selling, General & Admin","9,361,307","9,361,307","8,171,026","6,715,354","5,174,091","4,172,372",Upgrade,Financials in CAD,Fiscal year is October - September
Research & Development,"2,125,382","2,125,382","2,046,740","1,799,275","1,033,254","1,013,126",Upgrade,Financials in CAD,Fiscal year is October - September
Operating Expenses,"11,486,689","11,486,689","10,217,766","8,514,629","6,207,345","5,185,498",Upgrade,Financials in CAD,Fiscal year is October - September
Operating Income,"3,905,012","3,905,012","-2,736,432","2,610,213","4,836,595","-524,601",Upgrade,Financials in CAD,Fiscal year is October - September
Interest Expense,"-921,775","-921,775","-839,378","-826,560","-1,603,271","-1,056,102",Upgrade,Financials in CAD,Fiscal year is October - September
Interest & Investment Income,"687,506","687,506","457,742","82,270",66,-,Upgrade,Financials in CAD,Fiscal year is October - September
Other Non Operating Income (Expenses),-1,-1,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
EBT Excluding Unusual Items,"3,670,742","3,670,742","-3,118,068","1,865,923","3,233,390","-1,580,703",Upgrade,Financials in CAD,Fiscal year is October - September
Asset Writedown,-,-,"3,078,585",-,-,"-3,078,585",Upgrade,Financials in CAD,Fiscal year is October - September
Pretax Income,"3,670,742","3,670,742","-39,483","1,865,923","3,233,390","-4,659,288",Upgrade,Financials in CAD,Fiscal year is October - September
Income Tax Expense,"150,563","150,563",-,"77,234",-,"1,568,237",Upgrade,Financials in CAD,Fiscal year is October - September
Net Income,"3,520,179","3,520,179","-39,483","1,788,689","3,233,390","-6,227,525",Upgrade,Financials in CAD,Fiscal year is October - September
Net Income to Common,"3,520,179","3,520,179","-39,483","1,788,689","3,233,390","-6,227,525",Upgrade,Financials in CAD,Fiscal year is October - September
Net Income Growth,-,-,-,-44.681%,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Shares Outstanding (Basic),"136,697,660","136,697,660","137,911,884","135,376,255","114,845,425","104,839,372",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Outstanding (Diluted),"137,490,848","137,490,848","137,911,884","141,688,249","141,683,209","104,839,372",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Change (YoY),-0.305%,-0.305%,-2.665%,0.004%,35.143%,7.987%,Upgrade,Financials in CAD,Fiscal year is October - September
EPS (Basic),0.026,0.026,-0.000,0.013,0.028,-0.059,Upgrade,Financials in CAD,Fiscal year is October - September
EPS (Diluted),0.026,0.026,-0.000,0.013,0.026,-0.059,Upgrade,Financials in CAD,Fiscal year is October - September
EPS Growth,-,-,-,-49.981%,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow,"2,711,474","2,711,474","-2,110,793","1,439,561","863,899","-804,142",Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow Per Share,0.020,0.020,-0.015,0.010,0.006,-0.008,Upgrade,Financials in CAD,Fiscal year is October - September
Gross Margin,60.611%,60.611%,45.301%,58.318%,59.398%,44.284%,Upgrade,Financials in CAD,Fiscal year is October - September
Operating Margin,15.378%,15.378%,-16.570%,13.683%,26.013%,-4.984%,Upgrade,Financials in CAD,Fiscal year is October - September
Profit Margin,13.862%,13.862%,-0.239%,9.377%,17.390%,-59.169%,Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow Margin,10.678%,10.678%,-12.781%,7.546%,4.646%,-7.640%,Upgrade,Financials in CAD,Fiscal year is October - September
EBITDA,"5,202,557","5,202,557","-1,896,122","3,328,195","5,386,730","-95,441",Upgrade,Financials in CAD,Fiscal year is October - September
EBITDA Margin,20.487%,20.487%,-11.481%,17.447%,28.972%,-0.907%,Upgrade,Financials in CAD,Fiscal year is October - September
D&A For EBITDA,"1,297,545","1,297,545","840,310","717,982","550,135","429,160",Upgrade,Financials in CAD,Fiscal year is October - September
EBIT,"3,905,012","3,905,012","-2,736,432","2,610,213","4,836,595","-524,601",Upgrade,Financials in CAD,Fiscal year is October - September
EBIT Margin,15.378%,15.378%,-16.570%,13.683%,26.013%,-4.984%,Upgrade,Financials in CAD,Fiscal year is October - September
Effective Tax Rate,4.102%,4.102%,-,4.139%,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Revenue as Reported,"25,394,148","25,394,148","16,514,776","19,076,241","18,592,960","10,524,904",Upgrade,Financials in CAD,Fiscal year is October - September
