Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"7,446,000","6,034,000","31,247,000","10,463,000","8,002,000","10,511,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue,"7,446,000","6,034,000","31,247,000","10,463,000","8,002,000","10,511,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-17.514%,-80.689%,198.643%,30.755%,-23.870%,38.741%,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"1,494,000","1,643,000","1,983,000","1,360,000","1,292,000","383,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"5,952,000","4,391,000","29,264,000","9,103,000","6,710,000","10,128,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","9,059,000","9,336,000","9,885,000","6,838,000","8,557,000","7,788,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"12,645,000","11,545,000","8,099,000","11,267,000","22,262,000","22,622,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"-336,000","-341,000","-426,000","-684,000","3,087,000","-121,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"21,368,000","20,540,000","17,558,000","17,421,000","33,906,000","30,289,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-15,416,000","-16,149,000","11,706,000","-8,318,000","-27,196,000","-20,161,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-544,000","-544,000","-634,000","-344,000","-399,000","-450,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"243,000","135,000","29,000","19,000","63,000","158,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"85,000","-30,000","-17,000","-14,000","50,000","-68,000",Upgrade,Financials in EUR,Fiscal year is January - December
