Fiscal Year,TTM,FY 2019,FY 2018,FY 2017,FY 2016,FY 2015,2014 - 2012,Currency,Fiscal_Year_period
Period Ending,"Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015",2014 - 2012,,
Operating Revenue,"58,982,778","75,560,021","59,825,450","26,522,546","8,003,943","9,215,366",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"58,982,778","75,560,021","59,825,450","26,522,546","8,003,943","9,215,366",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-20.711%,26.301%,125.565%,231.369%,-13.146%,-36.546%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"12,498,948","17,829,304","19,485,919","8,113,510","3,366,043","3,910,624",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"46,483,830","57,730,717","40,339,531","18,409,036","4,637,900","5,304,742",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","46,735,339","54,001,617","48,357,282","22,650,793","8,472,834","8,270,625",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"195,192","430,568",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"48,702,421","56,309,721","49,881,064","23,433,835","9,053,596","9,296,785",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,218,591","1,420,996","-9,541,533","-5,024,799","-4,415,696","-3,992,043",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-985,169","-1,089,183","-1,823,707","-7,018,797","-11,113,032","-3,048,969",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"511,029","511,591","208,401","771,525","2,251","731,994",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,985,372","2,175,254","-399,870",-,-,"-1,408,210",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-707,359","3,018,658","-11,556,709","-11,272,071","-15,526,477","-7,717,228",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-130,841,396",-,"129,225,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"9,226,439","82,243,444","-189,973,542",-,"-9,915,621","-16,404,027",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,"-73,465,120",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"277,825","-857,926","-1,100,293","-85,000","-80,500","-3,889,096",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-833,805","-1,763,822",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"8,796,905","84,404,176","-202,630,544","-142,198,467","-26,356,403","25,985,707",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"8,796,905","84,404,176","-202,630,544","-142,198,467","-26,356,403","25,985,707",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,"-5,906,443",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"8,796,905","84,404,176","-202,630,544","-148,104,910","-26,356,403","25,985,707",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,"448,191","-14,740",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"8,796,905","84,404,176","-202,630,544","-148,104,910","-25,908,212","25,970,967",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"8,796,905","84,404,176","-202,630,544","-148,104,910","-25,908,212","25,970,967",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,866,316,936","3,755,180,830","3,562,197,168","3,270,657,002","3,125,187,381","2,866,710,414",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,866,316,936","3,755,180,830","3,562,197,168","3,270,657,002","3,125,187,381","2,866,710,414",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.822%,5.418%,8.914%,4.655%,9.017%,60.831%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.002,0.022,-0.057,-0.045,-0.008,0.009,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.002,0.022,-0.057,-0.045,-0.008,0.009,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"12,201,668","86,222,477","-198,876,521","-155,080,543","-19,613,376","13,384,174",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.003,0.023,-0.056,-0.047,-0.006,0.005,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,78.809%,76.404%,67.429%,69.409%,57.945%,57.564%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-3.761%,1.881%,-15.949%,-18.945%,-55.169%,-43.319%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,14.914%,111.705%,-338.703%,-558.411%,-323.693%,281.822%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,20.687%,114.111%,-332.428%,-584.712%,-245.046%,145.238%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,"1,454,649","-9,417,114","-4,530,531","-3,850,946","-3,309,604",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,1.925%,-15.741%,-17.082%,-48.113%,-35.914%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,"33,653","124,419","494,268","564,750","682,439",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-2,218,591","1,420,996","-9,541,533","-5,024,799","-4,415,696","-3,992,043",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-3.761%,1.881%,-15.949%,-18.945%,-55.169%,-43.319%,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,"1,605,544","646,257","458,330",Upgrade,Financials in USD,Fiscal year is January - December
