Fiscal Quarter,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,+14 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014",+14 Quarters,,
Operating Revenue,"10,986,012","13,351,743","16,926,418","17,718,605","20,687,080","20,227,918","17,662,776","16,827,486","15,815,529","10,535,022",-,"7,783,297","5,702,749","3,612,739","1,570,177","1,845,575","2,236,309","3,563,305","2,254,877","3,428,502",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"10,986,012","13,351,743","16,926,418","17,718,605","20,687,080","20,227,918","17,662,776","16,827,486","15,815,529","10,535,022",-,"7,783,297","5,702,749","3,612,739","1,570,177","1,845,575","2,236,309","3,563,305","2,254,877","3,428,502",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-46.894%,-33.993%,-4.169%,5.296%,30.802%,92.006%,-,116.200%,177.332%,191.608%,-,321.727%,155.007%,1.387%,-30.365%,-46.170%,-53.620%,-11.311%,14.702%,467.241%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,234,158","2,163,381","3,703,209","4,398,200","5,321,438","4,406,457","5,282,575","4,769,785","6,238,908","3,282,674",-,"2,748,833","1,607,051","1,067,510","562,587","1,069,498","940,833","1,337,706","1,021,782","1,544,242",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"8,751,854","11,188,362","13,223,209","13,320,405","15,365,642","15,821,461","12,380,201","12,057,701","9,576,621","7,252,348",-,"5,034,464","4,095,698","2,545,229","1,007,590","776,077","1,295,476","2,225,599","1,233,095","1,884,260",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,019,078","11,252,999","10,179,043","15,147,505","14,377,954","14,160,401","17,643,301","11,456,524","11,581,940","8,602,857",-,"6,617,274","4,657,355","3,387,408","1,659,335","2,098,894","1,887,712","2,624,684","1,674,936","2,527,808",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"6,701","2,361","225,119","97,725","107,724","136,714",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-12,962",223,"6,521","6,218","1,656",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"10,101,175","11,255,360","11,885,343","15,460,543","14,666,720","14,297,115","18,966,840","11,456,524","11,737,218","8,647,822",-,"6,765,051","4,805,132","3,538,990","2,079,140","2,358,806","2,063,861","2,794,978","1,802,141","2,559,128",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,349,321","-66,998","1,337,866","-2,140,138","698,922","1,524,346","-6,586,639","601,177","-2,160,597","-1,395,474",-,"-1,730,587","-709,434","-993,761","-1,071,550","-1,582,729","-768,385","-569,379","-569,046","-674,868",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-171,366","-209,685","-403,460","-200,658","-235,328","-249,737","-834,956","-299,877","-231,326","-457,548",-,"-1,305,024","-1,664,927","-1,150,340","-93,358","-1,674,490","-912,749","-368,372","-990,217","-1,376",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"103,281","112,255","169,663","125,830","106,064","110,034","53,900","39,106","38,151","77,244",-,"76,438","329,228","6,283","257,873","180,127","119,932","174,062","527,255","7,366",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-224,828","-19,270","-49,560","2,279,030","-94,368","40,152","-366,240","-7,460","-24,700","-1,469",-,-,-,-,"-1,029,136","-87,717","-109,118","-182,239","-190,738","-159,495",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,642,234","-183,698","1,054,509","64,064","475,290","1,424,795","-7,733,935","332,946","-2,378,472","-1,777,247",-,"-2,959,173","-2,045,133","-2,137,818","-1,936,171","-3,164,809","-1,670,320","-945,928","-1,222,746","-828,373",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"129,225,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"11,341,786","-90,597,014","91,485,326","-3,003,659","-15,188,314","8,950,091","-16,055,200","-22,712,511","-18,704,941","-132,500,890",-,-,-,-,"-12,128,904","-4,168,457","-106,666",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-73,465,120",-,-,-,"-1,469,706",-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,"-1,338","175,085","104,078","-300,353","-836,736","-797,077",-,"11,413","-314,629",-,-,-,"-85,000",-,"-18,403","-3,870,693",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,763,822",-,-,-,"-1,164,000","1,164,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"9,699,552","-90,782,050","92,714,920","-2,835,517","-15,013,377","9,538,150","-24,586,212","-22,379,565","-21,072,000","-134,592,766",-,"-2,959,173","-2,045,133","-2,222,818","39,930,983","-7,351,669","-5,647,679","-945,928","-3,856,452","335,627",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"9,699,552","-90,782,050","92,714,920","-2,835,517","-15,013,377","9,538,150","-24,586,212","-22,379,565","-21,072,000","-134,592,766",-,"-2,959,173","-2,045,133","-2,222,818","39,930,983","-7,351,669","-5,647,679","-945,928","-3,856,452","335,627",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-128,987","51,364","-4,041","66,924","-141,622","71,095",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"9,699,552","-90,782,050","92,714,920","-2,835,517","-15,013,377","9,538,150","-24,586,212","-22,379,565","-21,072,000","-134,592,766",-,"-2,959,173","-2,045,133","-2,222,818","39,801,996","-7,300,305","-5,651,720","-879,004","-3,998,074","406,722",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"9,699,552","-90,782,050","92,714,920","-2,835,517","-15,013,377","9,538,150","-24,586,212","-22,379,565","-21,072,000","-134,592,766",-,"-2,959,173","-2,045,133","-2,222,818","39,801,996","-7,300,305","-5,651,720","-879,004","-3,998,074","406,722",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-94.860%,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,866,316,936","3,729,735,531","3,755,180,830","3,694,273,820","3,653,591,056","3,604,039,425","3,562,197,168","3,464,827,406","3,444,369,867","3,399,472,038",-,"3,204,480,019","3,182,572,856","3,155,562,845","2,866,710,414","1,898,898,513","1,852,520,040","1,785,068,828","1,782,440,181","949,106,848",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,866,316,936","3,729,735,531","3,755,180,830","3,694,273,820","3,653,591,056","3,604,039,425","3,562,197,168","3,464,827,406","3,444,369,867","3,399,472,038",-,"3,204,480,019","3,182,572,856","3,155,562,845","2,866,710,414","1,898,898,513","1,852,520,040","1,785,068,828","1,782,440,181","949,106,848",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.822%,3.488%,5.418%,6.622%,6.074%,6.018%,-,8.124%,8.226%,7.729%,-,68.755%,71.797%,76.775%,60.831%,100.072%,95.190%,88.092%,87.920%,0.158%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.003,-0.024,0.025,-0.001,-0.004,0.003,-0.007,-0.006,-0.006,-0.040,-,-0.001,-0.001,-0.001,0.014,-0.004,-0.003,-0.000,-0.002,0.000,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.003,-0.024,0.025,-0.001,-0.004,0.003,-0.007,-0.006,-0.006,-0.040,-,-0.001,-0.001,-0.001,0.014,-0.004,-0.003,-0.000,-0.002,0.000,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-94.875%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"9,147,317","-91,653,748","97,344,417","-2,636,318","-14,837,689","6,352,067","-21,275,343","-24,370,163","-19,592,667","-135,073,765",-,"-1,023,137","-2,242,681","-6,877,300","25,585,216","-6,116,322","-5,890,099","-194,621","-7,231,367","364,779",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.002,-0.025,0.026,-0.001,-0.004,0.002,-0.006,-0.007,-0.006,-0.040,-,-0.000,-0.001,-0.002,0.009,-0.003,-0.003,-0.000,-0.004,0.000,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,79.664%,83.797%,78.122%,75.177%,74.276%,78.216%,70.092%,71.655%,60.552%,68.840%,-,64.683%,71.820%,70.451%,64.170%,42.051%,57.929%,62.459%,54.686%,54.959%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-12.282%,-0.502%,7.904%,-12.078%,3.379%,7.536%,-37.291%,3.573%,-13.661%,-13.246%,-,-22.235%,-12.440%,-27.507%,-68.244%,-85.758%,-34.360%,-15.979%,-25.236%,-19.684%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,88.290%,-679.927%,547.753%,-16.003%,-72.574%,47.153%,-139.198%,-132.994%,-133.236%,-1277.575%,-,-38.020%,-35.862%,-61.527%,2534.873%,-395.557%,-252.725%,-24.668%,-177.308%,11.863%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,83.263%,-686.455%,575.103%,-14.879%,-71.724%,31.402%,-120.453%,-144.824%,-123.882%,-1282.140%,-,-13.145%,-39.326%,-190.362%,1629.448%,-331.405%,-263.385%,-5.462%,-320.699%,10.640%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,"1,449,043","-2,028,961","730,027","1,555,451","-6,553,298","645,262","-2,156,485","-1,352,593",-,"-1,582,810","-561,657","-842,179","-901,249","-1,404,295","-598,757","-405,303","-449,910","-643,548",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,8.561%,-11.451%,3.529%,7.690%,-37.102%,3.834%,-13.635%,-12.839%,-,-20.336%,-9.849%,-23.311%,-57.398%,-76.090%,-26.774%,-11.374%,-19.953%,-18.770%,Upgrade,Financials in USD,Fiscal year is January - December
