Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,-,-,"25,000",Financials in CAD,Fiscal year is January - December
Cost of Revenue,"17,657,000","8,817,000","3,734,000","2,020,007","892,781","1,282,534",Financials in CAD,Fiscal year is January - December
Gross Profit,"-17,657,000","-8,817,000","-3,734,000","-2,020,007","-892,781","-1,257,534",Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","8,586,000","6,646,000","4,694,000","1,652,794","898,921","1,193,873",Financials in CAD,Fiscal year is January - December
Research & Development,-,-,-,"-42,408","-270,575","-490,042",Financials in CAD,Fiscal year is January - December
Operating Expenses,"8,586,000","6,646,000","4,694,000","2,747,603","717,375","742,007",Financials in CAD,Fiscal year is January - December
Operating Income,"-26,243,000","-15,463,000","-8,428,000","-4,767,610","-1,610,156","-1,999,541",Financials in CAD,Fiscal year is January - December
Interest Expense,-,"-177,000",-,"-51,135","-5,470",-,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"1,648,000","1,333,000","63,000","7,986","4,971","12,878",Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"33,000","-1,157,000","-70,000","5,889","-3,260",-,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-5,000","1,000","3,000","-10,700,782","35,385","-1,789",Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-24,567,000","-15,463,000","-8,432,000","-15,505,652","-1,578,530","-1,988,452",Financials in CAD,Fiscal year is January - December
Asset Writedown,"-3,918,000",-,"-2,885,000",-,-,-,Financials in CAD,Fiscal year is January - December
Other Unusual Items,-,"-426,000",-,-,-,-,Financials in CAD,Fiscal year is January - December
Pretax Income,"-28,528,000","-15,889,000","-11,317,000","-15,505,652","-1,578,530","-1,988,452",Financials in CAD,Fiscal year is January - December
Income Tax Expense,-,-,"5,000",-,-,-,Financials in CAD,Fiscal year is January - December
Net Income,"-28,528,000","-15,889,000","-11,322,000","-15,505,652","-1,578,530","-1,988,452",Financials in CAD,Fiscal year is January - December
Net Income to Common,"-28,528,000","-15,889,000","-11,322,000","-15,505,652","-1,578,530","-1,988,452",Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"112,852,083","86,404,762","35,680,113","24,076,457","17,755,783","10,911,829",Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"112,852,083","86,404,762","35,680,113","24,076,457","17,755,783","10,911,829",Financials in CAD,Fiscal year is January - December
Shares Change (YoY),64.373%,142.165%,48.195%,35.598%,62.721%,-,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.253,-0.184,-0.317,-0.644,-0.089,-0.182,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.253,-0.184,-0.317,-0.644,-0.089,-0.182,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-22,610,000","-14,519,000","-5,646,000","-5,040,957","-1,659,982","-1,925,211",Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.200,-0.168,-0.158,-0.209,-0.093,-0.176,Financials in CAD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-7998.164%,Financials in CAD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-7953.808%,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-7700.844%,Financials in CAD,Fiscal year is January - December
EBITDA,"-26,233,000","-15,456,000","-8,091,000","-4,601,925","-1,609,734","-1,998,807",Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"10,000","7,000","337,000","165,685",422,734,Financials in CAD,Fiscal year is January - December
EBIT,"-26,243,000","-15,463,000","-8,428,000","-4,767,610","-1,610,156","-1,999,541",Financials in CAD,Fiscal year is January - December
Advertising Expenses,-,-,-,-,-,"35,042",Financials in CAD,Fiscal year is January - December
