Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
Revenue,"25,470,000","57,306,000","19,754,000","38,697,000","18,845,000","22,270,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-49.409%,190.098%,-48.952%,105.344%,-15.379%,67.633%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"29,227,000","48,875,000","82,425,000","84,665,000","92,965,000","50,519,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-3,757,000","8,431,000","-62,671,000","-45,968,000","-74,120,000","-28,249,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,097,000","18,897,000","25,770,000","33,506,000","26,722,000","20,077,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"15,097,000","18,897,000","25,770,000","33,506,000","26,722,000","20,077,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-18,854,000","-10,466,000","-88,441,000","-79,474,000","-100,842,000","-48,326,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-139,000","-2,654,000","-4,716,000","-3,369,000","-1,705,000","-1,298,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"627,000","1,208,000","988,000","434,000","1,028,000","2,323,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"3,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-18,366,000","-11,912,000","-92,169,000","-82,409,000","-101,519,000","-47,298,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-76,000","-475,000","-66,000",-,"-2,155,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-430,000","-600,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"2,805,000","4,252,000",-,-,"-1,237,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-15,637,000","-8,135,000","-92,665,000","-83,009,000","-104,911,000","-69,421,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-11,000","-11,000","53,000",-,"5,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-15,626,000","-8,124,000","-92,718,000","-83,009,000","-104,916,000","-69,421,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-15,626,000","-8,124,000","-92,718,000","-83,009,000","-104,916,000","-69,421,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,605,741","4,501,206","3,755,564","3,686,520","3,173,551","2,518,025",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,605,741","4,501,206","3,755,564","3,686,520","3,173,551","2,518,025",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),49.221%,19.854%,1.873%,16.164%,26.033%,27.595%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.787,-1.805,-24.688,-22.517,-33.059,-27.570,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.787,-1.805,-24.688,-22.517,-33.059,-27.570,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-23,924,000","-42,020,000","-92,222,000","-34,383,000","-91,189,000","-34,893,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.268,-9.335,-24.556,-9.327,-28.734,-13.857,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-14.751%,14.712%,-,-118.790%,-,-126.848%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-74.024%,-18.263%,-447.712%,-205.375%,-535.113%,-217.000%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-61.351%,-14.177%,-469.363%,-214.510%,-556.731%,-311.724%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-93.930%,-73.326%,-466.852%,-88.852%,-483.890%,-156.682%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-13,865,000","-3,710,000","-80,934,000","-72,709,000","-96,800,000","-47,072,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-54.436%,-6.474%,-,-187.893%,-,-211.369%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,989,000","6,756,000","7,507,000","6,765,000","4,042,000","1,254,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-18,854,000","-10,466,000","-88,441,000","-79,474,000","-100,842,000","-48,326,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-74.024%,-18.263%,-,-205.375%,-,-217.000%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"25,470,000","57,306,000","19,754,000","38,697,000","18,845,000","22,270,000",Upgrade,Financials in USD,Fiscal year is January - December
