Fiscal Year,TTM,FY 2020,FY 2019,FY 2017,FY 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '21 Sep 30, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016",,
"Selling, General & Admin","302,604","3,125","20,524,511","98,579","42,184",Financials in USD,Fiscal year is January - December
Operating Expenses,"344,402","3,125","20,524,511","536,679","42,384",Financials in USD,Fiscal year is January - December
Operating Income,"-305,850","-3,125","-20,524,511","-536,679","-42,384",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,93,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-22,931",-,1,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-328,781","-3,125","-20,524,417","-536,679","-42,384",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-328,781","-3,125","-20,524,417","-536,679","-42,384",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-170,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-328,781","-3,125","-20,524,587","-536,679","-42,384",Financials in USD,Fiscal year is January - December
Net Income to Common,"-328,781","-3,125","-20,524,587","-536,679","-42,384",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"115,950,457","35,000,000","36,471,356","20,105,543","64,839,726",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"115,950,457","35,000,000","36,471,356","20,105,543","64,839,726",Financials in USD,Fiscal year is January - December
Shares Change (YoY),78.826%,-4.034%,81.400%,-68.992%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.003,-0.000,-0.563,-0.027,-0.001,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.003,-0.000,-0.563,-0.027,-0.001,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-379,438","-220,022","-59,759","-98,579","-42,184",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.003,-0.006,-0.002,-0.005,-0.001,Financials in USD,Fiscal year is January - December
EBIT,"-305,850","-3,125","-20,524,511","-536,679","-42,384",Financials in USD,Fiscal year is January - December
