Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"1,790,377,000","2,011,518,000","2,318,875,000","2,993,206,000","2,903,074,000","2,914,364,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-13.491%,-13.255%,-22.529%,3.105%,-0.387%,-1.110%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"850,314,000","941,901,000","1,030,693,000","1,214,820,000","1,389,214,000","1,569,338,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"940,063,000","1,069,617,000","1,288,182,000","1,778,386,000","1,513,860,000","1,345,026,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","543,138,000","567,727,000","758,269,000","840,972,000","670,649,000","632,420,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"102,800,000","115,462,000","120,828,000","122,073,000","120,482,000","130,732,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"645,938,000","683,189,000","879,097,000","963,045,000","791,131,000","763,152,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"294,125,000","386,428,000","409,085,000","815,341,000","722,729,000","581,874,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-108,354,000","-991,000","-350,740,000","-562,353,000","-532,939,000","-538,734,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,199,000","991,000","964,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"240,000","199,000","-378,000","-453,000","2,160,000","-2,346,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,127,000","-1,779,000","2,087,000","-1,253,000","-2,466,000","-5,247,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"73,000","876,000","6,162,000","-621,000","5,063,000","2,049,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"186,156,000","385,724,000","67,180,000","250,661,000","194,547,000","37,596,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-442,387,000","-6,486,000","-268,567,000","-60,090,000","-110,185,000","46,098,000",Upgrade,Financials in USD,Fiscal year is January - December
