Fiscal Year,TTM,FY 2021,FY 2020,FY 2019,FY 2018,FY 2017,2016 - 2012,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '17 Dec 31, 2017",2016 - 2012,,
Revenue,"631,957","626,619","1,255,784","2,133,624","3,711,327","1,790,168",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),15.837%,-50.101%,-41.143%,-42.510%,107.317%,694.595%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"515,556","543,031","745,934","1,535,490","2,211,039","1,055,042",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"116,401","83,588","509,850","598,134","1,500,288","735,126",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,846,175","1,872,284","1,981,195","3,382,521","2,336,282","1,841,328",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,520,905","4,556,232","2,482,902","3,993,508","3,406,332","21,024,750",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,404,504","-4,472,644","-1,973,052","-3,395,374","-1,906,044","-20,289,624",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,858,071","-1,849,286","-916,835","-7,925","-2,987","-3,342,161",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"29,175","6,448",-53,"-604,104","-147,502","1,951",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,233,400","-6,315,482","-2,889,940","-4,007,403","-2,056,533","-23,629,834",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"243,275","487,975",-,-,"-18,004",717,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,990,125","-5,827,507","-2,889,940","-4,007,403","-2,074,537","-23,629,117",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,990,125","-5,827,507","-2,889,940","-4,007,403","-2,074,537","-23,629,117",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,990,125","-5,827,507","-2,889,940","-4,007,403","-2,074,537","-23,629,117",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"173,333,726","164,526,457","146,330,346","113,275,262","87,323,469","71,820,863",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"173,333,726","164,526,457","146,330,346","113,275,262","87,323,469","71,820,863",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.690%,12.435%,29.181%,29.719%,21.585%,113.185%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.023,-0.035,-0.020,-0.035,-0.024,-0.329,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.023,-0.035,-0.020,-0.035,-0.024,-0.329,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-672,633","-487,386","-1,284,240","-4,398,935","-816,305","-1,189,185",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.004,-0.003,-0.009,-0.039,-0.009,-0.017,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,18.419%,13.339%,40.600%,28.034%,40.425%,41.065%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-380.485%,-713.774%,-157.117%,-159.136%,-51.357%,-1133.392%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-631.392%,-929.992%,-230.130%,-187.821%,-55.897%,-1319.939%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-106.437%,-77.780%,-102.266%,-206.172%,-21.995%,-66.429%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-2,175,289","-4,358,211","-1,846,098","-3,270,971","-1,840,011","-20,211,149",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-147.008%,-153.306%,-49.578%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"229,215","114,433","126,954","124,403","66,033","78,475",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-2,404,504","-4,472,644","-1,973,052","-3,395,374","-1,906,044","-20,289,624",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-157.117%,-159.136%,-51.357%,-,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"22,913","176,430","272,634","265,568","81,180",Upgrade,Financials in USD,Fiscal year is January - December
