Fiscal Quarter,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017",+20 Quarters,,
Revenue,"115,149","55,835","80,478","380,495","70,655","39,096","136,373","299,434","153,766","610,536","192,048","166,996","527,392","718,437","720,799","840,865","1,062,146","1,085,411","722,905","760,441",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),62.974%,42.815%,-40.987%,27.071%,-54.050%,-93.596%,-28.990%,79.306%,-70.844%,-15.019%,-73.356%,-80.140%,-50.347%,-33.810%,-0.291%,10.576%,62.810%,649.806%,210.741%,2487.942%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"20,587","4,665","123,125","367,179","43,568","35,416","96,868","151,603","162,030","164,838","267,463","284,457","460,906","158,562","631,565","707,571","775,191","372,592","355,685","437,084",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"94,562","51,170","-42,647","13,316","27,087","3,680","39,505","147,831","-8,264","445,698","-75,415","-117,461","66,486","559,875","89,234","133,294","286,955","712,819","367,220","323,357",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","422,555","464,566","386,114","601,640","383,304","445,373","441,967","653,939","398,944","576,432","351,880","742,641","823,570","915,143","901,167","729,038","774,846","413,977","418,422","753,812",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"484,422","701,408","685,800","677,975","536,995","674,609","2,666,653","1,011,257","430,574","610,134","430,937","879,747","936,246","1,093,975","1,083,540","534,946","969,123","939,083","963,181","751,707",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-389,860","-650,238","-728,447","-664,659","-509,908","-670,929","-2,627,148","-863,426","-438,838","-164,436","-506,352","-997,208","-869,760","-534,100","-994,306","-401,652","-682,168","-226,264","-595,961","-428,350",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-788,378","-305,197","-355,383","-1,371,289","-179,795","-1,140,450","-119,928","-116,436","-132,419","-152,486","-515,494",-,"-76,996",-,"-289,901",-,"-43,887",-,-487,"-3,117,631",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,"358,972",-,-,-,"6,950",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
