Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",,
Revenue,"1,438,317","1,980,274","2,471,902","2,050,990",-,-,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),-39.168%,-19.889%,20.522%,-,-,-,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"823,499","946,114","1,760,412","2,078,552",-,-,Financials in CAD,Fiscal year is January - December
Gross Profit,"614,818","1,034,160","711,490","-27,562",-,-,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","1,807,922","1,014,925","4,688,302","1,935,199","1,119,584","62,143",Financials in CAD,Fiscal year is January - December
Research & Development,-,-,-,"79,926",-,-,Financials in CAD,Fiscal year is January - December
Operating Expenses,"4,088,935","3,273,879","5,406,748","2,609,074","1,153,922","62,143",Financials in CAD,Fiscal year is January - December
Operating Income,"-3,474,117","-2,239,719","-4,695,258","-2,636,636","-1,153,922","-62,143",Financials in CAD,Fiscal year is January - December
Interest Expense,"-436,947","-266,631","-451,756","-400,967",-,-,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,-,"231,919","372,444","256,623",-,-,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,557",-,"-29,731","-21,163","-2,404",-,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,627,537","-1,456,676","842,014","-42,994","-14,777",-,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,540,158","-3,731,107","-3,962,287","-2,845,137","-1,171,103","-62,143",Financials in CAD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-3,780,891",-,-,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,"-16,116",-,-,-,-,Financials in CAD,Fiscal year is January - December
Other Unusual Items,"134,860","228,841",-,"25,923",-,-,Financials in CAD,Fiscal year is January - December
Pretax Income,"-6,186,106","-3,518,382","-3,962,287","-6,600,105","-1,171,103","-62,143",Financials in CAD,Fiscal year is January - December
Net Income,"-6,186,106","-3,518,382","-3,962,287","-6,600,105","-1,171,103","-62,143",Financials in CAD,Fiscal year is January - December
Net Income to Common,"-6,186,106","-3,518,382","-3,962,287","-6,600,105","-1,171,103","-62,143",Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"30,708,600","12,132,351","9,905,717","5,583,562","2,046,579",-,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"30,708,600","12,132,351","9,905,717","5,583,562","2,046,579",-,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),163.090%,22.478%,77.409%,172.824%,-,-,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.201,-0.290,-0.400,-1.182,-0.572,-,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.201,-0.290,-0.400,-1.182,-0.572,-,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-693,785","-345,579","-2,928,886","-2,744,810","-534,851","-62,143",Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.023,-0.028,-0.296,-0.492,-0.261,-,Financials in CAD,Fiscal year is January - December
Gross Margin,42.746%,52.223%,28.783%,-1.344%,-,-,Financials in CAD,Fiscal year is January - December
Operating Margin,-241.540%,-113.101%,-189.945%,-128.554%,-,-,Financials in CAD,Fiscal year is January - December
Profit Margin,-430.093%,-177.671%,-160.293%,-321.801%,-,-,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-48.236%,-17.451%,-118.487%,-133.829%,-,-,Financials in CAD,Fiscal year is January - December
EBITDA,"-3,324,690","-2,053,350","-4,502,623","-2,195,078",-,-,Financials in CAD,Fiscal year is January - December
EBITDA Margin,-231.151%,-103.690%,-182.152%,-107.025%,-,-,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"149,427","186,369","192,635","441,558",-,-,Financials in CAD,Fiscal year is January - December
EBIT,"-3,474,117","-2,239,719","-4,695,258","-2,636,636","-1,153,922","-62,143",Financials in CAD,Fiscal year is January - December
EBIT Margin,-241.540%,-113.101%,-189.945%,-128.554%,-,-,Financials in CAD,Fiscal year is January - December
