Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
"Selling, General & Admin","2,696,000","2,116,000","4,150,000","1,140,000",Financials in USD,Fiscal year is January - December
Research & Development,"1,545,000","1,541,000","1,391,000","573,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"4,241,000","3,657,000","5,541,000","1,713,000",Financials in USD,Fiscal year is January - December
Operating Income,"-4,241,000","-3,657,000","-5,541,000","-1,713,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-9,000",-,"-550,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"16,000","18,000",-,"66,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,234,000","-3,639,000","-6,091,000","-1,647,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-2,078,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,234,000","-3,639,000","-8,169,000","-1,647,000",Financials in USD,Fiscal year is January - December
Net Income,"-4,234,000","-3,639,000","-8,169,000","-1,647,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,234,000","-3,639,000","-8,169,000","-1,647,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"59,718,601","44,722,288","37,733,703","16,452,064",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"59,718,601","44,722,288","37,733,703","16,452,064",Financials in USD,Fiscal year is January - December
Shares Change (YoY),37.857%,18.521%,129.355%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.071,-0.081,-0.216,-0.100,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.071,-0.081,-0.216,-0.100,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,456,000","-3,061,000","-3,900,000","-1,232,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.075,-0.068,-0.103,-0.075,Financials in USD,Fiscal year is January - December
EBITDA,"-4,213,000","-3,645,000","-5,535,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"28,000","12,000","6,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-4,241,000","-3,657,000","-5,541,000","-1,713,000",Financials in USD,Fiscal year is January - December
