Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
"Selling, General & Admin","782,000","812,000","695,000","407,000","762,000","603,000","345,000","456,000","566,000","1,181,000","1,947,000","607,000","233,000","286,000","150,000",Financials in USD,Fiscal year is January - December
Research & Development,"503,000","508,000","225,000","309,000","402,000","457,000","374,000","385,000","422,000","303,000","281,000","297,000","39,000","155,000","118,500",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,285,000","1,320,000","920,000","716,000","1,164,000","1,060,000","719,000","841,000","988,000","1,484,000","2,228,000","904,000","272,000","441,000","268,500",Financials in USD,Fiscal year is January - December
Operating Income,"-1,285,000","-1,320,000","-920,000","-716,000","-1,164,000","-1,060,000","-719,000","-841,000","-988,000","-1,484,000","-2,228,000","-904,000","-272,000","-441,000","-268,500",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,000","-1,000",-,"-30,000",-,"-6,000","-13,000","-514,000","-14,000","-276,000","-47,000","-1,000",-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"37,000","16,000","5,000",-,"6,000","26,000",-,-,-,-,-,-,"8,000","60,000","29,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"-20,000","-7,000","9,000",-,-,"27,000","341,000",-,-,"-40,000",-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,250,000","-1,325,000","-922,000","-737,000","-1,158,000","-1,040,000","-705,000","-1,014,000","-1,002,000","-1,760,000","-2,315,000","-905,000","-264,000","-381,000","-239,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,"-39,000","-2,039,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,250,000","-1,325,000","-922,000","-737,000","-1,158,000","-1,040,000","-705,000","-1,014,000","-1,041,000","-3,799,000","-2,315,000","-905,000","-264,000","-381,000","-239,000",Financials in USD,Fiscal year is January - December
Net Income,"-1,250,000","-1,325,000","-922,000","-737,000","-1,158,000","-1,040,000","-705,000","-1,014,000","-1,041,000","-3,799,000","-2,315,000","-905,000","-264,000","-381,000","-239,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,250,000","-1,325,000","-922,000","-737,000","-1,158,000","-1,040,000","-705,000","-1,014,000","-1,041,000","-3,799,000","-2,315,000","-905,000","-264,000","-381,000","-239,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"63,528,644","61,488,044","56,528,121","48,288,472","43,533,560","42,855,159","42,855,159","42,675,657","36,086,385","32,885,406","28,810,102","34,474,720","10,444,512","2,536,000","2,536,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"63,528,644","61,488,044","56,528,121","48,288,472","43,533,560","42,855,159","42,855,159","42,675,657","36,086,385","32,885,406","28,810,102","34,474,720","10,444,512","2,536,000","2,536,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),45.930%,43.479%,31.905%,13.152%,20.637%,30.317%,48.750%,23.788%,245.506%,1196.743%,1036.045%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.020,-0.022,-0.016,-0.015,-0.027,-0.024,-0.016,-0.024,-0.029,-0.116,-0.080,-0.026,-0.025,-0.150,-0.094,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.020,-0.022,-0.016,-0.015,-0.027,-0.024,-0.016,-0.024,-0.029,-0.116,-0.080,-0.026,-0.025,-0.150,-0.094,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,119,000","-931,000","-1,706,000","-700,000","-788,000","-698,000","-875,000","-783,000","-840,000","-1,109,000","-1,168,000","-547,000","-320,000","-182,500","-182,500",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.018,-0.015,-0.030,-0.014,-0.018,-0.016,-0.020,-0.018,-0.023,-0.034,-0.041,-0.016,-0.031,-0.072,-0.072,Financials in USD,Fiscal year is January - December
EBITDA,"-1,267,000","-1,307,000","-905,000","-713,000","-1,146,000","-1,054,000","-713,000","-840,000","-986,000","-1,482,500",-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"18,000","13,000","15,000","3,000","18,000","6,000","6,000","1,000","2,000","1,500",-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-1,285,000","-1,320,000","-920,000","-716,000","-1,164,000","-1,060,000","-719,000","-841,000","-988,000","-1,484,000","-2,228,000","-904,000","-272,000","-441,000","-268,500",Financials in USD,Fiscal year is January - December
