Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"193,326,000","231,925,000","14,553,000",-,"717,000","495,000",Upgrade,Financials in AUD,Fiscal year is January - December
Other Revenue,"17,000","17,000","864,000","3,197,000",-,-,Upgrade,Financials in AUD,Fiscal year is January - December
Revenue,"193,343,000","231,942,000","15,417,000","3,197,000","717,000","495,000",Upgrade,Financials in AUD,Fiscal year is January - December
Revenue Growth (YoY),146.790%,1404.456%,382.233%,345.886%,44.848%,-96.462%,Upgrade,Financials in AUD,Fiscal year is January - December
Cost of Revenue,"32,901,000","26,751,000","12,712,000","9,516,000","7,763,000","9,858,000",Upgrade,Financials in AUD,Fiscal year is January - December
Gross Profit,"160,442,000","205,191,000","2,705,000","-6,319,000","-7,046,000","-9,363,000",Upgrade,Financials in AUD,Fiscal year is January - December
"Selling, General & Admin","5,276,000","5,946,000","3,437,000","1,914,000","1,763,000","1,713,000",Upgrade,Financials in AUD,Fiscal year is January - December
Operating Expenses,"5,276,000","5,946,000","3,437,000","1,914,000","1,763,000","1,713,000",Upgrade,Financials in AUD,Fiscal year is January - December
Operating Income,"155,166,000","199,245,000","-732,000","-8,233,000","-8,809,000","-11,076,000",Upgrade,Financials in AUD,Fiscal year is January - December
Interest & Investment Income,"10,839,000","5,687,000","391,000","41,000","147,000","389,000",Upgrade,Financials in AUD,Fiscal year is January - December
Currency Exchange Gain (Loss),"1,793,000","2,434,000","1,225,000","398,000","-631,000","132,000",Upgrade,Financials in AUD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-437,000","-2,226,000","-700,000",-,"100,000",-,Upgrade,Financials in AUD,Fiscal year is January - December
EBT Excluding Unusual Items,"167,361,000","205,140,000","184,000","-7,794,000","-9,193,000","-10,555,000",Upgrade,Financials in AUD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,"-261,000",Upgrade,Financials in AUD,Fiscal year is January - December
Pretax Income,"167,361,000","205,140,000","184,000","-7,794,000","-9,193,000","-10,816,000",Upgrade,Financials in AUD,Fiscal year is January - December
Income Tax Expense,"50,069,000","48,059,000",-,-,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
Earnings From Continuing Operations,"117,292,000","157,081,000","184,000","-7,794,000","-9,193,000","-10,816,000",Upgrade,Financials in AUD,Fiscal year is January - December
Net Income,"117,292,000","157,081,000","184,000","-7,794,000","-9,193,000","-10,816,000",Upgrade,Financials in AUD,Fiscal year is January - December
Net Income to Common,"117,292,000","157,081,000","184,000","-7,794,000","-9,193,000","-10,816,000",Upgrade,Financials in AUD,Fiscal year is January - December
Net Income Growth,113.092%,85270.109%,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
Shares Outstanding (Basic),"127,738,053","127,069,512","125,965,676","117,770,052","107,057,317","100,168,413",Upgrade,Financials in AUD,Fiscal year is January - December
Shares Outstanding (Diluted),"131,153,443","130,768,487","128,908,995","118,524,002","107,057,317","100,168,413",Upgrade,Financials in AUD,Fiscal year is January - December
Shares Change (YoY),0.155%,1.442%,8.762%,10.711%,6.877%,0.418%,Upgrade,Financials in AUD,Fiscal year is January - December
EPS (Basic),0.918,1.236,0.001,-0.066,-0.086,-0.108,Upgrade,Financials in AUD,Fiscal year is January - December
EPS (Diluted),0.894,1.201,0.001,-0.066,-0.086,-0.108,Upgrade,Financials in AUD,Fiscal year is January - December
EPS Growth,112.924%,120000.000%,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
Free Cash Flow,"119,486,000","184,885,000","3,580,000","-9,980,000","-8,084,000","-11,731,000",Upgrade,Financials in AUD,Fiscal year is January - December
Free Cash Flow Per Share,0.911,1.414,0.028,-0.084,-0.076,-0.117,Upgrade,Financials in AUD,Fiscal year is January - December
Gross Margin,82.983%,88.466%,17.546%,-197.654%,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
Operating Margin,80.254%,85.903%,-4.748%,-257.523%,-1228.591%,-2237.576%,Upgrade,Financials in AUD,Fiscal year is January - December
Profit Margin,60.665%,67.724%,1.193%,-243.791%,-1282.148%,-2185.051%,Upgrade,Financials in AUD,Fiscal year is January - December
Free Cash Flow Margin,61.800%,79.712%,23.221%,-312.168%,-1127.476%,-2369.899%,Upgrade,Financials in AUD,Fiscal year is January - December
EBITDA,"155,188,000","199,262,000","-722,000","-8,225,000","-8,803,000","-11,072,000",Upgrade,Financials in AUD,Fiscal year is January - December
EBITDA Margin,80.266%,85.910%,-4.683%,-257.272%,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
D&A For EBITDA,"22,000","17,000","10,000","8,000","6,000","4,000",Upgrade,Financials in AUD,Fiscal year is January - December
EBIT,"155,166,000","199,245,000","-732,000","-8,233,000","-8,809,000","-11,076,000",Upgrade,Financials in AUD,Fiscal year is January - December
EBIT Margin,80.254%,85.903%,-4.748%,-257.523%,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
Effective Tax Rate,29.917%,23.427%,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
Revenue as Reported,"207,764,000","240,063,000","17,033,000","3,636,000","964,000","1,016,000",Upgrade,Financials in AUD,Fiscal year is January - December
