Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Operating Revenue,"24,327,000","168,999,000","62,926,000","14,553,000",-,-,-,"717,000",-,"495,000",Upgrade,Financials in AUD,Fiscal year is January - December
Other Revenue,-,"17,000",-,"864,000",-,"3,197,000",-,-,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
Revenue,"24,327,000","169,016,000","62,926,000","15,417,000",-,"3,197,000",-,"717,000",-,"495,000",Upgrade,Financials in AUD,Fiscal year is January - December
Revenue Growth (YoY),-61.340%,996.296%,-,382.233%,-,345.886%,-,44.848%,-,-96.462%,Upgrade,Financials in AUD,Fiscal year is January - December
Cost of Revenue,"17,889,000","15,662,000","11,739,000","8,102,000","4,610,000","2,556,000","6,960,000","3,527,000","4,236,000","2,919,000",Upgrade,Financials in AUD,Fiscal year is January - December
Gross Profit,"6,438,000","153,354,000","51,187,000","7,315,000","-4,610,000","641,000","-6,960,000","-2,810,000","-4,236,000","-2,424,000",Upgrade,Financials in AUD,Fiscal year is January - December
"Selling, General & Admin","2,374,000","3,287,000","3,044,000","1,860,000","1,577,000","1,093,000","821,000","684,000","1,079,000","745,000",Upgrade,Financials in AUD,Fiscal year is January - December
Operating Expenses,"2,374,000","2,252,000","3,044,000","710,000","2,727,000","676,000","1,238,000","684,000","1,079,000","745,000",Upgrade,Financials in AUD,Fiscal year is January - December
Operating Income,"4,064,000","151,102,000","48,143,000","6,605,000","-7,337,000","-35,000","-8,198,000","-3,494,000","-5,315,000","-3,169,000",Upgrade,Financials in AUD,Fiscal year is January - December
Interest & Investment Income,"5,836,000","5,003,000","684,000","336,000","55,000","17,000","24,000","62,000","85,000","154,000",Upgrade,Financials in AUD,Fiscal year is January - December
Currency Exchange Gain (Loss),"23,000","1,770,000","664,000","997,000","228,000","188,000","210,000","-1,050,000","419,000","84,000",Upgrade,Financials in AUD,Fiscal year is January - December
