Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2015,H1 2015,H2 2014,H1 2014,H2 2013,H1 2013,Currency,Fiscal_Year_period
Period Ending,"Jul '24 Jul 31, 2024","Jan '24 Jan 31, 2024","Jul '23 Jul 31, 2023","Jan '23 Jan 31, 2023","Jul '15 Jul 31, 2015","Jan '15 Jan 31, 2015","Jul '14 Jul 31, 2014","Jan '14 Jan 31, 2014","Jul '13 Jul 31, 2013","Jan '13 Jan 31, 2013",,
"Selling, General & Admin","2,140","541,754","885,840","19,748",-1,"8,870","1,523","2,199","15,829","3,150",Financials in USD,Fiscal year is August - July
Operating Expenses,"2,140","541,754","885,840","19,748",-1,"8,870","1,523","2,199","15,829","3,150",Financials in USD,Fiscal year is August - July
Operating Income,"-2,140","-541,754","-885,840","-19,748",1,"-8,870","-1,523","-2,199","-15,829","-3,150",Financials in USD,Fiscal year is August - July
Other Non Operating Income (Expenses),-,-,-,-,-,-,1,-,-550,-,Financials in USD,Fiscal year is August - July
EBT Excluding Unusual Items,"-2,140","-541,754","-885,840","-19,748",1,"-8,870","-1,522","-2,199","-16,379","-3,150",Financials in USD,Fiscal year is August - July
Other Unusual Items,-,"-54,000","-198,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
Pretax Income,"-2,140","-595,754","-1,083,840","-19,748",1,"-8,870","-1,522","-2,199","-16,379","-3,150",Financials in USD,Fiscal year is August - July
Net Income,"-2,140","-595,754","-1,083,840","-19,748",1,"-8,870","-1,522","-2,199","-16,379","-3,150",Financials in USD,Fiscal year is August - July
Net Income to Common,"-2,140","-595,754","-1,083,840","-19,748",1,"-8,870","-1,522","-2,199","-16,379","-3,150",Financials in USD,Fiscal year is August - July
Shares Outstanding (Basic),"405,500,000","405,500,000","535,500,000","95,500,000","35,500,000","35,500,000","36,000,000","35,000,000","35,000,000","35,000,000",Financials in USD,Fiscal year is August - July
Shares Outstanding (Diluted),"405,500,000","405,500,000","535,500,000","95,500,000","35,500,000","35,500,000","36,000,000","35,000,000","35,000,000","35,000,000",Financials in USD,Fiscal year is August - July
Shares Change (YoY),-24.276%,324.607%,1408.451%,169.014%,-1.389%,1.429%,2.857%,-,-,-,Financials in USD,Fiscal year is August - July
EPS (Basic),-0.000,-0.001,-0.002,-0.000,-,-0.000,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is August - July
EPS (Diluted),-0.000,-0.001,-0.002,-0.000,-,-0.000,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is August - July
Free Cash Flow,"-2,610","-7,754","-5,840","-18,748",-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
EBIT,"-2,140","-541,754","-885,840","-19,748",1,"-8,870","-1,523","-2,199","-15,829","-3,150",Financials in USD,Fiscal year is August - July
Advertising Expenses,-,-,-,-,-,"2,471",-,-,-,-,Financials in USD,Fiscal year is August - July
