Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Operating Revenue,"3,407,000","3,563,000","3,230,000","3,120,000","2,830,000","3,091,000","2,671,000","2,749,000","2,509,000","4,806,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Revenue,-,-,"2,264,000","144,000",-,-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Revenue,"3,407,000","3,563,000","5,494,000","3,264,000","2,830,000","3,091,000","2,671,000","2,749,000","2,509,000","4,806,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-37.987%,9.161%,94.134%,5.597%,5.953%,12.441%,6.457%,-42.801%,12.410%,138.275%,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"3,407,000","3,563,000","5,494,000","3,264,000","2,830,000","3,091,000","2,671,000","2,749,000","2,509,000","4,806,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","4,637,000","3,419,000","4,115,000","3,432,000","3,959,000","3,358,000","4,036,000","3,627,000","4,844,000","3,977,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"6,453,000","7,467,000","5,685,000","6,681,000","5,324,000","4,202,000","6,523,000","7,221,000","7,632,000","7,288,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"11,090,000","10,886,000","9,800,000","10,113,000","9,283,000","7,560,000","10,559,000","10,848,000","12,476,000","11,265,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-7,683,000","-7,323,000","-4,306,000","-6,849,000","-6,453,000","-4,469,000","-7,888,000","-8,099,000","-9,967,000","-6,459,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-2,180,000","-2,142,000","-2,026,000","-2,042,000","-1,905,000","-1,613,000","-1,305,000","-1,232,000","-1,007,000","-547,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"38,000","141,000","38,000","38,000","18,000","16,000","38,000","26,000","35,000","145,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-29,000","-76,000","6,000","24,000","97,000","107,000","96,000","-220,000","52,000","-88,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"310,000","139,000","-651,000","-8,000","-392,000","137,000","-3,000","404,000","390,000","1,136,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,544,000","-9,261,000","-6,939,000","-8,837,000","-8,635,000","-5,822,000","-9,062,000","-9,121,000","-10,497,000","-5,813,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,"-309,000",Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-9,544,000","-9,261,000","-6,939,000","-8,837,000","-8,635,000","-5,822,000","-9,062,000","-9,121,000","-10,497,000","-6,122,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"13,000","13,000","11,000","20,000","1,000","16,000","1,000","1,374,000","6,000","39,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"-9,557,000","-9,274,000","-6,950,000","-8,857,000","-8,636,000","-5,838,000","-9,063,000","-10,495,000","-10,503,000","-6,161,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"-9,557,000","-9,274,000","-6,950,000","-8,857,000","-8,636,000","-5,838,000","-9,063,000","-10,495,000","-10,503,000","-6,161,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"18,563,000","17,845,000","17,845,000","17,845,000","17,845,000","17,845,000","17,845,000","17,845,000","17,845,000","17,845,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"18,563,000","17,845,000","17,845,000","17,845,000","17,845,000","17,845,000","17,845,000","17,845,000","17,845,000","17,845,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),4.024%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),-0.515,-0.520,-0.389,-0.496,-0.484,-0.327,-0.508,-0.588,-0.589,-0.345,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-0.515,-0.520,-0.389,-0.496,-0.484,-0.327,-0.508,-0.588,-0.589,-0.345,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-8,835,000","-4,540,000","-5,611,000","-5,471,000","-5,639,000","-2,706,000","-8,759,000","-8,571,000","-7,051,000","-7,279,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-0.476,-0.254,-0.314,-0.307,-0.316,-0.152,-0.491,-0.480,-0.395,-0.408,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,-225.506%,-205.529%,-78.376%,-209.835%,-228.021%,-144.581%,-295.320%,-294.616%,-397.250%,-134.395%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,-280.511%,-260.286%,-126.502%,-271.354%,-305.159%,-188.871%,-339.311%,-381.775%,-418.613%,-128.194%,Upgrade,Financials in EUR,Fiscal year is January - December
