Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,-,-,-,-,"5,000","116,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-95.690%,-61.204%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,"4,000","58,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,"1,000","58,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,669,000","4,356,000","2,879,000","5,846,000","3,601,000","6,006,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,676,000","3,994,000","3,773,000","6,658,000","8,120,000","7,377,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,345,000","8,350,000","6,652,000","12,504,000","11,721,000","13,383,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,345,000","-8,350,000","-6,652,000","-12,504,000","-11,720,000","-13,325,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-168,000","-61,000","-43,000","-39,000","-42,000","-38,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"6,000","6,000","1,000","8,000","27,000","213,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"1,000","1,000","5,000","-2,000","-3,000","-12,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"113,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,506,000","-8,404,000","-6,576,000","-12,537,000","-11,738,000","-13,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-440,000","-440,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,946,000","-8,844,000","-6,576,000","-12,537,000","-11,738,000","-13,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-8,946,000","-8,844,000","-6,576,000","-12,537,000","-11,738,000","-13,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,946,000","-8,844,000","-6,576,000","-12,537,000","-11,738,000","-13,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"93,102,442","91,687,400","89,382,603","81,976,321","73,823,141","68,845,225",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"93,102,442","91,687,400","89,382,603","81,976,321","73,823,141","68,845,225",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.870%,2.579%,9.035%,11.044%,7.231%,13.857%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.096,-0.096,-0.074,-0.153,-0.159,-0.191,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.096,-0.096,-0.074,-0.153,-0.159,-0.191,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,781,000","-4,060,000","-5,205,000","-9,826,000","-10,050,000","-7,430,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.030,-0.044,-0.058,-0.120,-0.136,-0.108,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,20.000%,50.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-234400.000%,-11487.069%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-234760.000%,-11346.552%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-201000.000%,-6405.172%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-8,341,000","-8,339,000","-6,640,000","-12,492,000","-11,711,000","-13,316,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,000","11,000","12,000","12,000","9,000","9,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-8,345,000","-8,350,000","-6,652,000","-12,504,000","-11,720,000","-13,325,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,"5,000","116,000",Upgrade,Financials in USD,Fiscal year is January - December
