Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",,
Revenue,"84,082,000","83,666,000","86,002,000","76,255,000","122,348,000","74,710,000","58,951,000","65,553,000","48,307,000",Financials in GBP,Fiscal year is January - December
Revenue Growth (YoY),-2.233%,9.719%,-29.707%,2.068%,107.542%,13.969%,22.034%,-,-,Financials in GBP,Fiscal year is January - December
Cost of Revenue,"34,620,000","42,732,000","36,455,000","30,399,000","44,394,000","31,719,000","28,747,000","34,767,000","32,214,000",Financials in GBP,Fiscal year is January - December
Gross Profit,"49,462,000","40,934,000","49,547,000","45,856,000","77,954,000","42,991,000","30,204,000","30,786,000","16,093,000",Financials in GBP,Fiscal year is January - December
"Selling, General & Admin","74,427,000","79,581,000","75,382,000","81,477,000","59,883,000","118,908,000","42,844,000","37,348,000","34,040,000",Financials in GBP,Fiscal year is January - December
Research & Development,"46,551,000","55,566,000","47,672,000","40,065,000","19,231,000","45,374,000","30,602,000","24,781,000","23,770,000",Financials in GBP,Fiscal year is January - December
Other Operating Expenses,"5,507,000","-388,000","1,277,000","1,234,000","20,399,000",-,-,-,-,Financials in GBP,Fiscal year is January - December
Operating Expenses,"126,485,000","134,759,000","124,331,000","122,776,000","99,513,000","164,282,000","73,446,000","62,129,000","57,810,000",Financials in GBP,Fiscal year is January - December
Operating Income,"-77,023,000","-93,825,000","-74,784,000","-76,920,000","-21,559,000","-121,291,000","-43,242,000","-31,343,000","-41,717,000",Financials in GBP,Fiscal year is January - December
Interest Expense,"-1,948,000","-1,137,000","-1,069,000","-943,000","-685,000","-435,000","-473,000","-629,000","-118,000",Financials in GBP,Fiscal year is January - December
Interest & Investment Income,"7,666,000","11,614,000","7,239,000","5,041,000","900,000","164,000","60,000","40,000","51,000",Financials in GBP,Fiscal year is January - December
Earnings From Equity Investments,"-49,000",-,"-228,000","-238,000",-,"-64,000",-,-,-,Financials in GBP,Fiscal year is January - December
Currency Exchange Gain (Loss),"-100,000","25,000","2,100,000","-34,000","-5,400,000","504,000",-,"563,000",-,Financials in GBP,Fiscal year is January - December
Other Non Operating Income (Expenses),"243,000","-39,000","39,000","-523,000","523,000","749,000","-749,000","562,000","-562,000",Financials in GBP,Fiscal year is January - December
EBT Excluding Unusual Items,"-71,211,000","-83,362,000","-66,703,000","-73,617,000","-26,221,000","-120,373,000","-44,404,000","-30,807,000","-42,346,000",Financials in GBP,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-145,000","153,000","144,000","-2,193,000",-,"-1,227,000",-,-,-,Financials in GBP,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"18,620,000",-,-,-,-,-,Financials in GBP,Fiscal year is January - December
Other Unusual Items,-,-,-,"1,405,000","-1,405,000",-,-,-,-,Financials in GBP,Fiscal year is January - December
Pretax Income,"-71,356,000","-83,209,000","-66,559,000","-55,785,000","-27,626,000","-121,600,000","-44,404,000","-30,807,000","-42,346,000",Financials in GBP,Fiscal year is January - December
Income Tax Expense,"3,296,000","1,199,000","3,540,000","5,065,000","2,549,000","1,183,000","426,000","-5,024,000","-6,885,000",Financials in GBP,Fiscal year is January - December
Net Income,"-74,652,000","-84,408,000","-70,099,000","-60,850,000","-30,175,000","-122,783,000","-44,830,000","-25,783,000","-35,461,000",Financials in GBP,Fiscal year is January - December
Net Income to Common,"-74,652,000","-84,408,000","-70,099,000","-60,850,000","-30,175,000","-122,783,000","-44,830,000","-25,783,000","-35,461,000",Financials in GBP,Fiscal year is January - December
Shares Outstanding (Basic),"861,556,494","841,170,447","826,750,269","824,793,946","822,691,472","755,277,070","708,600,102","1,111,177,612","299,498,280",Financials in GBP,Fiscal year is January - December
Shares Outstanding (Diluted),"861,556,494","841,170,447","826,750,269","824,793,946","822,691,472","755,277,070","708,600,102","1,111,177,612","299,498,280",Financials in GBP,Fiscal year is January - December
Shares Change (YoY),4.210%,1.986%,0.493%,9.204%,16.101%,-32.029%,136.596%,-,-,Financials in GBP,Fiscal year is January - December
EPS (Basic),-0.087,-0.100,-0.085,-0.074,-0.037,-0.163,-0.063,-0.023,-0.118,Financials in GBP,Fiscal year is January - December
EPS (Diluted),-0.087,-0.100,-0.085,-0.074,-0.037,-0.163,-0.063,-0.023,-0.118,Financials in GBP,Fiscal year is January - December
Free Cash Flow,"-64,773,000","-76,993,000","-66,215,000","-66,820,000","-5,638,000","-49,851,000","-24,889,000","-48,142,000","-31,401,000",Financials in GBP,Fiscal year is January - December
Free Cash Flow Per Share,-0.075,-0.092,-0.080,-0.081,-0.007,-0.066,-0.035,-0.043,-0.105,Financials in GBP,Fiscal year is January - December
Operating Margin,-91.605%,-112.142%,-86.956%,-100.872%,-17.621%,-162.349%,-73.352%,-47.813%,-86.358%,Financials in GBP,Fiscal year is January - December
Profit Margin,-88.785%,-100.887%,-81.509%,-79.798%,-24.663%,-164.346%,-76.046%,-39.332%,-73.408%,Financials in GBP,Fiscal year is January - December
Free Cash Flow Margin,-77.036%,-92.024%,-76.992%,-87.627%,-4.608%,-66.726%,-42.220%,-73.440%,-65.003%,Financials in GBP,Fiscal year is January - December
EBITDA,"-70,239,000","-84,393,000","-66,039,000","-68,856,000","-13,605,000","-119,126,000","-32,467,000","-27,754,000","-35,181,000",Financials in GBP,Fiscal year is January - December
D&A For EBITDA,"6,784,000","9,432,000","8,745,000","8,064,000","7,954,000","2,165,000","10,775,000","3,589,000","6,536,000",Financials in GBP,Fiscal year is January - December
EBIT,"-77,023,000","-93,825,000","-74,784,000","-76,920,000","-21,559,000","-121,291,000","-43,242,000","-31,343,000","-41,717,000",Financials in GBP,Fiscal year is January - December
