Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"136,500,000","154,000,000","139,300,000","166,000,000","156,100,000","157,700,000","158,800,000","156,000,000","161,000,000","147,800,000","159,400,000","144,000,000","145,900,000","142,800,000","132,300,000","159,200,000","150,300,000","179,100,000","175,000,000","238,100,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue Growth (YoY),-12.556%,-2.346%,-12.280%,6.410%,-3.043%,6.698%,-0.376%,8.333%,10.350%,3.501%,20.484%,-9.548%,-2.927%,-20.268%,-24.400%,-33.137%,-34.991%,-10.984%,0.402%,4.844%,Upgrade,Financials in SEK,Fiscal year is January - December
Cost of Revenue,"20,100,000","16,300,000","13,300,000","20,100,000","22,800,000","17,200,000","28,700,000","25,900,000","28,000,000","21,200,000","27,500,000","20,300,000","21,300,000","18,100,000","19,200,000","11,300,000","14,500,000","19,900,000","20,000,000","23,100,000",Upgrade,Financials in SEK,Fiscal year is January - December
Gross Profit,"116,400,000","137,700,000","126,000,000","145,900,000","133,300,000","140,500,000","130,100,000","130,100,000","133,000,000","126,600,000","131,900,000","123,700,000","124,600,000","124,700,000","113,100,000","147,900,000","135,800,000","159,200,000","155,000,000","215,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
"Selling, General & Admin","79,400,000","94,400,000","78,400,000","70,700,000","90,100,000","86,500,000","112,000,000","91,400,000","85,200,000","101,700,000","74,600,000","96,800,000","104,800,000","103,200,000","97,300,000","98,700,000","109,700,000","102,700,000","78,300,000","77,500,000",Upgrade,Financials in SEK,Fiscal year is January - December
Research & Development,"56,200,000","64,300,000","56,600,000","65,400,000","83,700,000","75,600,000","78,500,000","88,200,000","76,500,000","81,300,000","72,000,000","79,900,000","63,500,000","73,200,000","55,600,000","59,000,000","50,300,000","62,600,000","52,900,000","58,600,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Operating Expenses,"-200,000","-2,300,000","-800,000","7,300,000","-3,900,000","400,000","-100,000","3,900,000","1,000,000","100,000",-,"1,800,000",-,-,-,"1,200,000",-,-,-,"-2,600,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Expenses,"135,400,000","156,400,000","134,200,000","143,400,000","169,900,000","162,500,000","190,400,000","183,500,000","162,700,000","183,100,000","146,600,000","178,500,000","168,300,000","176,400,000","152,900,000","158,900,000","160,000,000","165,300,000","131,200,000","133,500,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Income,"-19,000,000","-18,700,000","-8,200,000","2,500,000","-36,600,000","-22,000,000","-60,300,000","-53,400,000","-29,700,000","-56,500,000","-14,700,000","-54,800,000","-43,700,000","-51,700,000","-39,800,000","-11,000,000","-24,200,000","-6,100,000","23,800,000","81,500,000",Upgrade,Financials in SEK,Fiscal year is January - December
