Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,"111,947","61,934","138,154","224,949","750,010","302,382",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),35.378%,-55.170%,-38.584%,-70.007%,148.034%,213.648%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"40,022","18,669","4,046","883,311","229,215","18,448",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"71,925","43,265","134,108","-658,362","520,795","283,934",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","574,721","699,498","807,468","775,059","912,202","934,219",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"-21,206","8,788","65,272","83,066","130,400","80,046",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"655,429","810,513","879,523","866,147","1,464,229","1,120,415",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-583,504","-767,248","-745,415","-1,524,509","-943,434","-836,481",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-70,370","-31,080",-588,-,"-15,645","-34,076",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,-,-,3,"4,716","13,540","24,866",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),-136,343,"-4,172","-1,929","-53,825","-5,867",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,673","-30,759","-43,880","-130,060","-133,154","15,615",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-656,683","-828,744","-794,052","-1,651,782","-1,132,518","-835,943",Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,-,-,"-741,995",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,"15,595","15,595",-,-,"-52,356",-,Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-641,088","-813,149","-794,052","-2,393,777","-1,184,874","-835,943",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-641,088","-813,149","-794,052","-2,393,777","-1,184,874","-835,943",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-641,088","-813,149","-794,052","-2,393,777","-1,184,874","-835,943",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"34,461,356","30,321,336","29,374,836","29,374,836","26,667,047","16,172,978",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"34,461,356","30,321,336","29,374,836","29,374,836","26,667,047","16,172,978",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),17.316%,3.222%,-,10.154%,64.886%,0.343%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.019,-0.027,-0.027,-0.081,-0.044,-0.052,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.019,-0.027,-0.027,-0.081,-0.044,-0.052,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-326,200","-336,023","-670,803","-885,752","-1,385,147","-984,569",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.009,-0.011,-0.023,-0.030,-0.052,-0.061,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,64.249%,69.857%,97.071%,-292.672%,69.438%,93.899%,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-521.232%,-1238.816%,-539.554%,-677.713%,-125.790%,-276.631%,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,-572.671%,-1312.928%,-574.759%,-1064.142%,-157.981%,-276.453%,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-291.388%,-542.550%,-485.547%,-393.757%,-184.684%,-325.604%,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-580,416","-764,008","-738,684","-1,516,487","-934,829","-833,908",Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-124.642%,-275.780%,Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"3,088","3,240","6,731","8,022","8,605","2,573",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-583,504","-767,248","-745,415","-1,524,509","-943,434","-836,481",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-125.790%,-276.630%,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue as Reported,"111,947","61,934","138,154","224,949","750,010","302,382",Upgrade,Financials in CAD,Fiscal year is January - December
Advertising Expenses,-,"14,128","19,927","33,724","26,563","138,274",Upgrade,Financials in CAD,Fiscal year is January - December
