Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Revenue,"50,806,000","46,478,000","43,061,000","75,962,000","64,027,000","61,545,000","81,252,000","53,749,000","33,979,000","31,959,000",Upgrade,Financials in GBP,Fiscal year is January - December
Revenue Growth (YoY),17.986%,-38.814%,-32.746%,23.425%,-21.199%,14.504%,139.124%,68.181%,5.850%,1.480%,Upgrade,Financials in GBP,Fiscal year is January - December
Cost of Revenue,"32,851,000","28,690,000","21,122,000","42,909,000","27,899,000","21,785,000","38,372,000","31,341,000","10,314,000","18,892,000",Upgrade,Financials in GBP,Fiscal year is January - December
Gross Profit,"17,955,000","17,788,000","21,939,000","33,053,000","36,128,000","39,760,000","42,880,000","22,408,000","23,665,000","13,067,000",Upgrade,Financials in GBP,Fiscal year is January - December
"Selling, General & Admin","12,573,000","12,575,000","12,838,000","11,744,000","11,379,000","7,943,000","6,009,000","6,570,000","4,692,000","7,853,000",Upgrade,Financials in GBP,Fiscal year is January - December
Research & Development,"39,359,000","41,368,000","61,731,000","55,130,000","39,693,000","29,767,000","17,655,000","16,106,000","24,363,000","13,324,000",Upgrade,Financials in GBP,Fiscal year is January - December
Other Operating Expenses,"-3,241,000","-1,401,000","-1,402,000","-1,382,000","-925,000","-426,000","-441,000","-468,000","-327,000","-421,000",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Expenses,"48,691,000","52,542,000","73,167,000","65,492,000","50,147,000","37,284,000","23,223,000","22,208,000","28,728,000","20,756,000",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Income,"-30,736,000","-34,754,000","-51,228,000","-32,439,000","-14,019,000","2,476,000","19,657,000","200,000","-5,063,000","-7,689,000",Upgrade,Financials in GBP,Fiscal year is January - December
Interest Expense,"-4,580,000","-8,558,000","-5,260,000","-5,311,000","-3,377,000","-420,000","-472,000","-501,000","-373,000","-400,000",Upgrade,Financials in GBP,Fiscal year is January - December
Interest & Investment Income,"1,759,000","2,693,000","2,217,000","923,000","50,000",-,"31,000","21,000","13,000","34,000",Upgrade,Financials in GBP,Fiscal year is January - December
Currency Exchange Gain (Loss),"-358,000","3,636,000","1,672,000","-3,075,000","-4,900,000",-,-,-,-,"31,000",Upgrade,Financials in GBP,Fiscal year is January - December
