Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"143,711,000","178,883,000","151,674,000","156,121,000","156,030,000","143,718,000","171,819,000","143,982,000","145,075,000","174,510,000","154,718,000","170,038,000","158,867,000","157,962,000","171,313,000","184,766,000","194,649,000","179,983,000","157,767,000","166,137,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue,"143,711,000","178,883,000","151,674,000","156,121,000","156,030,000","143,718,000","171,819,000","143,982,000","145,075,000","174,510,000","154,718,000","170,038,000","158,867,000","157,962,000","171,313,000","184,766,000","194,649,000","179,983,000","157,767,000","166,137,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue Growth (YoY),-7.895%,24.468%,-11.725%,8.431%,7.551%,-17.645%,11.053%,-15.324%,-8.681%,10.476%,-9.687%,-7.971%,-18.383%,-12.235%,8.586%,11.213%,37.474%,-0.174%,14.184%,2.018%,Upgrade,Financials in SEK,Fiscal year is January - December
Cost of Revenue,"94,659,000","117,631,000","102,082,000","106,861,000","104,801,000","96,998,000","98,815,000","90,993,000","86,223,000","96,806,000","88,817,000","87,440,000","92,326,000","93,422,000","96,985,000","106,294,000","105,718,000","99,011,000","96,185,000","87,264,000",Upgrade,Financials in SEK,Fiscal year is January - December
Gross Profit,"49,052,000","61,252,000","49,592,000","49,260,000","51,229,000","46,720,000","73,004,000","52,989,000","58,852,000","77,704,000","65,901,000","82,598,000","66,541,000","64,540,000","74,328,000","78,472,000","88,931,000","80,972,000","61,582,000","78,873,000",Upgrade,Financials in SEK,Fiscal year is January - December
"Selling, General & Admin","39,681,000","44,579,000","40,916,000","45,195,000","39,617,000","47,980,000","39,703,000","48,830,000","37,520,000","42,206,000","38,290,000","40,773,000","33,263,000","34,778,000","34,559,000","37,634,000","37,014,000","34,359,000","41,299,000","36,370,000",Upgrade,Financials in SEK,Fiscal year is January - December
Research & Development,"6,465,000","9,089,000","10,740,000","9,388,000","7,654,000","9,675,000","9,721,000","11,849,000","6,941,000","10,355,000","9,203,000","9,293,000","9,416,000","8,678,000","9,695,000","11,134,000","7,930,000","7,958,000","9,324,000","8,048,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Operating Expenses,"-94,000","176,000","-21,000","-35,000","-31,000","26,000",-,"-73,000","-73,000","-93,000","-83,000","-1,561,000","-53,000","-35,000","-43,000","-93,000","-73,000","-210,000",-,"-31,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Expenses,"46,052,000","53,844,000","51,635,000","54,548,000","47,240,000","57,681,000","49,424,000","60,606,000","44,388,000","52,468,000","47,410,000","48,505,000","42,626,000","43,421,000","44,211,000","48,675,000","44,871,000","42,107,000","50,623,000","44,387,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Income,"3,000,000","7,408,000","-2,043,000","-5,288,000","3,989,000","-10,961,000","23,580,000","-7,617,000","14,464,000","25,236,000","18,491,000","34,093,000","23,915,000","21,119,000","30,117,000","29,797,000","44,060,000","38,865,000","10,959,000","34,486,000",Upgrade,Financials in SEK,Fiscal year is January - December
Interest Expense,"-728,000","-565,000","-417,000","-463,000","-503,000","-518,000","-543,000","-522,000","-634,000","-638,000","-624,000","-391,000","-457,000","-475,000","-443,000","-187,000","-478,000","-500,000","-669,000",-,Upgrade,Financials in SEK,Fiscal year is January - December
Interest & Investment Income,"2,514,000","2,608,000","2,751,000","2,529,000","2,248,000","1,880,000","1,391,000","1,078,000","515,000","67,000","45,000","56,000","36,000","36,000","26,000","10,000","13,000","16,000","203,000","797,000",Upgrade,Financials in SEK,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,206,000","-289,000","1,537,000","-948,000","362,000","975,000","-348,000","522,000","1,002,000","949,000","-286,000","-232,000","44,000","-334,000","446,000","-1,267,000","-780,000","-2,738,000","3,072,000","-1,132,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,"-73,000",-,-,-,"-116,000",-,-,"-1,000","-252,000",-,"-37,000",-,"-1,156,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBT Excluding Unusual Items,"3,580,000","9,162,000","1,828,000","-4,170,000","6,096,000","-8,624,000","24,080,000","-6,612,000","15,347,000","25,614,000","17,626,000","33,410,000","23,538,000","20,346,000","30,145,000","28,101,000","42,815,000","35,606,000","13,565,000","32,995,000",Upgrade,Financials in SEK,Fiscal year is January - December
Pretax Income,"3,580,000","9,162,000","1,828,000","-4,170,000","6,096,000","-8,624,000","24,080,000","-6,612,000","15,347,000","25,614,000","17,626,000","33,410,000","23,538,000","20,346,000","30,145,000","28,101,000","42,815,000","35,606,000","13,565,000","32,995,000",Upgrade,Financials in SEK,Fiscal year is January - December
Income Tax Expense,"3,000","1,118,000","-25,000","-1,580,000","-299,000","-2,364,000","4,806,000","-879,000","2,982,000","5,643,000","3,607,000","7,142,000","5,084,000","4,556,000","7,511,000","6,270,000","9,641,000","8,586,000","2,897,000","7,154,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income,"3,577,000","8,044,000","1,853,000","-2,590,000","6,395,000","-6,260,000","19,274,000","-5,733,000","12,365,000","19,971,000","14,019,000","26,268,000","18,454,000","15,790,000","22,634,000","21,831,000","33,174,000","27,020,000","10,668,000","25,841,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income to Common,"3,577,000","8,044,000","1,853,000","-2,590,000","6,395,000","-6,260,000","19,274,000","-5,733,000","12,365,000","19,971,000","14,019,000","26,268,000","18,454,000","15,790,000","22,634,000","21,831,000","33,174,000","27,020,000","10,668,000","25,841,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income Growth,-44.066%,-,-90.386%,-,-48.281%,-,37.485%,-,-32.996%,26.479%,-38.062%,20.324%,-44.372%,-41.562%,112.167%,-15.518%,53.038%,-9.438%,25.021%,8.189%,Upgrade,Financials in SEK,Fiscal year is January - December
Shares Outstanding (Basic),"11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125",Upgrade,Financials in SEK,Fiscal year is January - December
Shares Outstanding (Diluted),"11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125",Upgrade,Financials in SEK,Fiscal year is January - December
EPS (Basic),0.314,0.706,0.163,-0.227,0.561,-0.549,1.692,-0.503,1.085,1.753,1.230,2.305,1.620,1.386,1.986,1.916,2.912,2.371,0.936,2.268,Upgrade,Financials in SEK,Fiscal year is January - December
EPS (Diluted),0.314,0.706,0.163,-0.227,0.561,-0.549,1.692,-0.503,1.085,1.753,1.230,2.305,1.620,1.386,1.986,1.916,2.912,2.371,0.936,2.268,Upgrade,Financials in SEK,Fiscal year is January - December
EPS Growth,-44.066%,-,-90.386%,-,-48.281%,-,37.485%,-,-32.996%,26.479%,-38.062%,20.324%,-44.372%,-41.562%,112.167%,-15.518%,53.038%,-9.438%,25.020%,8.189%,Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow,"55,688,000","-6,102,000","13,782,000","34,003,000","9,783,000","5,397,000","3,204,000","9,947,000","62,154,000","7,079,000","24,483,000","57,450,000","-4,658,000","34,206,000","32,050,000","78,732,000","31,034,000","-22,903,000","26,464,000","31,191,000",Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow Per Share,4.887,-0.536,1.210,2.984,0.859,0.474,0.281,0.873,5.455,0.621,2.149,5.042,-0.409,3.002,2.813,6.910,2.724,-2.010,2.323,2.737,Upgrade,Financials in SEK,Fiscal year is January - December
Dividend Per Share,-,-,-,1.300,-,-,-,1.300,-,-,-,1.300,-,-,-,1.100,-,-,-,1.000,Upgrade,Financials in SEK,Fiscal year is January - December
Dividend Growth,-,-,-,0%,-,-,-,0%,-,-,-,18.182%,-,-,-,10.000%,-,-,-,-,Upgrade,Financials in SEK,Fiscal year is January - December
Gross Margin,34.132%,34.241%,32.696%,31.552%,32.833%,32.508%,42.489%,36.803%,40.567%,44.527%,42.594%,48.576%,41.885%,40.858%,43.387%,42.471%,45.688%,44.989%,39.033%,47.475%,Upgrade,Financials in SEK,Fiscal year is January - December
