Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"372,686","227,268","229,001",-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),12.390%,-0.757%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"429,896","327,821","237,066",-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-57,210","-100,553","-8,065",-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,453,306","2,031,589","2,734,590","1,351,867","60,994","156,268",Financials in USD,Fiscal year is January - December
Research & Development,"338,086","544,859","357,455","154,903","36,071","84,678",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,800,"19,459",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,846,736","2,772,511","3,873,517","1,532,925","111,621","261,853",Financials in USD,Fiscal year is January - December
Operating Income,"-1,903,946","-2,873,064","-3,881,582","-1,532,925","-111,621","-261,853",Financials in USD,Fiscal year is January - December
Interest Expense,"-104,842","-36,469",-,"-302,036","-8,320","-2,028",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,"1,169",-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-1,217,-480,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-24,943","-49,428","-259,100","155,771","-3,617","4,488",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,033,732","-2,958,744","-4,139,993","-1,679,190","-123,558","-259,393",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-2,501,118",-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"-15,606",-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-709,794",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-156,255","2,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,033,732","-2,958,744","-4,849,787","-4,336,563","-137,164","-259,393",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"1,043",Financials in USD,Fiscal year is January - December
Net Income,"-2,033,732","-2,958,744","-4,849,787","-4,336,563","-137,164","-260,436",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,033,732","-2,958,744","-4,849,787","-4,336,563","-137,164","-260,436",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"12,771,654","11,906,042","11,847,045","11,845,139","3,913,863","3,330,959",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"12,771,654","11,906,042","11,847,045","11,845,139","3,913,863","3,330,959",Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.726%,0.498%,0.016%,202.646%,17.500%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.159,-0.249,-0.409,-0.366,-0.035,-0.078,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.159,-0.249,-0.409,-0.366,-0.035,-0.078,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,446,118","-1,838,518","-3,735,540","-2,061,278","-186,367","-229,520",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.113,-0.154,-0.315,-0.174,-0.048,-0.069,Financials in USD,Fiscal year is January - December
Gross Margin,-15.351%,-44.244%,-3.522%,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-510.871%,-1264.174%,-1695.007%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-545.696%,-1301.874%,-2117.802%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-388.026%,-808.965%,-1631.233%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-1,866,715","-2,823,423","-3,842,563","-1,506,770","-97,865","-260,405",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"37,231","49,641","39,019","26,155","13,756","1,448",Financials in USD,Fiscal year is January - December
EBIT,"-1,903,946","-2,873,064","-3,881,582","-1,532,925","-111,621","-261,853",Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"387,302","629,521","311,261","2,763","21,826",Financials in USD,Fiscal year is January - December
