Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"9,823","262,963","43,535","56,365","61,487","65,881","190,311","13,921","18,440","6,330",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-84.024%,299.148%,-77.124%,304.892%,233.444%,940.774%,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"110,292","168,782","59,473","91,351","88,674","88,324","218,960","5,589","9,629","2,888",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-100,469","94,181","-15,938","-34,986","-27,187","-22,443","-28,649","8,332","8,811","3,442",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","272,578","357,129","450,741","372,859","543,315","664,674","772,155","629,938","630,567","701,930","593,362","376,432","258,418","123,655","10,734","8,779",-,-,Financials in USD,Fiscal year is January - December
Research & Development,"49,357","-36,053","232,556","92,226","154,181","65,896","106,595","103,053","44,996","102,812","30,980","43,386","62,692","17,845","16,087","11,517",-,-,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,250,-,800,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"334,345","333,486","713,630","465,275","850,625","742,980","933,884","802,492","686,754","1,450,387","628,131","432,296","327,078","145,670","28,795","25,268",-,-,Financials in USD,Fiscal year is January - December
Operating Income,"-434,814","-239,305","-729,568","-500,261","-877,812","-765,423","-962,533","-794,160","-677,943","-1,446,945","-628,131","-432,296","-327,078","-145,670","-28,795","-25,268",-,-,Financials in USD,Fiscal year is January - December
