Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Sep '24 Sep 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020",2019 - 2015,,
Revenue,"5,766,000","5,766,000","6,665,000","8,643,000","9,190,000","9,532,000",Upgrade,Financials in GBP,Fiscal year is October - September
Revenue Growth (YoY),-13.488%,-13.488%,-22.886%,-5.952%,-3.588%,26.068%,Upgrade,Financials in GBP,Fiscal year is October - September
Cost of Revenue,"3,055,000","3,055,000","3,395,000","3,400,000","3,166,000","3,186,000",Upgrade,Financials in GBP,Fiscal year is October - September
Gross Profit,"2,711,000","2,711,000","3,270,000","5,243,000","6,024,000","6,346,000",Upgrade,Financials in GBP,Fiscal year is October - September
"Selling, General & Admin","4,309,000","4,309,000","4,175,000","3,807,000","4,114,000","4,787,000",Upgrade,Financials in GBP,Fiscal year is October - September
Research & Development,"1,337,000","1,337,000","925,000","1,217,000","1,240,000","1,309,000",Upgrade,Financials in GBP,Fiscal year is October - September
Other Operating Expenses,"-781,000","-781,000","-393,000","-689,000","-448,000","-606,000",Upgrade,Financials in GBP,Fiscal year is October - September
Operating Expenses,"4,865,000","4,865,000","4,707,000","4,335,000","4,906,000","5,490,000",Upgrade,Financials in GBP,Fiscal year is October - September
Operating Income,"-2,154,000","-2,154,000","-1,437,000","908,000","1,118,000","856,000",Upgrade,Financials in GBP,Fiscal year is October - September
Interest Expense,"-25,000","-25,000","-29,000","-33,000","-22,000","-18,000",Upgrade,Financials in GBP,Fiscal year is October - September
Interest & Investment Income,"85,000","85,000","105,000","10,000","1,000","20,000",Upgrade,Financials in GBP,Fiscal year is October - September
EBT Excluding Unusual Items,"-2,094,000","-2,094,000","-1,361,000","885,000","1,097,000","858,000",Upgrade,Financials in GBP,Fiscal year is October - September
Pretax Income,"-2,094,000","-2,094,000","-1,361,000","885,000","1,097,000","858,000",Upgrade,Financials in GBP,Fiscal year is October - September
Income Tax Expense,"-93,000","-93,000","-183,000","-147,000","-415,000","-94,000",Upgrade,Financials in GBP,Fiscal year is October - September
Net Income,"-2,001,000","-2,001,000","-1,178,000","1,032,000","1,512,000","952,000",Upgrade,Financials in GBP,Fiscal year is October - September
Net Income to Common,"-2,001,000","-2,001,000","-1,178,000","1,032,000","1,512,000","952,000",Upgrade,Financials in GBP,Fiscal year is October - September
Net Income Growth,-,-,-,-31.746%,58.824%,120.370%,Upgrade,Financials in GBP,Fiscal year is October - September
Shares Outstanding (Basic),"48,309,181","48,309,181","48,309,181","48,151,373","47,664,319","47,036,398",Upgrade,Financials in GBP,Fiscal year is October - September
Shares Outstanding (Diluted),"48,309,181","48,309,181","48,309,181","50,757,723","50,413,742","47,549,919",Upgrade,Financials in GBP,Fiscal year is October - September
Shares Change (YoY),-,-,-4.824%,0.682%,6.023%,1.612%,Upgrade,Financials in GBP,Fiscal year is October - September
EPS (Basic),-0.041,-0.041,-0.024,0.021,0.032,0.020,Upgrade,Financials in GBP,Fiscal year is October - September
EPS (Diluted),-0.041,-0.041,-0.024,0.020,0.030,0.020,Upgrade,Financials in GBP,Fiscal year is October - September
EPS Growth,-,-,-,-32.331%,50.003%,117.404%,Upgrade,Financials in GBP,Fiscal year is October - September
Free Cash Flow,"-1,766,000","-1,766,000","202,000","1,237,000","443,000","1,231,000",Upgrade,Financials in GBP,Fiscal year is October - September
Free Cash Flow Per Share,-0.037,-0.037,0.004,0.024,0.009,0.026,Upgrade,Financials in GBP,Fiscal year is October - September
Gross Margin,47.017%,47.017%,49.062%,60.662%,65.549%,66.576%,Upgrade,Financials in GBP,Fiscal year is October - September
Operating Margin,-37.357%,-37.357%,-21.560%,10.506%,12.165%,8.980%,Upgrade,Financials in GBP,Fiscal year is October - September
Profit Margin,-34.703%,-34.703%,-17.674%,11.940%,16.453%,9.987%,Upgrade,Financials in GBP,Fiscal year is October - September
Free Cash Flow Margin,-30.628%,-30.628%,3.031%,14.312%,4.820%,12.914%,Upgrade,Financials in GBP,Fiscal year is October - September
EBITDA,"-1,945,000","-1,945,000","-1,092,000","1,294,000","1,483,000","1,052,000",Upgrade,Financials in GBP,Fiscal year is October - September
EBITDA Margin,-33.732%,-33.732%,-16.384%,14.972%,16.137%,11.037%,Upgrade,Financials in GBP,Fiscal year is October - September
D&A For EBITDA,"209,000","209,000","345,000","386,000","365,000","196,000",Upgrade,Financials in GBP,Fiscal year is October - September
EBIT,"-2,154,000","-2,154,000","-1,437,000","908,000","1,118,000","856,000",Upgrade,Financials in GBP,Fiscal year is October - September
EBIT Margin,-37.357%,-37.357%,-21.560%,10.506%,12.165%,8.980%,Upgrade,Financials in GBP,Fiscal year is October - September
