Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
Revenue,-,-,"75,192","278,831",-,"13,854","261,268","192,547","100,916","52,950","30,731","305,389","192,189",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-71.220%,44.812%,-,-73.836%,750.177%,-36.950%,-47.491%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"108,643","70,269","-9,858","552,988","371,154","713,106","481,106","868,410","1,168,564","1,406,173","1,364,181","1,703,404","2,348,266","1,708,226",Financials in USD,Fiscal year is January - December
Gross Profit,"-108,643","-70,269","85,050","-274,157","-371,154","-699,252","-219,838","-675,863","-1,067,648","-1,353,223","-1,333,450","-1,398,015","-2,156,077","-1,708,226",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,281,985","2,134,559","1,231,391","1,756,801","2,299,058","3,004,823","4,988,258","1,010,010","1,560,182","972,826","806,028","520,923","619,542","523,269",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,281,985","2,134,559","1,231,391","1,756,801","2,299,058","3,004,823","4,988,258","1,010,010","1,560,182","972,826","806,028","520,923","619,542","523,269",Financials in USD,Fiscal year is January - December
Operating Income,"-1,390,628","-2,204,828","-1,146,341","-2,030,958","-2,670,212","-3,704,075","-5,208,096","-1,685,873","-2,627,830","-2,326,049","-2,139,478","-1,918,938","-2,775,619","-2,231,495",Financials in USD,Fiscal year is January - December
Interest Expense,"-448,962","-323,140","-448,168","-1,219,999","-998,548","-61,386","-43,336",-617,-,"-4,005","-7,777","-5,279",-,-915,Financials in USD,Fiscal year is January - December
Interest & Investment Income,1,2,14,3,20,6,6,6,564,"1,538",160,-,"2,499",1,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-238,278","-114,702","70,173","3,661,541","-1,261,119","512,620","42,567","19,092","98,608","224,581",230,-,-230,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,077,867","-2,642,668","-1,524,322","410,587","-4,929,859","-3,252,835","-5,208,859","-1,667,392","-2,528,658","-2,103,935","-2,146,865","-1,924,217","-2,773,350","-2,232,409",Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,"-3,513,999",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"207,967","998,878",-,"-1,014,368",-,"-1,566,653","-87,220",-,-,"498,332",-,"368,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,077,867","-2,434,701","-525,444","410,587","-5,944,227","-6,766,834","-6,775,512","-1,754,612","-2,528,658","-2,103,935","-1,648,533","-1,924,217","-2,405,350","-2,232,409",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,"-23,000","-41,700","-5,800","-3,500","19,067","21,000","21,000","21,000",Financials in USD,Fiscal year is January - December
Net Income,"-2,077,867","-2,434,701","-525,444","410,587","-5,944,227","-6,766,834","-6,752,512","-1,712,912","-2,522,858","-2,100,435","-1,667,600","-1,945,217","-2,426,350","-2,253,409",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,077,867","-2,434,701","-525,444","410,587","-5,944,227","-6,766,834","-6,752,512","-1,712,912","-2,522,858","-2,100,435","-1,667,600","-1,945,217","-2,426,350","-2,253,409",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"23,124,888","23,124,888","22,941,957","21,638,096","20,254,118","19,837,782","19,249,498","17,162,742","17,162,742","17,162,742","43,800,129","8,283,613","8,283,613",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"23,124,888","23,124,888","22,941,957","21,638,096","20,254,118","19,837,782","19,249,498","17,162,742","17,162,742","17,162,742","43,800,129","8,283,613","8,283,613",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),14.174%,16.570%,19.182%,26.076%,18.012%,15.586%,-56.052%,107.189%,107.189%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.090,-0.105,-0.023,0.019,-0.293,-0.341,-0.351,-0.100,-0.147,-0.122,-0.038,-0.235,-0.293,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.090,-0.105,-0.023,0.019,-0.293,-0.341,-0.351,-0.100,-0.147,-0.122,-0.038,-0.235,-0.293,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-905,397","-1,417,672","-1,468,604","-615,909","-1,233,432","-1,440,075","-3,712,916","-1,495,845","-1,253,381","-1,165,732","-1,849,296","-1,922,523","-2,612,100","-2,490,185",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.039,-0.061,-0.064,-0.028,-0.061,-0.073,-0.193,-0.087,-0.073,-0.068,-0.042,-0.232,-0.315,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,113.110%,-98.324%,-,-,-84.143%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-1524.552%,-728.383%,-,-26736.502%,-1993.392%,-875.564%,-2603.978%,-4392.916%,-6961.954%,-628.359%,-1444.213%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-698.803%,147.253%,-,-48843.901%,-2584.516%,-889.607%,-2499.958%,-3966.827%,-5426.442%,-636.964%,-1262.481%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-1953.139%,-220.890%,-,-10394.651%,-1421.114%,-776.873%,-1242.004%,-2201.571%,-6017.689%,-629.532%,-1359.131%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-1,368,888","-2,172,983","-1,114,055","-1,996,437","-2,634,383","-3,662,666","-5,178,748","-1,643,924","-2,588,363","-2,284,940","-2,097,749","-1,874,029","-2,730,571","-2,186,532",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"21,740","31,845","32,286","34,521","35,829","41,409","29,348","41,949","39,467","41,109","41,729","44,909","45,048","44,963",Financials in USD,Fiscal year is January - December
EBIT,"-1,390,628","-2,204,828","-1,146,341","-2,030,958","-2,670,212","-3,704,075","-5,208,096","-1,685,873","-2,627,830","-2,326,049","-2,139,478","-1,918,938","-2,775,619","-2,231,495",Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,"75,192","278,831",-,"13,854","261,268","192,547","100,916","52,950","30,731","305,389","192,189",-,Financials in USD,Fiscal year is January - December
