Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
"Selling, General & Admin","4,094,000","3,376,000","3,060,000","2,707,999",Financials in GBP,Fiscal year is January - December
Research & Development,"1,513,000","1,677,000","2,204,000","552,000",Financials in GBP,Fiscal year is January - December
Other Operating Expenses,"-475,000","-367,000","-278,000","-145,333",Financials in GBP,Fiscal year is January - December
Operating Expenses,"5,132,000","4,686,000","4,986,000","3,114,666",Financials in GBP,Fiscal year is January - December
Operating Income,"-5,132,000","-4,686,000","-4,986,000","-3,114,666",Financials in GBP,Fiscal year is January - December
Interest & Investment Income,"508,000","534,000","209,000",-,Financials in GBP,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,624,000","-4,152,000","-4,777,000","-3,114,666",Financials in GBP,Fiscal year is January - December
Asset Writedown,"-353,000","-353,000",-,-,Financials in GBP,Fiscal year is January - December
Pretax Income,"-4,977,000","-4,505,000","-4,777,000","-3,114,666",Financials in GBP,Fiscal year is January - December
Income Tax Expense,"-599,000","-574,000","-91,000",-,Financials in GBP,Fiscal year is January - December
Net Income,"-4,378,000","-3,931,000","-4,686,000","-3,114,666",Financials in GBP,Fiscal year is January - December
Net Income to Common,"-4,378,000","-3,931,000","-4,686,000","-3,114,666",Financials in GBP,Fiscal year is January - December
Shares Outstanding (Basic),"500,000,000","500,000,000","500,000,000","317,227,413",Financials in GBP,Fiscal year is January - December
Shares Outstanding (Diluted),"500,000,000","500,000,000","500,000,000","317,227,413",Financials in GBP,Fiscal year is January - December
Shares Change (YoY),-,-,57.616%,-,Financials in GBP,Fiscal year is January - December
EPS (Basic),-0.009,-0.008,-0.009,-0.010,Financials in GBP,Fiscal year is January - December
EPS (Diluted),-0.009,-0.008,-0.009,-0.010,Financials in GBP,Fiscal year is January - December
Free Cash Flow,"-4,360,000","-4,381,000","-4,368,000","-2,861,333",Financials in GBP,Fiscal year is January - December
Free Cash Flow Per Share,-0.009,-0.009,-0.009,-0.009,Financials in GBP,Fiscal year is January - December
EBITDA,"-5,106,000","-4,660,000","-4,960,000","-3,090,666",Financials in GBP,Fiscal year is January - December
D&A For EBITDA,"26,000","26,000","26,000","24,000",Financials in GBP,Fiscal year is January - December
EBIT,"-5,132,000","-4,686,000","-4,986,000","-3,114,666",Financials in GBP,Fiscal year is January - December
