Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022",,
"Selling, General & Admin","2,113,000","1,981,000","1,395,000","1,832,000","1,228,000",Financials in GBP,Fiscal year is January - December
Research & Development,"701,000","812,000","865,000","1,547,000","657,000",Financials in GBP,Fiscal year is January - December
Other Operating Expenses,"-285,000","-190,000","-177,000","-145,000","-133,000",Financials in GBP,Fiscal year is January - December
Operating Expenses,"2,529,000","2,603,000","2,083,000","3,234,000","1,752,000",Financials in GBP,Fiscal year is January - December
Operating Income,"-2,529,000","-2,603,000","-2,083,000","-3,234,000","-1,752,000",Financials in GBP,Fiscal year is January - December
Interest & Investment Income,"246,000","262,000","272,000","164,000","45,000",Financials in GBP,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,283,000","-2,341,000","-1,811,000","-3,070,000","-1,707,000",Financials in GBP,Fiscal year is January - December
Asset Writedown,-,"-353,000",-,-,-,Financials in GBP,Fiscal year is January - December
Pretax Income,"-2,283,000","-2,694,000","-1,811,000","-3,070,000","-1,707,000",Financials in GBP,Fiscal year is January - December
Income Tax Expense,"-25,000","-574,000",-,"9,000","-100,000",Financials in GBP,Fiscal year is January - December
Net Income,"-2,258,000","-2,120,000","-1,811,000","-3,079,000","-1,607,000",Financials in GBP,Fiscal year is January - December
Net Income to Common,"-2,258,000","-2,120,000","-1,811,000","-3,079,000","-1,607,000",Financials in GBP,Fiscal year is January - December
Shares Outstanding (Basic),"500,000,000","500,000,000","500,000,000","500,000,000","500,000,000",Financials in GBP,Fiscal year is January - December
Shares Outstanding (Diluted),"500,000,000","500,000,000","500,000,000","500,000,000","500,000,000",Financials in GBP,Fiscal year is January - December
EPS (Basic),-0.005,-0.004,-0.004,-0.006,-0.003,Financials in GBP,Fiscal year is January - December
EPS (Diluted),-0.005,-0.004,-0.004,-0.006,-0.003,Financials in GBP,Fiscal year is January - December
Free Cash Flow,"-2,262,000","-2,098,000","-2,283,000","-2,653,000","-1,715,000",Financials in GBP,Fiscal year is January - December
Free Cash Flow Per Share,-0.005,-0.004,-0.005,-0.005,-0.003,Financials in GBP,Fiscal year is January - December
EBITDA,"-2,516,000","-2,590,000","-2,070,000","-3,221,000","-1,739,000",Financials in GBP,Fiscal year is January - December
D&A For EBITDA,"13,000","13,000","13,000","13,000","13,000",Financials in GBP,Fiscal year is January - December
EBIT,"-2,529,000","-2,603,000","-2,083,000","-3,234,000","-1,752,000",Financials in GBP,Fiscal year is January - December
