Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
Other Revenue,"4,019,285","4,019,285","3,916,333","5,123,525","4,339,599",-,Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"4,019,285","4,019,285","3,916,333","5,123,525","4,339,599",-,Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),2.629%,2.629%,-23.562%,18.064%,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"214,304","214,304","285,067","364,665","360,026","352,922",Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"3,804,981","3,804,981","3,631,266","4,758,860","3,979,573","-352,922",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","4,762,643","4,762,643","5,056,571","5,513,915","6,937,842","3,446,139",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"18,644,047","18,644,047","13,198,583","14,745,776","12,283,848","10,098,439",Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"5,238","5,238","29,404","1,156","2,227","44,217",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"23,411,928","23,411,928","18,267,408","20,260,847","19,158,117","13,576,779",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-19,606,947","-19,606,947","-14,636,142","-15,501,987","-15,178,544","-13,929,701",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"268,419","268,419","16,436","2,504","20,676","17,117",Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"261,152","261,152","917,650","2,722,430","-297,111","333,055",Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-19,077,376","-19,077,376","-13,702,056","-12,777,053","-15,454,979","-13,579,529",Upgrade,Financials in AUD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,"145,626","122,729",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-19,077,376","-19,077,376","-13,702,056","-12,777,053","-15,309,353","-13,456,800",Upgrade,Financials in AUD,Fiscal year is July - June
Income Tax Expense,"46,088","46,088","104,459","70,008",-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-19,123,464","-19,123,464","-13,806,515","-12,847,061","-15,309,353","-13,456,800",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-19,123,464","-19,123,464","-13,806,515","-12,847,061","-15,309,353","-13,456,800",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"3,648,875,564","3,648,875,564","2,427,841,917","2,405,990,036","1,696,876,324","894,872,224",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"3,648,875,564","3,648,875,564","2,427,841,917","2,405,990,036","1,696,876,324","894,872,224",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),50.293%,50.293%,0.908%,41.789%,89.622%,45.325%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.005,-0.005,-0.006,-0.005,-0.009,-0.015,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.005,-0.005,-0.006,-0.005,-0.009,-0.015,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-12,611,546","-12,611,546","-20,043,148","-12,426,421","-17,340,541","-9,447,866",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.003,-0.003,-0.008,-0.005,-0.010,-0.011,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Margin,94.668%,94.668%,92.721%,92.882%,91.704%,-,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-487.822%,-487.822%,-373.721%,-302.565%,-349.768%,-,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-475.793%,-475.793%,-352.537%,-250.747%,-352.783%,-,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-313.776%,-313.776%,-511.784%,-242.537%,-399.589%,-,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-19,571,603","-19,571,603","-14,598,288","-15,484,139","-15,159,882","-13,903,713",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"35,344","35,344","37,854","17,848","18,662","25,988",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-19,606,947","-19,606,947","-14,636,142","-15,501,987","-15,178,544","-13,929,701",Upgrade,Financials in AUD,Fiscal year is July - June
