Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
"Selling, General & Admin","207,366","227,503","107,744","272,659","109,202","116,782","182,936","197,459","156,434","103,050","117,665","210,651","180,763","152,391","133,789","277,746","120,500","159,809","79,097","188,486",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"20,393","20,555","20,284","24,019","28,019","20,180","20,233","20,288","19,896","19,289","18,950","39,905","-290,780","130,433","182,614","286,406","-568,519","347,233","147,456","-470,528",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"230,299","250,580","130,527","341,427","142,483","148,400","283,021","256,392","485,650","143,440","150,362","279,232","-97,078","305,019","347,749","1,530,581","-431,912","725,581","269,044","171,110",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-230,299","-250,580","-130,527","-341,427","-142,483","-148,400","-283,021","-256,392","-485,650","-143,440","-150,362","-279,232","97,078","-305,019","-347,749","-1,530,581","431,912","-725,581","-269,044","-171,110",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-82,386","-81,925","-80,944","-79,685","-79,706","-76,775","-73,363",-,"-298,015","-84,756","-138,121","-168,120","-83,646","-78,410","-136,721","-99,105","-89,032","-307,167","-144,738",-,Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,"283,618",-,-,-,-,-,-,-,-,-,-,-,"20,293",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-11,873","-4,493","-12,349","9,314","-6,806","8,757","-13,083","317,650","-4,157","-158,075","-156,835","-30,135",-660,"-366,926","185,082","-8,390","47,518","218,054","-139,180","-65,009",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-11,188","-24,962","-11,582","-11,271","-10,640","-14,160","-11,722","-10,991","-9,751","-30,348","-10,702","-10,136","-9,875","-13,292","-29,626","-10,518","79,211","2,428","32,140","151,171",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-335,746","-361,960","-235,402","-423,069","-239,635","-230,578","-381,189","333,885","-797,573","-416,619","-456,020","-487,623","2,897","-763,647","-329,014","-1,648,594","469,609","-812,266","-520,822","-64,655",Upgrade,Financials in CAD,Fiscal year is January - December
