Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
Other Revenue,"4,003,470","4,003,470","3,134,381","707,807","387,385","159,371",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"4,003,470","4,003,470","3,134,381","707,807","387,385","159,371",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),27.728%,27.728%,342.830%,82.714%,143.071%,-30.254%,Upgrade,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"2,613,555","2,613,555","2,026,474","990,259","620,078","443,190",Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"1,389,915","1,389,915","1,107,907","-282,452","-232,693","-283,819",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","3,793,370","3,793,370","3,044,453","4,329,513","3,337,556","1,950,878",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"10,977,104","10,977,104","7,595,567","5,831,954","2,199,539","1,276,645",Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"822,817","822,817","662,474","477,771","307,864","137,963",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"15,874,487","15,874,487","11,583,690","10,920,434","6,126,155","3,646,682",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-14,484,572","-14,484,572","-10,475,783","-11,202,886","-6,358,848","-3,930,501",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"832,577","832,577","591,839","53,915","18,847","9,316",Upgrade,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-167,341","-167,341","-39,481","-53,007","-37,818","-8,091",Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-13,819,336","-13,819,336","-9,923,425","-11,201,978","-6,377,819","-3,929,276",Upgrade,Financials in AUD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,"37,500","83,311",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-13,819,336","-13,819,336","-9,923,425","-11,201,978","-6,340,319","-3,845,965",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-13,819,336","-13,819,336","-9,923,425","-11,201,978","-6,340,319","-3,845,965",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-13,819,336","-13,819,336","-9,923,425","-11,201,978","-6,340,319","-3,845,965",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"164,500,721","164,500,721","160,720,648","153,309,857","130,963,695","106,594,738",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"164,500,721","164,500,721","160,720,648","153,309,857","130,963,695","106,594,738",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),2.352%,2.352%,4.834%,17.063%,22.861%,33.504%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.084,-0.084,-0.062,-0.073,-0.048,-0.036,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.084,-0.084,-0.062,-0.073,-0.048,-0.036,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-9,545,579","-9,545,579","-10,651,551","-6,257,837","-4,697,578","-2,463,083",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.058,-0.058,-0.066,-0.041,-0.036,-0.023,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Margin,34.718%,34.718%,35.347%,-39.905%,-60.068%,-178.087%,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-361.800%,-361.800%,-334.222%,-1582.760%,-1641.480%,-2466.259%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-345.184%,-345.184%,-316.599%,-1582.632%,-1636.697%,-2413.215%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-238.433%,-238.433%,-339.829%,-884.116%,-1212.638%,-1545.503%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-14,203,376","-14,203,376","-10,194,588","-10,921,690","-6,077,652","-3,649,305",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"281,196","281,196","281,195","281,196","281,196","281,196",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-14,484,572","-14,484,572","-10,475,783","-11,202,886","-6,358,848","-3,930,501",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue as Reported,-,-,-,-,-,"256,440",Upgrade,Financials in AUD,Fiscal year is July - June
