Fiscal Quarter,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018",+20 Quarters,,
Revenue,"19,190","19,190","19,190","19,191","19,191","19,190","19,190","19,191","19,191","19,190","19,190","19,191","19,190","19,191","19,190","19,190","19,191","19,191","19,190","12,504",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-0.005%,0%,0%,0%,0%,0%,0%,0%,0.005%,-0.005%,0%,0.005%,-0.005%,0%,0%,53.471%,2.178%,10.477%,38.366%,-1.590%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,"5,663",487,488,488,482,"3,475",475,"11,733","11,733","26,337","15,304","16,771","26,573","18,854",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"19,190","19,190","19,190","19,191","19,191","19,190","13,527","18,704","18,703","18,702","18,708","15,716","18,715","7,458","7,457","-7,147","3,887","2,420","-7,383","-6,350",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","324,102","328,035","303,653","484,033","363,032","386,792","417,573","276,151","318,119","309,410","299,161","400,951","356,864","308,036","293,953","344,799","326,748","262,240","349,924","335,758",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"324,102","328,035","303,653","484,033","363,032","386,792","417,573","276,151","318,119","309,410","299,161","400,951","356,864","308,036","293,953","344,799","326,748","262,240","349,924","335,758",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-304,912","-308,845","-284,463","-464,842","-343,841","-367,602","-404,046","-257,447","-299,416","-290,708","-280,453","-385,235","-338,149","-300,578","-286,496","-351,946","-322,861","-259,820","-357,307","-342,108",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-80,296","-82,082","-82,082","-81,188","-80,296","-82,080","-81,313","-81,189","-80,296","-77,207","-52,186","-51,619","-51,619","-52,187","-52,186","-39,447","-9,590","-4,008","-18,680","-25,766",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,8,21,37,54,72,97,114,3,20,40,40,693,"3,034","3,324","4,775","2,945",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
