Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Revenue,"291,549","599,534","724,923","2,662,644","2,148,907","2,583,105","2,254,142","741,911",-,"1,777,510",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-59.782%,-77.484%,-66.266%,3.079%,-4.669%,248.169%,-,-58.261%,-,521.021%,Upgrade,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"668,011","527,222","607,486","1,429,256","2,193,137","1,976,007","1,406,146","490,217",-,"1,612,133",Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"-376,462","72,312","117,437","1,233,388","-44,230","607,098","847,996","251,694",-,"165,377",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","8,954,277","6,601,953","5,787,918","7,555,474","6,970,796","4,858,565","4,972,568","2,812,892",-,"4,117,853",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"2,321,368",-,"2,990,226",-,-,-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"-1,684,002","1,524,612","-1,376,120","1,600,425","1,543,113","2,689,624","2,219,270","3,033,645",-,"2,762,327",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"9,610,990","8,126,565","7,402,024","9,155,899","8,513,909","7,548,189","7,191,838","5,846,537",-,"6,880,180",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-9,987,452","-8,054,253","-7,284,587","-7,922,511","-8,558,139","-6,941,091","-6,343,842","-5,594,843",-,"-6,714,803",Upgrade,Financials in AUD,Fiscal year is July - June
Interest Expense,"-15,815","-466,659","-157,876","-104,381","-97,814","-112,408","-63,798","-305,337",-,"-71,484",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"1,613",316,240,-,-,381,"4,282","3,350",-,"9,159",Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"832,226",-,"-1,216,651",-,"84,568",-,"-30,014",-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-32,142","88,458","-14,017","101,206","-466,189","-773,975","-3,539,068","-29,986",-,-,Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-9,201,570","-8,432,138","-8,672,891","-7,925,686","-9,037,574","-7,827,093","-9,972,440","-5,926,816",-,"-6,777,128",Upgrade,Financials in AUD,Fiscal year is July - June
Impairment of Goodwill,-,-,-,"-3,145,724","-3,903,156",-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,"3,378","1,338,087","-1,387,216",-,-,-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Assets,"-1,256,190",-,-,-,-,-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Asset Writedown,-,-,-,-,"224,134","-224,134",-,-,-,"-5,036,029",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-10,454,382","-7,094,051","-10,060,107","-11,071,410","-12,716,596","-8,051,227","-9,972,440","-5,926,816",-,"-11,813,157",Upgrade,Financials in AUD,Fiscal year is July - June
Income Tax Expense,-,-,67,"1,951",-,-,"-27,278",-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Earnings From Continuing Operations,"-10,454,382","-7,094,051","-10,060,174","-11,073,361","-12,716,596","-8,051,227","-9,945,162","-5,926,816",-,"-11,813,157",Upgrade,Financials in AUD,Fiscal year is July - June
Earnings From Discontinued Operations,-,-,-,-,-,-,"274,551","-274,551",-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Company,"-10,454,382","-7,094,051","-10,060,174","-11,073,361","-12,716,596","-8,051,227","-9,670,611","-6,201,367",-,"-11,813,157",Upgrade,Financials in AUD,Fiscal year is July - June
Minority Interest in Earnings,162,"17,671","118,724","191,227","254,274","166,110",345,"1,655",-,"5,001",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-10,454,220","-7,076,380","-9,941,450","-10,882,134","-12,462,322","-7,885,117","-9,670,266","-6,199,712",-,"-11,808,156",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-10,454,220","-7,076,380","-9,941,450","-10,882,134","-12,462,322","-7,885,117","-9,670,266","-6,199,712",-,"-11,808,156",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"50,929,698","23,095,234","3,303,372","2,590,984","2,742,993","2,389,429","2,180,727","1,631,503",-,"1,312,017",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"50,929,698","23,095,234","3,303,372","2,590,984","2,742,993","2,389,429","2,180,727","1,631,503",-,"1,312,017",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),1441.749%,791.369%,20.429%,8.435%,25.783%,46.456%,-,24.351%,-,9.772%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.205,-0.306,-3.009,-4.200,-4.543,-3.300,-4.434,-3.800,-,-9.000,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.205,-0.306,-3.040,-4.200,-4.543,-3.300,-4.434,-3.800,-,-9.000,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-6,880,090","-7,922,524","-5,185,362","-6,989,684","-7,086,417","-7,764,908","-7,764,485","-7,552,232",-,"-6,227,547",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.135,-0.343,-1.570,-2.698,-2.583,-3.250,-3.561,-4.629,-,-4.747,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-3425.651%,-1343.419%,-1004.877%,-297.543%,-398.255%,-268.711%,-281.430%,-754.112%,-,-377.765%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-3585.751%,-1180.313%,-1371.380%,-408.697%,-579.938%,-305.257%,-429.000%,-835.641%,-,-664.309%,Upgrade,Financials in AUD,Fiscal year is July - June
