Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Currency,Fiscal_Year_period
Period Ending,"May '15 May 31, 2015","Feb '15 Feb 28, 2015","Nov '14 Nov 30, 2014","Aug '14 Aug 31, 2014","May '14 May 31, 2014","Feb '14 Feb 28, 2014","Nov '13 Nov 30, 2013","Aug '13 Aug 31, 2013","May '13 May 31, 2013","Feb '13 Feb 28, 2013","Nov '12 Nov 30, 2012","Aug '12 Aug 31, 2012","May '12 May 31, 2012","Feb '12 Feb 29, 2012","Nov '11 Nov 30, 2011",,
Cost of Revenue,-,-,"7,085","154,315",-,-,"7,584","91,140",-,-,-,-,-,-,-,Financials in USD,Fiscal year is September - August
Gross Profit,-,-,"-7,085","-154,315",-,-,"-7,584","-91,140",-,-,-,-,-,-,-,Financials in USD,Fiscal year is September - August
"Selling, General & Admin","-161,279","313,457","98,624","43,096","246,222","96,346","241,401","167,734","268,582","429,459","47,580","46,967","93,965","42,201","47,924",Financials in USD,Fiscal year is September - August
Operating Expenses,"-161,125","313,611","98,659","43,126","246,252","96,389","241,444","302,855","308,809","395,164","43,852","504,536","96,304","54,535","55,324",Financials in USD,Fiscal year is September - August
Operating Income,"161,125","-313,611","-105,744","-197,441","-246,252","-96,389","-249,028","-393,995","-308,809","-395,164","-43,852","-504,536","-96,304","-54,535","-55,324",Financials in USD,Fiscal year is September - August
Interest Expense,"-117,579","-30,060","-31,466","-58,082","-52,573",-,"-2,499",-514,"-1,125","-58,114","-6,442","-37,310","-1,993",-574,-440,Financials in USD,Fiscal year is September - August
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-17,-,-258,-,-,-128,-,-,Financials in USD,Fiscal year is September - August
Other Non Operating Income (Expenses),"-118,465","-3,860","-8,442","59,016","-8,082",-,-,-,-,-,-,254,-,-,-63,Financials in USD,Fiscal year is September - August
EBT Excluding Unusual Items,"-74,919","-347,531","-145,652","-196,507","-306,907","-96,389","-251,527","-394,526","-309,934","-453,536","-50,294","-541,592","-98,425","-55,109","-55,827",Financials in USD,Fiscal year is September - August
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,"137,000",-,-,Financials in USD,Fiscal year is September - August
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"-23,621","-137,000",-,-,Financials in USD,Fiscal year is September - August
Pretax Income,"-74,919","-347,531","-145,652","-196,507","-306,907","-96,389","-251,527","-394,526","-309,934","-453,536","-50,294","-565,213","-98,425","-55,109","-55,827",Financials in USD,Fiscal year is September - August
Earnings From Continuing Operations,"-74,919","-347,531","-145,652","-196,507","-306,907","-96,389","-251,527","-394,526","-309,934","-453,536","-50,294","-565,213","-98,425","-55,109","-55,827",Financials in USD,Fiscal year is September - August
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,645","-3,645",Financials in USD,Fiscal year is September - August
Net Income,"-74,919","-347,531","-145,652","-196,507","-306,907","-96,389","-251,527","-394,526","-309,934","-453,536","-50,294","-565,213","-98,425","-58,754","-59,472",Financials in USD,Fiscal year is September - August
Net Income to Common,"-74,919","-347,531","-145,652","-196,507","-306,907","-96,389","-251,527","-394,526","-309,934","-453,536","-50,294","-565,213","-98,425","-58,754","-59,472",Financials in USD,Fiscal year is September - August
Shares Outstanding (Basic),"152,077,783","42,383,728","37,305,038","34,988,858","37,511,849","36,164,627","35,377,814","34,868,008","32,687,996","12,077,063","7,122,884","7,853,216","6,939,193","6,853,025","6,853,025",Financials in USD,Fiscal year is September - August
Shares Outstanding (Diluted),"152,077,783","42,383,728","37,305,038","34,988,858","37,511,849","36,164,627","35,377,814","34,868,008","32,687,996","12,077,063","7,122,884","7,853,216","6,939,193","6,853,025","6,853,025",Financials in USD,Fiscal year is September - August
Shares Change (YoY),305.413%,17.197%,5.448%,0.347%,14.757%,199.449%,396.678%,343.997%,371.063%,76.230%,3.938%,-,-,-,-,Financials in USD,Fiscal year is September - August
EPS (Basic),-0.000,-0.008,-0.004,-0.006,-0.008,-0.003,-0.007,-0.011,-0.009,-0.038,-0.007,-0.072,-0.014,-0.009,-0.009,Financials in USD,Fiscal year is September - August
EPS (Diluted),-0.000,-0.008,-0.004,-0.006,-0.008,-0.003,-0.007,-0.011,-0.009,-0.038,-0.007,-0.072,-0.014,-0.009,-0.009,Financials in USD,Fiscal year is September - August
Free Cash Flow,"-38,565","-27,940","-55,070","-178,461","-85,019","-3,183","-17,954","-216,016","-132,505","-98,533","-52,082","-36,452","-99,448","-58,031","-58,031",Financials in USD,Fiscal year is September - August
Free Cash Flow Per Share,-0.000,-0.001,-0.001,-0.005,-0.002,-0.000,-0.001,-0.006,-0.004,-0.008,-0.007,-0.005,-0.014,-0.008,-0.008,Financials in USD,Fiscal year is September - August
EBITDA,"161,279","-313,457","-105,709","-197,411","-246,222","-96,346","-248,985","-260,841","-308,761","-395,113","-43,797","-391,538","-96,242",-,-,Financials in USD,Fiscal year is September - August
D&A For EBITDA,154,154,35,30,30,43,43,"133,154",48,51,55,"112,998",62,-,-,Financials in USD,Fiscal year is September - August
EBIT,"161,125","-313,611","-105,744","-197,441","-246,252","-96,389","-249,028","-393,995","-308,809","-395,164","-43,852","-504,536","-96,304","-54,535","-55,324",Financials in USD,Fiscal year is September - August
Advertising Expenses,-,-,486,-,-,-,891,-,"4,659",940,"1,256",-,51,502,-,Financials in USD,Fiscal year is September - August
