Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Revenue,"15,874,403,000",-,"14,283,672,000",-,"15,193,738,000","12,507,575,000","14,353,781,000","10,999,449,000","12,647,775,000","11,706,721,000",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),11.137%,-,-5.990%,-,5.852%,13.711%,13.489%,-6.042%,0.962%,4.867%,Upgrade,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"2,844,780,000",-,"2,599,759,000",-,"2,959,599,000","2,578,974,000","2,753,121,000","2,390,276,000","2,792,044,000","2,474,122,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gross Profit,"13,029,623,000",-,"11,683,913,000",-,"12,234,139,000","9,928,601,000","11,600,660,000","8,609,173,000","9,855,731,000","9,232,599,000",Upgrade,Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","6,847,942,000",-,"6,226,045,000",-,"6,933,904,000","5,911,778,000","6,791,849,000","5,962,391,000","5,666,170,000","5,824,113,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Operating Expenses,"2,711,923,000",-,"2,419,308,000",-,"2,138,772,000","2,405,467,000","1,787,276,000","1,022,044,000","1,715,877,000","895,866,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Expenses,"9,559,865,000",-,"8,645,353,000",-,"9,072,676,000","8,317,245,000","8,579,125,000","6,984,435,000","7,382,047,000","6,719,979,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Income,"3,469,758,000",-,"3,038,560,000",-,"3,161,463,000","1,611,356,000","3,021,535,000","1,624,738,000","2,473,684,000","2,512,620,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest Expense,"-153,739,000",-,"-293,425,000",-,"-169,271,000","-161,394,000","-147,223,000","-149,045,000","-174,323,000","-143,720,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"307,959,000",-,"298,809,000",-,"213,970,000","333,812,000","226,078,000","243,856,000","276,426,000","367,165,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Equity Investments,"-93,056,000",-,"-219,438,000",-,"503,155,000","6,045,810,000","7,584,980,000","37,955,000","-41,188,000","103,715,000",Upgrade,Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"-70,362,000",-,"-133,861,000",-,"67,354,000","182,394,000","109,903,000",-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"191,121,000",-,"322,418,000",-,"101,451,000","365,788,000","122,407,000","199,970,000","72,953,000","234,900,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"3,651,681,000",-,"3,013,063,000",-,"3,878,122,000","8,377,766,000","10,917,680,000","1,957,474,000","2,607,552,000","3,074,680,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-39,511,000",-,"91,013,000",-,"-116,222,000","-324,355,000","58,974,000","440,892,000","2,546,000","-18,439,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"1,846,000",-,"7,629,000",-,"1,961,000","-6,139,000","1,861,000","4,226,000","354,000","903,000",Upgrade,Financials in CNY,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,"-441,098,000",-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Other Unusual Items,-,-,"-57,583,000",-,"-9,249,000","-12,016,000",-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Pretax Income,"3,614,016,000",-,"3,054,122,000",-,"3,754,612,000","7,594,158,000","10,978,515,000","2,402,592,000","2,610,452,000","3,057,144,000",Upgrade,Financials in CNY,Fiscal year is January - December
Income Tax Expense,"614,093,000",-,"497,992,000",-,"571,391,000","620,969,000","1,336,911,000","126,052,000","546,325,000","453,100,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Continuing Operations,"2,999,923,000",-,"2,556,130,000",-,"3,183,221,000","6,973,189,000","9,641,604,000","2,276,540,000","2,064,127,000","2,604,044,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Discontinued Operations,"1,606,765,000",-,"143,294,000",-,-,-,-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Net Income to Company,"4,606,688,000",-,"2,699,424,000",-,"3,183,221,000","6,973,189,000","9,641,604,000","2,276,540,000","2,064,127,000","2,604,044,000",Upgrade,Financials in CNY,Fiscal year is January - December
Minority Interest in Earnings,"-1,589,526,000",-,"-1,440,640,000",-,"-1,262,184,000","-845,117,000","-1,161,264,000","-746,066,000","-823,515,000","-1,286,851,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income,"3,017,162,000",-,"1,258,784,000",-,"1,921,037,000","6,128,072,000","8,480,340,000","1,530,474,000","1,240,612,000","1,317,193,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income to Common,"3,017,162,000",-,"1,258,784,000",-,"1,921,037,000","6,128,072,000","8,480,340,000","1,530,474,000","1,240,612,000","1,317,193,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income Growth,139.689%,-,-34.474%,-,-77.347%,300.404%,583.561%,16.192%,-14.106%,-82.851%,Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"18,408,301,709",-,"18,564,162,723",-,"18,658,823,689","18,756,280,784","18,781,018,730","18,794,522,099","18,806,046,211","18,734,415,540",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"18,409,838,741",-,"18,564,162,723",-,"19,122,741,984","19,276,912,399","19,288,997,781","18,794,522,099","18,806,046,211","18,734,415,540",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Change (YoY),-0.831%,-,-2.921%,-,-0.862%,2.567%,2.568%,0.321%,-0.432%,0.495%,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Basic),0.164,-,0.068,-,0.103,0.327,0.452,0.081,0.066,0.070,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Diluted),0.164,-,0.068,-,0.092,0.299,0.434,0.081,0.066,0.070,Upgrade,Financials in CNY,Fiscal year is January - December
EPS Growth,141.693%,-,-26.338%,-,-78.783%,266.940%,557.610%,15.789%,-13.733%,-82.935%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"2,670,995,000",-,"1,917,210,000",-,"3,321,969,000","1,902,216,000","1,749,947,000","2,951,029,000","950,017,000","1,129,524,000",Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,0.145,-,0.103,-,0.174,0.099,0.091,0.157,0.051,0.060,Upgrade,Financials in CNY,Fiscal year is January - December
Dividend Per Share,0.028,-,0.019,-,0.051,0.032,0.033,0.031,0.030,0.024,Upgrade,Financials in CNY,Fiscal year is January - December
Dividend Growth,50.846%,-,-63.865%,-,54.009%,1.741%,9.578%,29.091%,29.709%,-13.523%,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Margin,21.858%,-,21.273%,-,20.808%,12.883%,21.050%,14.771%,19.558%,21.463%,Upgrade,Financials in CNY,Fiscal year is January - December
Profit Margin,19.006%,-,8.813%,-,12.644%,48.995%,59.081%,13.914%,9.809%,11.252%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,16.826%,-,13.422%,-,21.864%,15.209%,12.192%,26.829%,7.511%,9.649%,Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA,"3,950,954,000",-,"3,628,586,000",-,"3,537,217,000","2,032,936,000","3,420,526,000","2,467,006,000","3,193,522,000","3,132,724,000",Upgrade,Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"481,196,000","328,464,000","590,026,000","492,804,000","375,754,000","421,580,000","398,991,000","842,268,000","719,838,000","620,104,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT,"3,469,758,000",-,"3,038,560,000",-,"3,161,463,000","1,611,356,000","3,021,535,000","1,624,738,000","2,473,684,000","2,512,620,000",Upgrade,Financials in CNY,Fiscal year is January - December
