Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"1,758,893,255","1,474,150,813","1,229,229,852","3,767,754,303","1,507,381,241","774,131,264",Upgrade,Financials in CNY,Fiscal year is January - December
Other Revenue,"28,399,101","28,399,101","224,262,856","257,086,575","87,515,322","957,889",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue,"1,787,292,356","1,502,549,914","1,453,492,708","4,024,840,878","1,594,896,563","775,089,153",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),46.311%,3.375%,-63.887%,152.357%,105.769%,82885.991%,Upgrade,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"622,887,088","634,393,017","526,282,177","1,258,187,045","376,758,444","90,684,339",Upgrade,Financials in CNY,Fiscal year is January - December
Gross Profit,"1,164,405,268","868,156,897","927,210,531","2,766,653,833","1,218,138,119","684,404,814",Upgrade,Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","1,503,859,064","1,380,795,492","1,284,791,868","1,376,548,688","1,127,767,685","536,978,935",Upgrade,Financials in CNY,Fiscal year is January - December
Research & Development,"1,541,111,820","1,937,469,544","2,384,373,403","2,068,739,301","1,778,022,997","946,099,973",Upgrade,Financials in CNY,Fiscal year is January - December
Other Operating Expenses,"2,660,272","7,544,325","6,031,104","7,066,701","7,720,723","7,300,063",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Expenses,"3,053,686,187","3,344,152,769","3,675,191,788","3,452,710,592","2,913,175,835","1,490,424,109",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Income,"-1,889,280,919","-2,475,995,872","-2,747,981,257","-686,056,759","-1,695,037,716","-806,019,295",Upgrade,Financials in CNY,Fiscal year is January - December
Interest Expense,"-41,942,048","-29,005,774","-29,370,183","-21,833,301","-29,391,039","-13,300,162",Upgrade,Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"128,451,883","173,416,585","61,018,131","30,978,506","20,278,062","29,222,164",Upgrade,Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"-2,661,121","-2,661,121","50,051,335","-39,938,418","-11,674,181","-2,265,805",Upgrade,Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"-32,061,887","-38,709,747","-796,329","125,550","-989,435","-204,776",Upgrade,Financials in CNY,Fiscal year is January - December
