Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"1,142,000","598,000","12,406,000","2,099,000","2,798,000","9,104,000","11,374,000","4,765,000","3,371,000","3,643,000","5,722,000","3,414,000","3,156,000","2,701,000","3,144,000","2,345,000","1,988,000","573,000","573,000","122,000",Upgrade,Financials in GBP,Fiscal year is January - December
Revenue Growth (YoY),-59.185%,-93.431%,9.073%,-55.950%,-16.998%,149.904%,98.777%,39.572%,6.812%,34.876%,81.997%,45.586%,58.753%,371.379%,448.691%,1822.131%,1529.508%,-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Cost of Revenue,"2,774,000","2,638,000","2,213,000","1,346,000","1,607,000","2,831,000","4,534,000","3,859,000","2,394,000","2,352,000","2,275,000","2,042,000","2,052,000","1,825,000","1,537,000","1,431,000","2,331,000",-,-,"-2,527,000",Upgrade,Financials in GBP,Fiscal year is January - December
Gross Profit,"-1,632,000","-2,040,000","10,193,000","753,000","1,191,000","6,273,000","6,840,000","906,000","977,000","1,291,000","3,447,000","1,372,000","1,104,000","876,000","1,607,000","914,000","-343,000","573,000","573,000","2,649,000",Upgrade,Financials in GBP,Fiscal year is January - December
"Selling, General & Admin","5,600,000","5,288,000","5,170,000","4,115,000","4,956,000","5,115,000","6,450,000","3,468,000","5,827,000","4,548,000","5,166,000","5,411,000","5,472,000","5,377,000","3,749,000","6,157,000","2,666,000","2,580,000","2,580,000","2,494,000",Upgrade,Financials in GBP,Fiscal year is January - December
Research & Development,"15,305,000","10,995,000","9,179,000","9,937,000","8,934,000","12,615,000","12,539,000","8,399,000","8,771,000","10,832,000","7,603,000","7,224,000","7,916,000","8,167,000","7,458,000","6,562,000","3,468,000","5,089,500","5,089,500","6,668,000",Upgrade,Financials in GBP,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,"259,000","-259,000","-4,583,000","3,091,000",-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Operating Expenses,"20,905,000","16,283,000","14,349,000","14,052,000","13,890,000","17,730,000","18,989,000","11,867,000","14,598,000","15,380,000","12,769,000","12,635,000","13,388,000","13,803,000","10,948,000","8,136,000","9,225,000","7,669,500","7,669,500","9,162,000",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Income,"-22,537,000","-18,323,000","-4,156,000","-13,299,000","-12,699,000","-11,457,000","-12,149,000","-10,961,000","-13,621,000","-14,089,000","-9,322,000","-11,263,000","-12,284,000","-12,927,000","-9,341,000","-7,222,000","-9,568,000","-7,096,500","-7,096,500","-6,513,000",Upgrade,Financials in GBP,Fiscal year is January - December
