Fiscal Year,TTM,FY 2021,FY 2020,FY 2019,FY 2018,Currency,Fiscal_Year_period
Period Ending,"Nov '21 Nov 30, 2021","Feb '21 Feb 28, 2021","Feb '20 Feb 29, 2020","Feb '19 Feb 28, 2019","Feb '18 Feb 28, 2018",,
Revenue,"533,551","316,424","926,972",-,-,Financials in CAD,Fiscal year is March - February
Revenue Growth (YoY),43.211%,-65.865%,-,-,-,Financials in CAD,Fiscal year is March - February
Cost of Revenue,"774,878","631,567","1,272,120","-133,957",-,Financials in CAD,Fiscal year is March - February
Gross Profit,"-241,327","-315,143","-345,148","133,957",-,Financials in CAD,Fiscal year is March - February
"Selling, General & Admin","1,856,183","1,709,741","6,533,990","6,131,323","1,145,232",Financials in CAD,Fiscal year is March - February
Operating Expenses,"1,306,911","2,046,479","8,604,935","8,160,565","1,449,935",Financials in CAD,Fiscal year is March - February
Operating Income,"-1,548,238","-2,361,622","-8,950,083","-8,026,608","-1,449,935",Financials in CAD,Fiscal year is March - February
Interest Expense,"-1,904,929","-2,953,650","-3,324,661","-1,643,658","-12,522",Financials in CAD,Fiscal year is March - February
Currency Exchange Gain (Loss),"-2,296","-31,969","-3,828","1,222",-,Financials in CAD,Fiscal year is March - February
Other Non Operating Income (Expenses),"91,058","-3,543","-110,413","-365,796","-120,426",Financials in CAD,Fiscal year is March - February
EBT Excluding Unusual Items,"-3,364,405","-5,350,784","-12,388,985","-10,034,840","-1,582,883",Financials in CAD,Fiscal year is March - February
Impairment of Goodwill,-,-,"-1,322,544",-,-,Financials in CAD,Fiscal year is March - February
Gain (Loss) on Sale of Assets,"12,938","20,892",-,-,-,Financials in CAD,Fiscal year is March - February
Asset Writedown,"-11,743,875","-11,743,875","-49,028,456",-,-,Financials in CAD,Fiscal year is March - February
Other Unusual Items,"892,370","245,064","-8,153","-3,503,901","-908,733",Financials in CAD,Fiscal year is March - February
Pretax Income,"-14,202,972","-16,828,703","-62,748,138","-13,538,741","-2,491,617",Financials in CAD,Fiscal year is March - February
Income Tax Expense,"-416,756","-416,756","-1,137,144","-910,574","-26,444",Financials in CAD,Fiscal year is March - February
Net Income,"-13,786,216","-16,411,947","-61,610,994","-12,628,167","-2,465,172",Financials in CAD,Fiscal year is March - February
Net Income to Common,"-13,786,216","-16,411,947","-61,610,994","-12,628,167","-2,465,172",Financials in CAD,Fiscal year is March - February
Shares Outstanding (Basic),"344,902,442","270,522,467","205,112,854","132,161,533","22,628,440",Financials in CAD,Fiscal year is March - February
Shares Outstanding (Diluted),"344,902,442","270,522,467","205,112,854","132,161,533","22,628,440",Financials in CAD,Fiscal year is March - February
Shares Change (YoY),38.293%,31.890%,55.199%,484.051%,-,Financials in CAD,Fiscal year is March - February
EPS (Basic),-0.040,-0.061,-0.300,-0.096,-0.109,Financials in CAD,Fiscal year is March - February
EPS (Diluted),-0.040,-0.061,-0.300,-0.096,-0.109,Financials in CAD,Fiscal year is March - February
Free Cash Flow,"-1,526,932","-1,144,266","-7,119,588","-8,521,986","-791,543",Financials in CAD,Fiscal year is March - February
Free Cash Flow Per Share,-0.004,-0.004,-0.035,-0.064,-0.035,Financials in CAD,Fiscal year is March - February
Gross Margin,-45.230%,-99.595%,-37.234%,-,-,Financials in CAD,Fiscal year is March - February
Operating Margin,-290.176%,-746.347%,-965.518%,-,-,Financials in CAD,Fiscal year is March - February
Profit Margin,-2583.861%,-5186.695%,-6646.478%,-,-,Financials in CAD,Fiscal year is March - February
Free Cash Flow Margin,-286.183%,-361.624%,-768.048%,-,-,Financials in CAD,Fiscal year is March - February
EBITDA,"-1,468,374","-2,244,959","-8,217,068","-7,786,136",-,Financials in CAD,Fiscal year is March - February
D&A For EBITDA,"79,864","116,663","733,015","240,472",-,Financials in CAD,Fiscal year is March - February
EBIT,"-1,548,238","-2,361,622","-8,950,083","-8,026,608","-1,449,935",Financials in CAD,Fiscal year is March - February
Revenue as Reported,"533,551","316,424","926,972",-,-,Financials in CAD,Fiscal year is March - February
