Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
"Selling, General & Admin","1,369,000","1,710,000","2,051,000","2,461,000","2,903,000","3,018,000","1,991,000","1,644,000","602,000","837,000",Upgrade,Financials in GBP,Fiscal year is January - December
Research & Development,"2,538,000","3,068,000","3,463,000","3,830,000","11,106,000","15,951,000","36,906,000","11,021,000","4,474,000","1,774,000",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Expenses,"3,907,000","4,778,000","5,514,000","6,291,000","14,009,000","18,969,000","38,897,000","12,665,000","5,076,000","2,611,000",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Income,"-3,907,000","-4,778,000","-5,514,000","-6,291,000","-14,009,000","-18,969,000","-38,897,000","-12,665,000","-5,076,000","-2,611,000",Upgrade,Financials in GBP,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,"-2,000","-4,000","-6,000","-6,000",Upgrade,Financials in GBP,Fiscal year is January - December
Interest & Investment Income,"244,000","335,000","300,000","183,000","24,000","2,000","9,000","10,000","9,000","13,000",Upgrade,Financials in GBP,Fiscal year is January - December
Pretax Income,"-3,663,000","-4,443,000","-5,214,000","-6,108,000","-13,985,000","-18,967,000","-38,890,000","-12,659,000","-5,073,000","-2,604,000",Upgrade,Financials in GBP,Fiscal year is January - December
Income Tax Expense,"-400,000","-783,000","-466,000","-869,000","-1,579,000","-3,223,000","-5,971,000","-2,705,000","-1,111,000","-491,000",Upgrade,Financials in GBP,Fiscal year is January - December
Net Income,"-3,263,000","-3,660,000","-4,748,000","-5,239,000","-12,406,000","-15,744,000","-32,919,000","-9,954,000","-3,962,000","-2,113,000",Upgrade,Financials in GBP,Fiscal year is January - December
Net Income to Common,"-3,263,000","-3,660,000","-4,748,000","-5,239,000","-12,406,000","-15,744,000","-32,919,000","-9,954,000","-3,962,000","-2,113,000",Upgrade,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Basic),"201,375,000","201,405,000","201,345,000","201,375,000","201,345,000","200,970,000","199,914,000","166,921,433","127,318,567","109,432,558",Upgrade,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Diluted),"201,375,000","201,405,000","201,345,000","201,375,000","201,345,000","200,970,000","199,914,000","166,921,433","127,318,567","109,432,558",Upgrade,Financials in GBP,Fiscal year is January - December
Shares Change (YoY),0.015%,0.015%,-,0.202%,0.716%,20.398%,57.019%,52.534%,16.343%,10.396%,Upgrade,Financials in GBP,Fiscal year is January - December
EPS (Basic),-0.016,-0.018,-0.024,-0.026,-0.062,-0.078,-0.165,-0.060,-0.031,-0.019,Upgrade,Financials in GBP,Fiscal year is January - December
EPS (Diluted),-0.016,-0.018,-0.024,-0.026,-0.062,-0.078,-0.165,-0.060,-0.031,-0.019,Upgrade,Financials in GBP,Fiscal year is January - December
Free Cash Flow,"-3,689,000","-2,935,000","-5,298,000","1,533,000","-15,825,000","-12,351,000","-28,680,000","-19,189,000","-4,669,000","-1,075,000",Upgrade,Financials in GBP,Fiscal year is January - December
Free Cash Flow Per Share,-0.018,-0.015,-0.026,0.008,-0.079,-0.061,-0.143,-0.115,-0.037,-0.010,Upgrade,Financials in GBP,Fiscal year is January - December
EBITDA,"-3,893,000","-4,744,000","-5,464,000","-6,241,000","-13,957,000","-18,918,000","-38,847,000","-12,616,000","-5,026,000","-2,563,000",Upgrade,Financials in GBP,Fiscal year is January - December
D&A For EBITDA,"14,000","34,000","50,000","50,000","52,000","51,000","50,000","49,000","50,000","48,000",Upgrade,Financials in GBP,Fiscal year is January - December
EBIT,"-3,907,000","-4,778,000","-5,514,000","-6,291,000","-14,009,000","-18,969,000","-38,897,000","-12,665,000","-5,076,000","-2,611,000",Upgrade,Financials in GBP,Fiscal year is January - December
