Fiscal Year,TTM,FY 2021,FY 2020,FY 2019,FY 2018,FY 2017,Currency,Fiscal_Year_period
Period Ending,"Aug '22 Aug 31, 2022","Nov '21 Nov 30, 2021","Nov '20 Nov 30, 2020","Nov '19 Nov 30, 2019","Nov '18 Nov 30, 2018","Nov '17 Nov 30, 2017",,
Revenue,"3,888,571","3,999,001","6,957,336","240,460",-,-,Financials in CAD,Fiscal year is December - November
Revenue Growth (YoY),21.608%,-42.521%,2793.344%,-,-,-,Financials in CAD,Fiscal year is December - November
Cost of Revenue,"5,389,786","4,994,655","6,798,977","152,572",-,-,Financials in CAD,Fiscal year is December - November
Gross Profit,"-1,501,215","-995,654","158,359","87,888",-,-,Financials in CAD,Fiscal year is December - November
"Selling, General & Admin","6,646,181","8,261,031","9,994,859","12,567,329","1,341,719","566,172",Financials in CAD,Fiscal year is December - November
Research & Development,-,-,-,-,"605,057",-,Financials in CAD,Fiscal year is December - November
Operating Expenses,"9,307,619","9,465,250","10,496,606","12,689,900","1,953,069","2,186,172",Financials in CAD,Fiscal year is December - November
Operating Income,"-10,808,834","-10,460,904","-10,338,247","-12,602,012","-1,953,069","-2,186,172",Financials in CAD,Fiscal year is December - November
Interest Expense,"-1,064,790","-2,025,932","-1,762,302","-38,652",-,-,Financials in CAD,Fiscal year is December - November
Interest & Investment Income,-,-,-,-,"2,973",-,Financials in CAD,Fiscal year is December - November
Currency Exchange Gain (Loss),"-772,110","-304,553","-910,863","-67,231","-9,197",-,Financials in CAD,Fiscal year is December - November
Other Non Operating Income (Expenses),"-1,030,573","-108,840",-,-,"-127,101","-110,136",Financials in CAD,Fiscal year is December - November
EBT Excluding Unusual Items,"-13,676,307","-12,900,229","-13,011,412","-12,707,895","-2,086,394","-2,296,308",Financials in CAD,Fiscal year is December - November
Merger & Restructuring Charges,-,-,-,"-1,907,405",-,-,Financials in CAD,Fiscal year is December - November
Impairment of Goodwill,-,-,"-6,198,979",-,-,-,Financials in CAD,Fiscal year is December - November
Gain (Loss) on Sale of Investments,-,-,-,"-332,225",-,-,Financials in CAD,Fiscal year is December - November
Asset Writedown,"99,354","99,354","1,190,893","-10,833,224",-,-,Financials in CAD,Fiscal year is December - November
Legal Settlements,"3,095","100,000","-67,535",-,-,-,Financials in CAD,Fiscal year is December - November
Other Unusual Items,"93,374","-391,783","646,767",-,"-74,111",-,Financials in CAD,Fiscal year is December - November
Pretax Income,"-13,480,484","-13,092,658","-17,440,266","-25,780,749","-2,160,505","-2,296,308",Financials in CAD,Fiscal year is December - November
Income Tax Expense,-,-,"-310,409",-,-,-,Financials in CAD,Fiscal year is December - November
Net Income,"-13,480,484","-13,092,658","-17,129,857","-25,780,749","-2,160,505","-2,296,308",Financials in CAD,Fiscal year is December - November
Net Income to Common,"-13,480,484","-13,092,658","-17,129,857","-25,780,749","-2,160,505","-2,296,308",Financials in CAD,Fiscal year is December - November
Shares Outstanding (Basic),"75,160,565","56,357,016","43,763,994","27,885,825","10,510,207","197,000",Financials in CAD,Fiscal year is December - November
Shares Outstanding (Diluted),"75,160,565","56,357,016","43,763,994","27,885,825","10,510,207","197,000",Financials in CAD,Fiscal year is December - November
Shares Change (YoY),47.545%,28.775%,56.940%,165.321%,5235.130%,-,Financials in CAD,Fiscal year is December - November
EPS (Basic),-0.179,-0.232,-0.391,-0.925,-0.206,-11.656,Financials in CAD,Fiscal year is December - November
EPS (Diluted),-0.179,-0.232,-0.391,-0.925,-0.206,-11.656,Financials in CAD,Fiscal year is December - November
Free Cash Flow,-,"-8,147,747","-6,637,194","-24,891,893","-1,148,309","-786,960",Financials in CAD,Fiscal year is December - November
Free Cash Flow Per Share,-,-0.145,-0.152,-0.893,-0.109,-3.995,Financials in CAD,Fiscal year is December - November
Gross Margin,-38.606%,-24.898%,2.276%,36.550%,-,-,Financials in CAD,Fiscal year is December - November
Operating Margin,-277.964%,-261.588%,-148.595%,-5240.793%,-,-,Financials in CAD,Fiscal year is December - November
Profit Margin,-346.669%,-327.398%,-246.213%,-10721.429%,-,-,Financials in CAD,Fiscal year is December - November
Free Cash Flow Margin,-,-203.745%,-95.398%,-10351.781%,-,-,Financials in CAD,Fiscal year is December - November
EBITDA,"-9,701,735","-9,660,014","-10,047,008","-12,557,337","-1,946,776",-,Financials in CAD,Fiscal year is December - November
EBITDA Margin,-249.493%,-241.561%,-144.409%,-,-,-,Financials in CAD,Fiscal year is December - November
D&A For EBITDA,"1,107,099","800,890","291,239","44,675","6,293",-,Financials in CAD,Fiscal year is December - November
EBIT,"-10,808,834","-10,460,904","-10,338,247","-12,602,012","-1,953,069","-2,186,172",Financials in CAD,Fiscal year is December - November
EBIT Margin,-277.964%,-261.588%,-148.595%,-,-,-,Financials in CAD,Fiscal year is December - November
Advertising Expenses,-,"199,239","862,722","4,939,724","158,334",-,Financials in CAD,Fiscal year is December - November
