Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+19 Quarters,Currency,Fiscal_Year_period
Period Ending,"Apr '23 Apr 30, 2023","Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Oct '20 Oct 31, 2020","Jul '20 Jul 31, 2020","Apr '20 Apr 30, 2020","Jan '20 Jan 31, 2020","Oct '19 Oct 31, 2019","Jul '19 Jul 31, 2019","Apr '19 Apr 30, 2019","Jan '19 Jan 31, 2019","Oct '18 Oct 31, 2018","Jul '18 Jul 31, 2018",+19 Quarters,,
Revenue,"381,623","608,973","565,449","671,869","489,576","447,934","825,201","694,008","1,109,503","1,021,989","460,567","751,567","696,134","1,246,625","1,044,510","382,096","354,326","474,041","279,140","163,883",Upgrade,Financials in CAD,Fiscal year is August - July
Revenue Growth (YoY),-22.050%,35.952%,-31.477%,-3.190%,-55.874%,-56.170%,79.171%,-7.659%,59.381%,-18.020%,-55.906%,96.696%,96.467%,162.978%,274.189%,133.152%,97.099%,55.195%,1.051%,679.023%,Upgrade,Financials in CAD,Fiscal year is August - July
Cost of Revenue,"752,023","982,604","384,498","1,270,461","690,325","1,390,001","113,440","1,226,793","1,396,773","3,289,194","547,568","605,624","218,159","286,463","-615,374","2,985,199","-868,691","82,773","-2,206,871","378,180",Upgrade,Financials in CAD,Fiscal year is August - July
Gross Profit,"-370,400","-373,631","180,951","-598,592","-200,749","-942,067","711,761","-532,785","-287,270","-2,267,205","-87,001","145,943","477,975","960,162","1,659,884","-2,603,103","1,223,017","391,268","2,486,011","-214,297",Upgrade,Financials in CAD,Fiscal year is August - July
"Selling, General & Admin","364,478","391,635","285,575","515,815","314,469","356,034","356,330","471,683","347,147","331,389","322,140","465,520","426,834","386,628","233,250","593,269","366,417","501,019","336,668","470,768",Upgrade,Financials in CAD,Fiscal year is August - July
Other Operating Expenses,-,-,-,519,"5,785","7,605","7,606","13,660","7,828","7,827","7,828","13,722","1,039","10,490","10,500","13,221","9,802","9,352","8,769","17,039",Upgrade,Financials in CAD,Fiscal year is August - July
Operating Expenses,"556,399","604,891","497,799","803,325","550,201","598,622","677,992","872,663","1,030,155","651,182","606,470","760,106","774,277","870,825","968,880","1,562,566","1,672,299","1,737,196","1,374,735","880,025",Upgrade,Financials in CAD,Fiscal year is August - July
Operating Income,"-926,799","-978,522","-316,848","-1,401,917","-750,950","-1,540,689","33,769","-1,405,448","-1,317,425","-2,918,387","-693,471","-614,163","-296,302","89,337","691,004","-4,165,669","-449,282","-1,345,928","1,111,276","-1,094,322",Upgrade,Financials in CAD,Fiscal year is August - July
Interest & Investment Income,"5,961",68,37,12,"5,946",7,5,5,22,70,32,7,10,14,27,14,246,442,8,12,Upgrade,Financials in CAD,Fiscal year is August - July
