Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,"128,590,000","165,956,000","174,188,000","202,705,000","158,409,000","146,935,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-25.547%,-4.726%,-14.068%,27.963%,7.809%,4095.343%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"110,239,000","147,182,000","137,697,000","157,064,000","116,439,000","92,189,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"18,351,000","18,774,000","36,491,000","45,641,000","41,970,000","54,746,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","32,426,000","39,975,000","45,208,000","37,937,000","35,730,000","46,412,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,"323,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"48,367,000","54,928,000","66,887,000","59,598,000","58,769,000","145,003,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-30,016,000","-36,154,000","-30,396,000","-13,957,000","-16,799,000","-90,257,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-24,590,000","-20,999,000","-14,241,000","-10,367,000","-10,336,000","-13,463,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,000",-,"215,000","593,000","3,835,000","3,280,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"2,000","-12,000",-,"14,000",-,"76,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"845,000","128,000","2,403,000","6,075,000","1,051,000","772,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-53,756,000","-57,037,000","-42,019,000","-17,642,000","-22,249,000","-99,592,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,"-2,440,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-3,030,000","-3,030,000","-49,794,000","-29,528,000","-19,424,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-1,000","-6,401,000","-296,000","-891,000","-337,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"8,399,000","17,283,000","-697,000","163,000","-70,000","-610,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-28,576,000","-17,971,000","-11,652,000","-870,000","-14,790,000","-22,560,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-261,000","-280,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-76,964,000","-67,156,000","-104,458,000","-49,029,000","-57,150,000","-125,202,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"3,234,000","-3,339,000","3,006,000","-13,903,000","-5,043,000","-3,275,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-80,198,000","-63,817,000","-107,464,000","-35,126,000","-52,107,000","-121,927,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,"-53,650,000","-11,447,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-80,198,000","-63,817,000","-107,464,000","-35,126,000","-105,757,000","-133,374,000",Upgrade,Financials in USD,Fiscal year is January - December
