Fiscal Quarter,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Currency,Fiscal_Year_period
Period Ending,"Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012",,
"Selling, General & Admin","1,471,191","2,382,147","2,972,135","2,555,942","2,523,104","2,883,682","3,135,849","2,790,042","2,623,538","3,004,912","2,508,285","3,920,175","1,573,728","995,646","977,918","985,616","928,012","1,081,010","1,081,011",Financials in USD,Fiscal year is January - December
Research & Development,"-38,256","1,498,561","3,301,539","7,149,254","6,096,424","7,709,798","6,446,193","6,331,707","5,968,181","4,864,189","3,122,749","3,084,486","2,148,424","2,047,053","2,243,464","2,748,520","2,769,809","3,288,974","3,288,975",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,432,935","3,880,708","6,273,674","9,705,196","8,619,528","10,593,480","9,582,042","9,121,749","8,591,719","7,869,101","5,631,034","7,004,661","3,722,152","3,042,699","3,221,382","3,734,136","3,697,821","4,369,985","4,369,985",Financials in USD,Fiscal year is January - December
Operating Income,"-1,432,935","-3,880,708","-6,273,674","-9,705,196","-8,619,528","-10,593,480","-9,582,042","-9,121,749","-8,591,719","-7,869,101","-5,631,034","-7,004,661","-3,722,152","-3,042,699","-3,221,382","-3,734,136","-3,697,821","-4,369,985","-4,369,985",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,758,926","-1,717,707","-1,678,621","-1,641,554","-1,606,402","-1,573,070","-1,563,259","-1,624,668","-1,595,275","-139,446",-,"-1,392,044","-262,137","-905,946","-207,295","-72,364",-80,-454,-455,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,926","8,476","14,669","16,851","21,614","21,946","39,194","40,244","41,375","19,102","11,946",564,53,7,5,5,54,"1,317","1,318",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"23,481","-19,791","92,952","296,612","431,358","1,352,557","289,666","-564,183","1,799,501","-447,141","285,021","2,142,118","-1,391,316","56,489",-,"4,296","38,840",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,160,454","-5,609,730","-7,844,674","-11,033,287","-9,772,958","-10,792,047","-10,816,441","-11,270,356","-8,346,118","-8,436,586","-5,334,067","-6,254,023","-5,375,552","-3,892,149","-3,428,672","-3,802,199","-3,659,007","-4,369,122","-4,369,122",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,458,065","-28,871","-2,013,024",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-16,902,466",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,148,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"-153,572",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,"-5,169,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,164,000","-1,108,000","-1,054,000","13,663,686","-1,123,000","-1,081,000","-1,866,541","-670,000","-984,000","-918,000",-,"-400,000","-600,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,951,519","-6,746,601","-11,065,270","-14,272,067","-10,895,958","-11,873,047","-12,682,982","-11,940,356","-9,330,118","-9,354,438","-5,334,067","-6,654,023","-5,975,552","-3,892,149","-3,428,672","-3,802,199","-3,659,007","-4,369,122","-4,369,122",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-2,317,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-8,634,519","-6,746,601","-11,065,270","-14,272,067","-10,895,958","-11,873,047","-12,682,982","-11,940,356","-9,330,118","-9,354,438","-5,334,067","-6,654,023","-5,975,552","-3,892,149","-3,428,672","-3,802,199","-3,659,007","-4,369,122","-4,369,122",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,"684,240","853,194","860,988","851,526","868,071","868,071","858,635","858,635",Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,634,519","-6,746,601","-11,065,270","-14,272,067","-10,895,958","-11,873,047","-12,682,982","-11,940,356","-9,330,118","-9,354,438","-5,334,067","-7,338,263","-6,828,746","-4,753,137","-4,280,198","-4,670,270","-4,527,078","-5,227,757","-5,227,757",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"24,769,083","24,769,083","24,769,083","24,780,916","23,830,978","23,332,096","22,814,142","22,319,258","22,307,138","22,286,581","22,249,474","5,347,344","1,575,040","1,155,163","1,099,785","1,045,115","989,727","922,575","922,575",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"24,769,083","24,769,083","24,769,083","24,780,916","23,864,931","23,370,335","22,858,014","22,319,258","22,364,231","22,350,657","22,321,473","5,347,344","1,575,040","1,155,163","1,099,785","1,045,115","989,727","922,575","922,575",Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.789%,5.985%,8.361%,11.029%,6.710%,4.562%,2.404%,317.390%,1319.915%,1834.849%,1929.622%,411.651%,59.139%,25.211%,19.208%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.349,-0.272,-0.447,-0.576,-0.457,-0.509,-0.556,-0.535,-0.418,-0.420,-0.240,-1.372,-4.336,-4.115,-3.892,-4.469,-4.574,-5.666,-5.666,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.350,-0.272,-0.450,-0.576,-0.458,-0.513,-0.556,-0.535,-0.424,-0.421,-0.252,-1.374,-4.336,-4.115,-3.892,-4.469,-4.574,-5.666,-5.666,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,794,351","-5,862,418","-6,031,716","-9,193,457","-7,704,009","-10,799,059","-7,270,202","-11,421,335","-7,870,424","-7,196,863","-6,392,407","-2,710,835","-3,566,012","-2,811,850","-3,747,573","-3,414,731","-3,755,025","-4,393,366","-4,393,367",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.113,-0.237,-0.244,-0.371,-0.323,-0.462,-0.318,-0.512,-0.352,-0.322,-0.286,-0.507,-2.264,-2.434,-3.408,-3.267,-3.794,-4.762,-4.762,Financials in USD,Fiscal year is January - December
EBITDA,"-1,423,641","-3,859,333","-6,200,313","-9,656,894","-8,571,291","-10,546,175","-9,537,893","-9,079,616","-8,557,243","-7,836,624","-5,614,164","-6,995,634","-3,695,393","-3,009,967","-3,190,309","-3,702,347","-3,662,514","-4,326,522","-4,326,521",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"9,294","21,375","73,361","48,302","48,237","47,305","44,149","42,133","34,476","32,477","16,870","9,027","26,759","32,732","31,073","31,789","35,307","43,463","43,464",Financials in USD,Fiscal year is January - December
