Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"8,421,550,000","7,815,938,000","6,865,735,000","6,382,009,000","5,587,636,000","5,318,091,000",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),11.468%,13.840%,7.580%,14.217%,5.068%,16.018%,Upgrade,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"1,184,071,000","1,174,298,000","1,194,161,000","1,106,286,000","1,062,911,000","925,347,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gross Profit,"7,237,479,000","6,641,640,000","5,671,574,000","5,275,723,000","4,524,725,000","4,392,744,000",Upgrade,Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","3,693,051,000","3,487,050,000","2,973,959,000","2,695,505,000","2,472,493,000","2,626,742,000",Upgrade,Financials in CNY,Fiscal year is January - December
Research & Development,"964,431,000","794,794,000","693,813,000","753,872,000","590,343,000","526,565,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Operating Expenses,"466,872,000","442,431,000","86,741,000","140,017,000","120,626,000","110,657,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Expenses,"5,124,354,000","4,724,275,000","3,754,513,000","3,589,394,000","3,183,462,000","3,263,964,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Income,"2,113,125,000","1,917,365,000","1,917,061,000","1,686,329,000","1,341,263,000","1,128,780,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest Expense,"-227,769,000","-212,296,000","-102,748,000","-66,525,000","-81,066,000","-109,476,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"102,401,000","153,124,000","149,487,000","78,459,000","84,502,000","83,858,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Equity Investments,"-64,460,000","-29,795,000","-34,247,000","-37,101,000","-30,393,000","-11,031,000",Upgrade,Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"-2,574,000",-,"274,644,000","135,009,000","-250,026,000","47,622,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"120,759,000","103,670,000","83,034,000","75,799,000","86,517,000","86,627,000",Upgrade,Financials in CNY,Fiscal year is January - December
