Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"546,000","3,125,000","-418,000","567,000","3,069,000","31,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-82.975%,-,-,-81.525%,9800.000%,-99.459%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,586,000","1,670,000","3,018,000","954,000","182,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-1,040,000","1,455,000","-3,436,000","-387,000","2,887,000","31,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","17,934,000","20,410,000","34,728,000","38,112,000","19,309,000","13,212,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"13,131,000","16,333,000","18,211,000","13,426,000","13,124,000","13,291,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"31,065,000","36,743,000","52,939,000","51,538,000","32,433,000","26,503,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-32,105,000","-35,288,000","-56,375,000","-51,925,000","-29,546,000","-26,472,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,901,000","-3,644,000","-1,256,000","-1,000","-29,000","-931,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,190,000","1,398,000","451,000","162,000","240,000","418,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-11,000","-41,000","11,000","-2,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-130,000","-2,396,000","3,499,000","178,000","266,000","1,738,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-33,957,000","-39,971,000","-53,670,000","-51,588,000","-29,069,000","-25,247,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,"484,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,"-108,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-33,957,000","-39,971,000","-53,670,000","-51,588,000","-29,069,000","-24,871,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"79,000","318,000",-,-,"300,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-34,036,000","-40,289,000","-53,670,000","-51,588,000","-29,369,000","-24,871,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-34,036,000","-40,289,000","-53,670,000","-51,588,000","-29,369,000","-24,871,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"796,728","509,400","282,894","261,163","204,198","146,685",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"796,728","509,400","282,894","261,163","204,198","146,685",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),83.568%,80.067%,8.321%,27.897%,39.209%,24.633%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-42.720,-79.091,-189.718,-197.532,-143.826,-169.554,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-42.720,-79.091,-189.718,-197.532,-143.826,-169.554,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-27,112,000","-33,076,000","-51,505,000","-50,213,000","-21,421,000","-23,667,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-34.029,-64.931,-182.065,-192.267,-104.903,-161.346,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-190.476%,46.560%,-,-68.254%,94.070%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-5880.037%,-1129.216%,-,-9157.848%,-962.724%,-85393.548%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-6233.700%,-1289.248%,-,-9098.413%,-956.957%,-80229.032%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-4965.568%,-1058.432%,-,-8855.908%,-697.980%,-76345.161%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-31,748,000","-34,954,000","-55,993,000","-51,497,000","-29,069,000","-25,910,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"357,000","334,000","382,000","428,000","477,000","562,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-32,105,000","-35,288,000","-56,375,000","-51,925,000","-29,546,000","-26,472,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"546,000","3,125,000","-418,000","567,000","3,069,000","31,000",Upgrade,Financials in USD,Fiscal year is January - December
