Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"283,000","325,000","20,000","-82,000","180,000","3,021,000","6,000",-,"-438,000",-,"20,000","-1,000","181,000","178,000","209,000","69,000","3,000,000",-,-,"31,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),57.222%,-89.242%,233.333%,-,-,-,-70.000%,-,-,-,-90.431%,-,-93.967%,-,-,122.581%,-,-,-,-86.638%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"114,000","103,000","88,000","1,281,000","175,000","88,000","127,000","227,000","2,368,000","216,000","207,000","334,000","199,000","258,000","163,000","182,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"169,000","222,000","-68,000","-1,363,000","5,000","2,933,000","-121,000","-227,000","-2,806,000","-216,000","-187,000","-335,000","-18,000","-80,000","46,000","-113,000","3,000,000",-,-,"31,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,880,000","3,598,000","5,845,000","4,611,000","4,572,000","5,138,000","6,089,000","5,725,000","7,683,000","10,306,000","11,014,000","9,761,000","10,438,000","10,545,000","7,349,000","8,242,000","4,063,000","3,372,000","3,661,000","3,640,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,866,000","3,127,000","3,965,000","4,173,000","4,260,000","3,991,000","3,909,000","3,395,000","5,266,000","4,291,000","5,259,000","3,937,000","3,404,000","3,449,000","2,636,000","3,674,000","4,301,000","2,958,000","2,191,000","2,861,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"5,746,000","6,725,000","9,810,000","8,784,000","8,832,000","9,129,000","9,998,000","9,120,000","12,949,000","14,597,000","16,273,000","13,698,000","13,842,000","13,994,000","9,985,000","11,916,000","8,364,000","6,330,000","5,852,000","6,501,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-5,577,000","-6,503,000","-9,878,000","-10,147,000","-8,827,000","-6,196,000","-10,119,000","-9,347,000","-15,755,000","-14,813,000","-16,460,000","-14,033,000","-13,860,000","-14,074,000","-9,939,000","-12,029,000","-5,364,000","-6,330,000","-5,852,000","-6,470,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,000","-521,000","-513,000","-1,866,000","-210,000","-1,122,000","-446,000","-530,000","-401,000","-325,000",-,"-1,000",-,-,-,-,-,-,"-29,000","-117,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"190,000","238,000","353,000","409,000","377,000","323,000","289,000","205,000","127,000","95,000","24,000","32,000","39,000","43,000","48,000","94,000","78,000","16,000","52,000","58,000",Upgrade,Financials in USD,Fiscal year is January - December
