Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2013,Currency,Fiscal_Year_period
Period Ending,"Dec '22 Dec 31, 2022","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017 - 2013,,
Revenue,"82,049","82,049","200,749","277,087","3,072,293","6,700,888",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-59.129%,-59.129%,-27.550%,-90.981%,-54.151%,21.381%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"23,767","23,767","52,030","64,117","1,335,237","2,110,532",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"58,282","58,282","148,719","212,970","1,737,056","4,590,356",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,778,766","1,778,766","2,284,577","2,613,211","4,454,712","5,682,296",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,263,"5,439",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,778,766","1,778,766","2,284,577","2,613,211","4,454,975","5,688,259",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,720,484","-1,720,484","-2,135,858","-2,400,241","-2,717,919","-1,097,903",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-689,977","-689,977","-1,000,148","-488,369","-981,001","-1,444,807",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,"-23,539","117,318","247,813",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"101,474",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,410,461","-2,410,461","-3,136,006","-2,912,149","-3,480,128","-2,294,897",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"21,474","128,845","128,845",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,"-698,937",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-447,482","-447,482","-151,410",182,"214,883","5,625",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,857,943","-2,857,943","-3,287,416","-2,890,493","-3,835,337","-2,160,427",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,857,943","-2,857,943","-3,287,416","-2,890,493","-3,835,337","-2,160,427",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,857,943","-2,857,943","-3,287,416","-2,890,493","-3,835,337","-2,160,427",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"591,558,288","591,558,288","460,794,491","429,291,011","398,037,479","365,636,453",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"591,558,288","591,558,288","460,794,491","429,291,011","398,037,479","365,636,453",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),28.378%,28.378%,7.338%,7.852%,8.862%,18.325%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.005,-0.005,-0.007,-0.007,-0.010,-0.006,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.005,-0.005,-0.010,-0.007,-0.010,-0.006,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-304,852","-304,852","-1,057,939","-478,886","-1,210,994","602,467",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.001,-0.001,-0.002,-0.001,-0.003,0.002,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,71.033%,71.033%,74.082%,76.860%,56.539%,68.504%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-2096.898%,-2096.898%,-1063.945%,-866.241%,-88.465%,-16.384%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-3483.215%,-3483.215%,-1637.575%,-1043.172%,-124.836%,-32.241%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-371.549%,-371.549%,-526.996%,-172.829%,-39.417%,8.991%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,"-2,157,626","-2,475,304","-890,771",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-80.569%,-13.293%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,"242,615","242,615","207,132",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,720,484","-1,720,484","-2,135,858","-2,400,241","-2,717,919","-1,097,903",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-88.465%,-16.384%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"82,049","82,049","200,749","277,087","3,072,293","6,700,888",Upgrade,Financials in USD,Fiscal year is January - December
