Fiscal Quarter,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018",+20 Quarters,,
Revenue,"19,974","14,247","24,518","23,310","23,593","57,334","35,442","84,380","115,294","64,647","39,654","57,492","308,908","156,591","1,297,984","1,308,810","1,663,646","1,503,884","1,820,429","1,712,929",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-15.339%,-75.151%,-30.822%,-72.375%,-79.537%,-11.312%,-10.622%,46.768%,-62.677%,-58.716%,-96.945%,-95.607%,-81.432%,-89.588%,-28.699%,-23.592%,12.933%,-0.175%,31.353%,48.307%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"4,921","5,264","6,247","7,335","8,632","14,200","13,677","15,521","10,567","18,576","16,877","18,097","169,778","137,366","505,994","522,099","495,101","544,398","567,195","503,838",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"15,053","8,983","18,271","15,975","14,961","43,134","21,765","68,859","104,727","46,071","22,777","39,395","139,130","19,225","791,990","786,711","1,168,545","959,486","1,253,234","1,209,091",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","389,276","405,564","453,312","530,614","377,615","547,977","802,970","556,015","544,966","1,039,352","491,358","537,535","826,060","1,616,970","825,602","1,185,392","1,214,175","1,177,638","2,073,957","1,216,526",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,531,420,912,599,"2,591","1,337",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"389,276","405,564","453,312","530,614","377,615","547,977","802,970","556,015","544,966","1,039,352","491,358","537,535","826,060","1,616,970","826,133","1,185,812","1,215,087","1,178,237","2,076,548","1,218,387",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-374,223","-396,581","-435,041","-514,639","-362,654","-504,843","-781,205","-487,156","-440,239","-993,281","-468,581","-498,140","-686,930","-1,597,745","-34,143","-399,101","-46,542","-218,751","-823,314","-9,296",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-191,698","-168,785","-175,527","-153,967","-515,944","-162,485","-166,994","-154,725","-149,350","-152,572","-104,993","-81,454","-130,324","-91,140","-365,156","-394,381","-376,569","-384,813","-441,068","-242,357",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,"-9,718","9,718","-23,539","23,540","-33,478","26,312","100,944","-15,509","160,216","7,764","95,342",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,"90,405","11,000",-,69,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
