Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Revenue,"981,824,000","1,013,394,000","1,142,184,000","1,270,884,000","1,108,747,000","1,077,632,000","1,026,451,000","499,401,000","197,557,000","180,716,000",Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),-14.040%,-20.261%,3.016%,17.933%,8.018%,115.785%,419.572%,176.346%,38.791%,36.234%,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"642,679,000","680,930,000","736,216,000","800,177,000","763,775,000","742,926,000","710,176,000","294,653,000","97,439,000","96,734,000",Financials in CNY,Fiscal year is January - December
Gross Profit,"339,145,000","332,464,000","405,968,000","470,707,000","344,972,000","334,706,000","316,275,000","204,748,000","100,118,000","83,982,000",Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","174,767,000","205,820,000","203,836,000","206,047,000","198,406,000","185,175,000","135,110,000","84,259,000","38,999,000","30,590,000",Financials in CNY,Fiscal year is January - December
Research & Development,"42,826,000","51,267,000","76,700,000","94,918,000","40,917,000","54,906,000","37,476,000","43,717,000","22,324,000","29,338,000",Financials in CNY,Fiscal year is January - December
Other Operating Expenses,"4,691,000","-556,000","556,000","-1,496,000","4,865,000","111,000","-111,000","2,595,000","434,000","1,812,000",Financials in CNY,Fiscal year is January - December
Operating Expenses,"222,284,000","264,657,000","281,092,000","305,511,000","244,188,000","241,605,000","172,475,000","130,571,000","61,757,000","61,740,000",Financials in CNY,Fiscal year is January - December
Operating Income,"116,861,000","67,807,000","124,876,000","165,196,000","100,784,000","93,101,000","143,800,000","74,177,000","38,361,000","22,242,000",Financials in CNY,Fiscal year is January - December
Interest Expense,"-31,351,000","-88,598,000","-87,984,000","-95,575,000","-89,099,000","-87,011,000","-96,097,000","-23,540,000","-38,594,000","-1,389,000",Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"9,005,000","14,031,000","13,344,000","10,693,000","10,913,000","10,404,000","16,171,000","8,859,000","7,851,000","8,091,000",Financials in CNY,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,"-166,000","-321,000","-965,000",Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"10,060,000","-10,967,000",-,"-58,258,000","-88,133,000","23,363,000","8,051,000","-8,710,000","8,710,000","17,184,000",Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"16,510,000","193,429,000","-27,702,000","-14,694,000","10,363,000","188,612,000","-563,000","68,510,000","-610,650,000","4,025,000",Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"121,085,000","175,702,000","22,534,000","7,362,000","-55,172,000","228,469,000","71,362,000","119,130,000","-594,643,000","49,188,000",Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"64,431,000","-25,900,000","14,218,000","-353,942,000","-10,236,000","-4,090,000","59,252,000","46,586,000","66,658,000","172,578,000",Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"303,000",-,"-1,130,000","-771,000","162,000","-5,357,000","467,000","1,145,000","3,000",Financials in CNY,Fiscal year is January - December
Asset Writedown,-,"-25,185,000",-,"-6,572,000",-,"-1,444,000","-653,000",-,-,-,Financials in CNY,Fiscal year is January - December
