Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Revenue,"388,000","570,000","275,000","900,000","625,000","523,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-51.195%,107.273%,-69.444%,44.000%,19.503%,-27.762%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"16,574,000","16,574,000","13,979,000","17,160,000","21,551,000","25,869,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-16,186,000","-16,004,000","-13,704,000","-16,260,000","-20,926,000","-25,346,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,955,000","6,881,000","6,202,000","6,230,000","7,405,000","6,669,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"-2,805,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,150,000","6,881,000","6,202,000","6,230,000","7,405,000","6,669,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-20,336,000","-22,885,000","-19,906,000","-22,490,000","-28,331,000","-32,015,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,"-1,000","-2,000","-809,000","-489,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,759,000","2,635,000","93,000","43,000","-31,000","152,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-18,577,000","-20,251,000","-19,815,000","-23,256,000","-28,851,000","-31,863,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"876,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-18,577,000","-20,251,000","-19,815,000","-22,380,000","-28,851,000","-31,863,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-18,577,000","-20,251,000","-19,815,000","-22,380,000","-28,851,000","-31,863,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-18,577,000","-20,251,000","-19,815,000","-22,380,000","-28,851,000","-31,863,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-18,577,000","-20,251,000","-19,815,000","-22,380,000","-28,851,000","-31,863,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,544,869","463,653","202,082","137,377","89,461","61,337",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,544,869","463,653","202,082","137,377","89,461","61,337",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),480.320%,129.438%,47.100%,53.561%,45.852%,146.591%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-12.025,-43.677,-98.054,-162.909,-322.498,-519.474,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-12.025,-43.677,-98.054,-163.800,-322.498,-519.474,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-15,868,000","-17,301,000","-19,173,000","-25,330,000","-28,937,000","-30,793,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-10.271,-37.315,-94.877,-184.383,-323.459,-502.030,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-5241.237%,-4014.912%,-7238.545%,-2498.889%,-4532.960%,-6121.415%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-4787.887%,-3552.807%,-7205.455%,-2486.667%,-4616.160%,-6092.352%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-4089.691%,-3035.263%,-6972.000%,-2814.444%,-4629.920%,-5887.763%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-20,232,000","-22,766,000","-19,699,000","-22,321,000","-28,024,000","-31,766,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"104,000","119,000","207,000","169,000","307,000","249,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-20,336,000","-22,885,000","-19,906,000","-22,490,000","-28,331,000","-32,015,000",Upgrade,Financials in USD,Fiscal year is January - December
