Fiscal Year,TTM,FY 2017,FY 2016,FY 2015,FY 2011,FY 2010,2009 - 2007,Currency,Fiscal_Year_period
Period Ending,"Dec '17 Dec 31, 2017","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015","Dec '11 Dec 31, 2011","Dec '10 Dec 31, 2010",2009 - 2007,,
Revenue,"44,691","44,691","251,981","191,777","19,007,639","26,828,833",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-99.749%,-82.264%,31.393%,-98.991%,-29.152%,6.200%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"7,062","7,062","10,737","15,986","13,346,303","16,681,992",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"37,629","37,629","241,244","175,791","5,661,336","10,146,841",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","488,014","488,014","112,832","42,959","1,622,772","2,380,917",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"631,028","631,028","113,796","82,044","1,622,772","2,380,917",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-593,399","-593,399","127,448","93,747","4,038,564","7,765,924",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-391,739","-391,739","-249,806","-119,276","-502,359","-1,266,716",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,"12,464","2,471",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-533,246","-533,246","-15,473","52,650",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,518,384","-1,518,384","-137,831","27,121","3,548,669","6,501,679",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"-1,543","-1,425",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"16,025",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,518,384","-1,518,384","-121,806","27,121","3,547,126","6,500,254",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"874,341","1,993,328",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,518,384","-1,518,384","-121,806","27,121","2,672,785","4,506,926",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,518,384","-1,518,384","-121,806","27,121","2,672,785","4,506,926",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-98.985%,-40.696%,10.069%,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"376,239,378","376,239,378","160,802,386","103,679,195","137,322","137,322",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"376,239,378","376,239,378","160,802,386","103,679,195","137,322","137,322",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),273883.322%,133.976%,55.096%,75400.790%,-,-0.760%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.004,-0.004,-0.001,0.000,19.464,32.820,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.004,-0.004,-0.001,0.000,19.464,32.820,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-99.999%,-40.696%,11.255%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-167,361","-167,361","-12,064","-11,189","-3,377,882","650,558",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-24.598,4.737,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,84.198%,84.198%,95.739%,91.664%,29.785%,37.821%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1327.782%,-1327.782%,50.578%,48.883%,21.247%,28.946%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-3397.516%,-3397.516%,-48.339%,14.142%,14.062%,16.799%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-374.485%,-374.485%,-4.788%,-5.834%,-17.771%,2.425%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-592,435","-592,435","128,412","94,711","6,846,071","9,325,882",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,50.961%,49.386%,36.017%,34.761%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,964,964,964,964,"2,807,507","1,559,958",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-593,399","-593,399","127,448","93,747","4,038,564","7,765,924",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,50.578%,48.883%,21.247%,28.946%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,24.649%,30.665%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"44,691","44,691","251,981","191,777",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,"11,650","11,650",-,"5,751",-,-,Upgrade,Financials in USD,Fiscal year is January - December
