Fiscal Quarter,Q3 2017,Q2 2017,Q1 2017,Q3 2016,Q2 2016,Q1 2016,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Currency,Fiscal_Year_period
Period Ending,"Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010",,
Revenue,-,-,-,-,-,-,-,-70,"4,572","15,505",Financials in USD,Fiscal year is October - September
Cost of Revenue,-,-,-,-,-,-,"1,086",750,"7,284","13,798",Financials in USD,Fiscal year is October - September
Gross Profit,-,-,-,-,-,-,"-1,086",-820,"-2,712","1,707",Financials in USD,Fiscal year is October - September
"Selling, General & Admin","133,037","145,929","12,547,330","36,748","36,334","36,712",-,-,"-2,035","2,035",Financials in USD,Fiscal year is October - September
Operating Expenses,"133,037","145,929","12,547,330","36,748","36,334","36,712",-,"4,345","2,310","2,035",Financials in USD,Fiscal year is October - September
Operating Income,"-133,037","-145,929","-12,547,330","-36,748","-36,334","-36,712","-1,086","-5,165","-5,022",-328,Financials in USD,Fiscal year is October - September
Interest Expense,"-59,763","-141,102","-150,528","-113,864","-110,631","-59,264",-,"-3,005","-1,919","-2,458",Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-24,470","-460,362","-243,307","202,880","21,527","12,424",-,70,-70,-,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-217,270","-747,393","-12,941,165","52,268","-125,438","-83,552","-1,086","-8,100","-7,011","-2,786",Financials in USD,Fiscal year is October - September
Asset Writedown,-,-,"-2,400",-,-,-,-,-,-,-,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,-,-,"46,885",-,-,-,-,-,-,Financials in USD,Fiscal year is October - September
Pretax Income,"-217,270","-747,393","-12,943,565","99,153","-125,438","-83,552","-1,086","-8,100","-7,011","-2,786",Financials in USD,Fiscal year is October - September
Net Income,"-217,270","-747,393","-12,943,565","99,153","-125,438","-83,552","-1,086","-8,100","-7,011","-2,786",Financials in USD,Fiscal year is October - September
Net Income to Common,"-217,270","-747,393","-12,943,565","99,153","-125,438","-83,552","-1,086","-8,100","-7,011","-2,786",Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"30,116,340","30,116,340","30,116,340","30,001,340","25,750,000","25,750,000","2,254,727","2,254,727","2,254,727","2,254,727",Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"30,116,340","30,116,340","30,116,340","30,001,340","25,750,000","25,750,000","2,254,727","2,254,727","2,254,727","2,254,727",Financials in USD,Fiscal year is October - September
Shares Change (YoY),16.957%,16.957%,1235.698%,1230.597%,1042.045%,1042.045%,-,-,-,-,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.007,-0.025,-0.430,0.003,-0.005,-0.003,-0.000,-0.004,-0.003,-0.001,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.007,-0.025,-0.430,0.003,-0.005,-0.003,-0.000,-0.004,-0.003,-0.001,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-340,289","-219,741","-219,741","-200,216","-11,873","-11,873","-2,911",-,-,-,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.011,-0.007,-0.007,-0.007,-0.000,-0.000,-0.001,-,-,-,Financials in USD,Fiscal year is October - September
Gross Margin,-,-,-,-,-,-,-,-,-59.318%,11.009%,Financials in USD,Fiscal year is October - September
Operating Margin,-,-,-,-,-,-,-,-,-109.843%,-2.115%,Financials in USD,Fiscal year is October - September
Profit Margin,-,-,-,-,-,-,-,-,-153.346%,-17.968%,Financials in USD,Fiscal year is October - September
EBITDA,"-131,808","-144,795","-12,546,196","-36,692","-36,278","-36,656","-1,086","-2,268",-677,-,Financials in USD,Fiscal year is October - September
EBITDA Margin,-,-,-,-,-,-,-,-,-14.807%,-,Financials in USD,Fiscal year is October - September
D&A For EBITDA,"1,229","1,134","1,134",56,56,56,-,"2,897","4,345",-,Financials in USD,Fiscal year is October - September
EBIT,"-133,037","-145,929","-12,547,330","-36,748","-36,334","-36,712","-1,086","-5,165","-5,022",-328,Financials in USD,Fiscal year is October - September
EBIT Margin,-,-,-,-,-,-,-,-,-109.843%,-2.115%,Financials in USD,Fiscal year is October - September
Advertising Expenses,"10,748","4,773",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is October - September
