Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jul '24 Jul 31, 2024","Apr '24 Apr 30, 2024","Jan '24 Jan 31, 2024","Oct '23 Oct 31, 2023","Jul '23 Jul 31, 2023","Apr '23 Apr 30, 2023","Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Oct '20 Oct 31, 2020","Jul '20 Jul 31, 2020","Apr '20 Apr 30, 2020","Jan '20 Jan 31, 2020","Oct '19 Oct 31, 2019",+20 Quarters,,
Revenue,"1,091,000","1,131,000","1,154,000","1,421,884","1,221,000","845,000","1,070,000",-,"1,713,214","1,735,173","1,599,147","1,666,076","1,367,895","1,195,076","1,368,440","983,265","767,333","608,230","696,948","585,644",Upgrade,Financials in USD,Fiscal year is November - October
Revenue Growth (YoY),-10.647%,33.846%,7.850%,-,-28.730%,-51.302%,-33.089%,-,25.245%,45.194%,16.859%,69.443%,78.266%,96.484%,96.348%,67.895%,32.595%,68.034%,296.099%,136.017%,Upgrade,Financials in USD,Fiscal year is November - October
Cost of Revenue,"176,000","284,000","159,000","132,909","162,000","108,000","104,000",-,"208,749","126,418","149,120","107,345","136,044","136,321","168,171","100,701","100,907","97,278","99,720","106,197",Upgrade,Financials in USD,Fiscal year is November - October
Gross Profit,"915,000","847,000","995,000","1,288,975","1,059,000","737,000","966,000",-,"1,504,465","1,608,755","1,450,027","1,558,731","1,231,851","1,058,755","1,200,269","882,564","666,426","510,952","597,228","479,447",Upgrade,Financials in USD,Fiscal year is November - October
"Selling, General & Admin","2,083,000","2,408,000","2,157,000","2,411,464","2,505,000","2,650,000","3,142,000",-,"4,266,895","2,867,017","3,091,459","2,511,113","2,624,808","3,057,858","9,365,630","6,029,161","5,913,107","1,866,830","1,286,013","1,190,187",Upgrade,Financials in USD,Fiscal year is November - October
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,"234,300",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is November - October
Operating Expenses,"2,083,000","2,408,000","2,157,000","2,411,464","2,505,000","2,650,000","3,142,000",-,"4,266,895","2,867,017","3,091,459","2,511,113","2,624,808","3,292,158","9,365,630","6,029,161","5,913,107","1,866,830","1,286,013","1,190,187",Upgrade,Financials in USD,Fiscal year is November - October
Operating Income,"-1,168,000","-1,561,000","-1,162,000","-1,122,489","-1,446,000","-1,913,000","-2,176,000",-,"-2,762,430","-1,258,262","-1,641,432","-952,382","-1,392,957","-2,233,403","-8,165,361","-5,146,597","-5,246,681","-1,355,878","-688,785","-710,740",Upgrade,Financials in USD,Fiscal year is November - October
Interest Expense,"-23,000","-20,000","-27,000","-90,022","-172,000","-109,000","-61,000",-,"-133,648","-149,242","-40,304","-6,151","-19,473","-6,092","-6,209","-33,567","-12,379","-108,285","-23,513","-14,666",Upgrade,Financials in USD,Fiscal year is November - October
Other Non Operating Income (Expenses),"3,000","148,000","60,000","-10,000",-,"31,000","-50,000",-,"42,770","-48,539","-12,000",381,"3,522",-,"21,565","15,361",300,"1,200","15,857","3,327",Upgrade,Financials in USD,Fiscal year is November - October
EBT Excluding Unusual Items,"-1,188,000","-1,433,000","-1,129,000","-1,222,511","-1,618,000","-1,991,000","-2,287,000",-,"-2,853,308","-1,456,043","-1,693,736","-958,152","-1,408,908","-2,239,495","-8,150,005","-5,164,803","-5,258,760","-1,462,963","-696,441","-722,079",Upgrade,Financials in USD,Fiscal year is November - October
Gain (Loss) on Sale of Investments,"-45,000",-,-,"-100,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is November - October
Gain (Loss) on Sale of Assets,-,-,-,"340,611",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is November - October
Asset Writedown,-,-,-,"33,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is November - October
Other Unusual Items,"221,000","34,000",-,"-142,405",-,-,-,-,"125,851",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is November - October
Pretax Income,"-1,012,000","-1,399,000","-1,040,000","-1,091,005","-1,618,000","-1,991,000","-2,287,000",-,"-2,727,457","-1,456,043","-1,693,736","-958,152","-1,408,908","-2,239,495","-8,150,005","-5,164,803","-5,258,760","-1,462,963","-696,441","-722,079",Upgrade,Financials in USD,Fiscal year is November - October
Earnings From Continuing Operations,"-1,012,000","-1,399,000","-1,040,000","-1,091,005","-1,618,000","-1,991,000","-2,287,000",-,"-2,727,457","-1,456,043","-1,693,736","-958,152","-1,408,908","-2,239,495","-8,150,005","-5,164,803","-5,258,760","-1,462,963","-696,441","-722,079",Upgrade,Financials in USD,Fiscal year is November - October
